,Unnamed: 0,Unnamed: 0.1,50+,FGA,FGM,Name,Opponent,Points,Position,Week,XPA,XPM,Year
14,14,14.0,1.0,1.0,1.0,Matt Prater,Lions,7.0,K,1,2.0,2.0,2017.0
44,44,14.0,1.0,1.0,1.0,Matt Prater,Giants,7.0,K,2,2.0,2.0,2017.0
64,64,29.0,1.0,1.0,1.0,Matt Prater,Lions,7.5,K,3,2.5,2.5,2017.0
115,115,40.666666666666664,1.3333333333333333,2.0,2.0,Matt Prater,Vikings,11.0,K,4,2.3333333333333335,2.3333333333333335,2017.0
146,146,59.25,1.0,2.25,2.0,Matt Prater,Lions,9.75,K,5,1.75,1.75,2017.0
169,169,76.6,0.8,2.0,1.8,Matt Prater,Saints,9.0,K,6,2.0,2.0,2017.0
217,217,92.0,0.6666666666666666,2.0,1.6666666666666667,Matt Prater,Lions,8.833333333333334,K,8,2.5,2.5,2017.0
245,245,109.85714285714286,0.7142857142857143,2.4285714285714284,2.142857142857143,Matt Prater,Packers,10.0,K,9,2.142857142857143,2.142857142857143,2017.0
281,281,126.75,0.625,2.625,2.25,Matt Prater,Lions,10.25,K,10,2.25,2.25,2017.0
305,305,143.88888888888889,0.5555555555555556,2.4444444444444446,2.111111111111111,Matt Prater,Bears,10.0,K,11,2.5555555555555554,2.5555555555555554,2017.0
328,328,160.0,0.6,2.4,2.1,Matt Prater,Lions,10.1,K,12,2.6,2.6,2017.0
388,388,175.27272727272728,0.6363636363636364,2.4545454545454546,2.1818181818181817,Matt Prater,Ravens,10.363636363636363,K,13,2.5454545454545454,2.5454545454545454,2017.0
