,Unnamed: 0,Unnamed: 0.1,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Team,Total Yards,Touchdowns,Week,Year
1,1,1.0,0.0,1.0,2.0,Colts,150.0,9.0,31.0,DST,75.0,4.0,1.0,Rams,225.0,2.0,1,2017.0
58,58,1.0,0.0,1.0,2.0,Redskins,150.0,9.0,31.0,DST,75.0,4.0,1.0,Rams,225.0,2.0,2,2017.0
74,74,29.5,0.0,0.5,1.0,49ers,153.0,18.0,17.0,DST,152.0,3.0,0.5,Rams,305.0,1.0,3,2017.0
111,111,44.333333333333336,0.0,0.6666666666666666,1.0,Cowboys,204.66666666666666,25.0,14.0,DST,139.0,3.3333333333333335,0.3333333333333333,Rams,343.6666666666667,0.6666666666666666,4,2017.0
135,135,61.0,0.0,0.75,1.0,Steelers,216.25,26.25,12.0,DST,151.5,3.0,0.25,Rams,367.75,0.5,5,2017.0
155,155,75.8,0.0,0.6,1.2,Jaguars,208.8,24.2,11.8,DST,133.6,3.0,0.2,Rams,342.4,0.4,6,2017.0
186,186,89.0,0.16666666666666666,0.5,1.1666666666666667,Cardinals,210.66666666666666,23.0,14.0,DST,139.5,3.3333333333333335,0.16666666666666666,Rams,350.1666666666667,0.6666666666666666,7,2017.0
242,242,102.85714285714286,0.14285714285714285,0.42857142857142855,1.2857142857142858,Giants,205.0,19.714285714285715,14.428571428571429,DST,123.14285714285714,3.2857142857142856,0.14285714285714285,Rams,328.14285714285717,0.5714285714285714,9,2017.0
265,265,120.25,0.25,0.625,1.25,Texans,205.375,19.375,14.375,DST,121.625,3.125,0.125,Rams,327.0,0.5,10,2017.0
316,316,136.33333333333334,0.2222222222222222,0.7777777777777778,1.3333333333333333,Vikings,204.11111111111111,18.0,14.777777777777779,DST,118.0,3.111111111111111,0.1111111111111111,Rams,322.1111111111111,0.4444444444444444,11,2017.0
339,339,154.3,0.2,0.7,1.2,Saints,211.7,18.6,13.4,DST,123.3,2.8,0.1,Rams,335.0,0.4,12,2017.0
353,353,171.0909090909091,0.18181818181818182,0.6363636363636364,1.0909090909090908,Cardinals,212.72727272727272,18.727272727272727,12.818181818181818,DST,123.27272727272727,2.8181818181818183,0.09090909090909091,Rams,336.0,0.36363636363636365,13,2017.0
