,Unnamed: 0,50+,FGA,FGM,Name,Opponent,Points,Position,Week,XPA,XPM,Year,Away Games
1050,8,0,1,1,Rob Bironas,Raiders,8.0,K,1,5,5,2010,0
1098,56,0,1,1,Rob Bironas,Steelers,3.0,K,2,0,0,2010,0
1120,78,0,2,2,Rob Bironas,Giants,9.0,K,3,3,3,2010,1
1149,107,1,3,2,Rob Bironas,Broncos,10.0,K,4,2,2,2010,0
1177,135,1,2,2,Rob Bironas,Cowboys,12.0,K,5,4,4,2010,1
1202,160,0,3,3,Rob Bironas,Jaguars,12.0,K,6,3,3,2010,1
1236,194,0,3,3,Rob Bironas,Eagles,13.0,K,7,4,4,2010,0
1275,233,0,1,1,Rob Bironas,Chargers,5.0,K,8,2,2,2010,1
1335,293,0,1,1,Rob Bironas,Dolphins,5.0,K,10,2,2,2010,1
1348,306,0,3,3,Rob Bironas,Redskins,10.0,K,11,1,1,2010,0
1424,382,0,2,2,Rob Bironas,Jaguars,6.0,K,13,0,0,2010,0
1459,417,0,0,0,Rob Bironas,Colts,4.0,K,14,4,4,2010,0
1487,445,0,1,1,Rob Bironas,Texans,7.0,K,15,4,4,2010,0
1529,487,0,0,0,Rob Bironas,Chiefs,2.0,K,16,2,2,2010,1
1542,500,0,3,2,Rob Bironas,Colts,8.0,K,17,2,2,2010,1
