,Unnamed: 0,Unnamed: 0.1,50+,FGA,FGM,Name,Opponent,Points,Position,Week,XPA,XPM,Year
1,1,1.0,1.0,3.0,3.0,Greg Zuerlein,Rams,16.0,K,1,5.0,5.0,2017.0
43,43,1.0,1.0,3.0,3.0,Greg Zuerlein,Rams,16.0,K,2,5.0,5.0,2017.0
71,71,22.0,0.5,2.5,2.5,Greg Zuerlein,49ers,12.0,K,3,3.5,3.5,2017.0
97,97,38.333333333333336,0.3333333333333333,2.3333333333333335,2.3333333333333335,Greg Zuerlein,Cowboys,11.666666666666666,K,4,4.0,4.0,2017.0
150,150,53.0,0.25,3.5,3.5,Greg Zuerlein,Rams,14.5,K,5,3.5,3.5,2017.0
164,164,72.4,0.2,3.2,3.0,Greg Zuerlein,Jaguars,12.4,K,6,3.0,3.0,2017.0
189,189,87.66666666666667,0.3333333333333333,3.0,2.8333333333333335,Greg Zuerlein,Rams,12.166666666666666,K,7,3.0,3.0,2017.0
242,242,102.14285714285714,0.42857142857142855,3.142857142857143,3.0,Greg Zuerlein,Giants,12.857142857142858,K,9,3.0,3.0,2017.0
269,269,119.625,0.375,3.125,3.0,Greg Zuerlein,Rams,13.125,K,10,3.375,3.375,2017.0
321,321,136.22222222222223,0.4444444444444444,3.2222222222222223,3.111111111111111,Greg Zuerlein,Vikings,13.555555555555555,K,11,3.3333333333333335,3.3333333333333335,2017.0
325,325,154.7,0.4,2.9,2.8,Greg Zuerlein,Rams,12.3,K,12,3.1,3.1,2017.0
358,358,170.1818181818182,0.45454545454545453,3.090909090909091,2.909090909090909,Greg Zuerlein,Cardinals,12.636363636363637,K,13,3.0,3.0,2017.0
