,Unnamed: 0,50+,FGA,FGM,Name,Opponent,Points,Position,Week,XPA,XPM,Year,Away Games
2618,9,0,2,2,Robbie Gould,Colts,11.0,K,1,5,5,2012,0
2668,59,0,1,1,Robbie Gould,Packers,4.0,K,2,1,1,2012,1
2680,71,1,3,3,Robbie Gould,Rams,13.0,K,3,2,2,2012,0
2715,106,0,2,2,Robbie Gould,Cowboys,10.0,K,4,4,4,2012,1
2742,133,0,2,2,Robbie Gould,Jaguars,11.0,K,5,5,5,2012,1
2811,202,0,3,2,Robbie Gould,Lions,7.0,K,7,1,1,2012,0
2844,235,0,2,1,Robbie Gould,Panthers,5.0,K,8,2,2,2012,0
2853,244,0,3,3,Robbie Gould,Titans,15.0,K,9,6,6,2012,1
2891,282,1,3,2,Robbie Gould,Texans,8.0,K,10,0,0,2012,0
2938,329,0,0,0,Robbie Gould,49ers,1.0,K,11,1,1,2012,1
2949,340,0,3,2,Robbie Gould,Min,8.0,K,12,2,2,2012,0
2997,388,0,1,1,Robbie Gould,Seahawks,5.0,K,13,2,2,2012,0
3031,422,0,0,0,Robbie Gould,Min,2.0,K,14,2,2,2012,1
