,Unnamed: 0,Unnamed: 0.1,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Team,Total Yards,Touchdowns,Week,Year
7,7,7.0,0.0,0.0,1.0,Giants,198.0,3.0,15.0,DST,35.0,3.0,0.0,Cowboys,233.0,0.0,1,2017.0
49,49,7.0,0.0,0.0,1.0,Broncos,198.0,3.0,15.0,DST,35.0,3.0,0.0,Cowboys,233.0,0.0,2,2017.0
73,73,28.0,0.0,0.5,1.0,Cardinals,200.0,22.5,10.5,DST,106.5,2.5,0.0,Cowboys,306.5,0.0,3,2017.0
124,124,43.0,0.0,0.3333333333333333,0.6666666666666666,Rams,227.66666666666666,20.666666666666668,10.333333333333334,DST,87.33333333333333,3.6666666666666665,0.0,Cowboys,315.0,0.0,4,2017.0
145,145,63.25,0.0,0.25,0.5,Packers,231.75,24.25,8.0,DST,107.5,3.0,0.0,Cowboys,339.25,0.0,5,2017.0
185,185,79.6,0.0,0.4,0.4,49ers,221.8,26.4,7.6,DST,118.0,3.2,0.0,Cowboys,339.8,0.0,7,2017.0
215,215,97.16666666666667,0.0,0.8333333333333334,0.3333333333333333,Redskins,216.0,23.666666666666668,9.333333333333334,DST,115.5,3.5,0.0,Cowboys,331.5,0.0,8,2017.0
251,251,114.0,0.14285714285714285,1.0,0.42857142857142855,Chiefs,218.85714285714286,23.0,11.142857142857142,DST,106.0,3.5714285714285716,0.0,Cowboys,324.85714285714283,0.14285714285714285,9,2017.0
283,283,131.125,0.125,0.875,0.5,Falcons,223.375,22.25,10.75,DST,101.25,3.375,0.0,Cowboys,324.625,0.125,10,2017.0
319,319,148.0,0.1111111111111111,0.7777777777777778,0.5555555555555556,Eagles,221.22222222222223,22.77777777777778,10.0,DST,104.66666666666667,3.111111111111111,0.0,Cowboys,325.8888888888889,0.1111111111111111,11,2017.0
351,351,165.1,0.1,0.7,0.5,Chargers,215.9,24.2,9.0,DST,115.7,2.8,0.0,Cowboys,331.6,0.1,12,2017.0
354,354,182.0,0.09090909090909091,0.6363636363636364,0.45454545454545453,Redskins,235.72727272727272,24.545454545454547,8.181818181818182,DST,112.54545454545455,2.5454545454545454,0.0,Cowboys,348.27272727272725,0.09090909090909091,13,2017.0
