,Unnamed: 0,Unnamed: 0.1,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Team,Total Yards,Touchdowns,Week,Year
27,27,27,0,0,0,Raiders,250,26,3.0,DST,109,2.0,0,Titans,359,0,1,2017
41,41,41,0,1,2,Jaguars,211,16,12.0,DST,99,2.0,0,Titans,310,0,2,2017
88,88,88,0,0,0,Steelers,364,27,2.0,DST,69,1.0,0,Titans,433,0,3,2017
118,118,118,0,0,1,Texans,272,57,4.0,DST,173,2.0,0,Titans,445,0,4,2017
143,143,143,0,1,1,Dolphins,78,16,9.0,DST,100,1.0,0,Titans,178,0,5,2017
181,181,181,0,1,0,Colts,212,22,4.0,DST,85,1.0,0,Titans,297,0,6,2017
187,187,187,0,0,3,Browns,218,9,15.0,DST,66,2.0,0,Titans,284,0,7,2017
246,246,246,0,0,2,Ravens,268,20,10.0,DST,73,2.0,0,Titans,341,0,9,2017
276,276,276,0,2,0,Bengals,255,20,9.0,DST,53,1.0,0,Titans,308,0,10,2017
313,313,313,0,0,0,Steelers,284,40,3.0,DST,65,3.0,0,Titans,349,0,11,2017
325,325,325,0,1,0,Colts,165,16,14.0,DST,89,8.0,0,Titans,254,0,12,2017
363,363,363,0,0,1,Texans,331,13,13.0,DST,53,4.0,0,Titans,384,0,13,2017
