,Unnamed: 0,Unnamed: 0.1,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Team,Total Yards,Touchdowns,Week,Year
27,27,27.0,0.0,0.0,0.0,Raiders,250.0,26.0,3.0,DST,109.0,2.0,0.0,Titans,359.0,0.0,1,2017.0
41,41,27.0,0.0,0.0,0.0,Jaguars,250.0,26.0,3.0,DST,109.0,2.0,0.0,Titans,359.0,0.0,2,2017.0
88,88,34.0,0.0,0.5,1.0,Steelers,230.5,21.0,7.5,DST,104.0,2.0,0.0,Titans,334.5,0.0,3,2017.0
118,118,52.0,0.0,0.3333333333333333,0.6666666666666666,Texans,275.0,23.0,5.666666666666667,DST,92.33333333333333,1.6666666666666667,0.0,Titans,367.3333333333333,0.0,4,2017.0
143,143,68.5,0.0,0.25,0.75,Dolphins,274.25,31.5,5.25,DST,112.5,1.75,0.0,Titans,386.75,0.0,5,2017.0
181,181,83.4,0.0,0.4,0.8,Colts,235.0,28.4,6.0,DST,110.0,1.6,0.0,Titans,345.0,0.0,6,2017.0
187,187,99.66666666666667,0.0,0.5,0.6666666666666666,Browns,231.16666666666666,27.333333333333332,5.666666666666667,DST,105.83333333333333,1.5,0.0,Titans,337.0,0.0,7,2017.0
246,246,112.14285714285714,0.0,0.42857142857142855,1.0,Ravens,229.28571428571428,24.714285714285715,7.0,DST,100.14285714285714,1.5714285714285714,0.0,Titans,329.42857142857144,0.0,9,2017.0
276,276,128.875,0.0,0.375,1.125,Bengals,234.125,24.125,7.375,DST,96.75,1.625,0.0,Titans,330.875,0.0,10,2017.0
313,313,145.22222222222223,0.0,0.5555555555555556,1.0,Steelers,236.44444444444446,23.666666666666668,7.555555555555555,DST,91.88888888888889,1.5555555555555556,0.0,Titans,328.3333333333333,0.0,11,2017.0
325,325,162.0,0.0,0.5,0.9,Colts,241.2,25.3,7.1,DST,89.2,1.7,0.0,Titans,330.4,0.0,12,2017.0
363,363,176.8181818181818,0.0,0.5454545454545454,0.8181818181818182,Texans,234.27272727272728,24.454545454545453,7.7272727272727275,DST,89.18181818181819,2.272727272727273,0.0,Titans,323.45454545454544,0.0,13,2017.0
