,Unnamed: 0,Unnamed: 0.1,Fumble TD,Fumbles Lost,Name,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Week,Year
9,9,9,0,0,Melvin Gordon,Broncos,0,0,0,0,0,0,13.0,RB,0,1,25,5,0,18,0,54,1,2017
94,94,94,0,0,Melvin Gordon,Chargers,0,0,0,0,0,0,13.0,RB,0,0,65,7,0,9,1,13,2,2017
183,183,183,0,0,Melvin Gordon,Chargers,0,0,0,0,0,0,13.0,RB,0,0,0,0,0,17,1,79,3,2017
320,320,320,0,0,Melvin Gordon,Chargers,0,0,0,0,0,0,2.0,RB,0,0,7,1,0,10,0,22,4,2017
359,359,359,0,0,Melvin Gordon,Giants,0,0,0,0,0,0,27.0,RB,0,2,58,6,0,20,0,105,5,2017
434,434,434,0,0,Melvin Gordon,Raiders,0,0,0,0,0,0,26.0,RB,0,1,67,9,0,25,1,83,6,2017
555,555,555,0,0,Melvin Gordon,Chargers,0,0,0,0,0,0,3.0,RB,0,0,6,1,0,18,0,38,7,2017
596,596,596,0,0,Melvin Gordon,Patriots,0,0,0,0,0,0,19.0,RB,0,0,7,1,0,14,1,132,8,2017
781,781,781,0,0,Melvin Gordon,Jaguars,0,0,0,0,0,0,3.0,RB,0,0,15,5,0,16,0,27,10,2017
826,826,826,0,0,Melvin Gordon,Chargers,0,0,0,0,0,0,14.0,RB,0,0,0,0,0,20,1,80,11,2017
921,921,921,0,0,Melvin Gordon,Cowboys,0,0,0,0,0,0,8.0,RB,0,0,23,3,0,21,0,65,12,2017
1001,1001,1001,0,0,Melvin Gordon,Chargers,0,0,0,0,0,0,9.0,RB,0,0,29,4,0,19,0,77,13,2017
