,Year,Week,Team,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games
1,2016.0,1,Dolphins,1.0,1.0,1.0,Seahawks,240.0,12.0,16.0,DST,112.0,3.0,0.0,352.0,0.0,1.0
58,2016.0,2,Dolphins,1.0,1.0,1.0,Patriots,240.0,12.0,16.0,DST,112.0,3.0,0.0,352.0,0.0,1.0
82,2016.0,3,Dolphins,0.5,1.0,0.5,Browns,271.0,21.5,10.0,DST,136.5,2.5,0.0,407.5,0.0,1.0
124,2016.0,4,Dolphins,0.3333333333333333,1.0,0.3333333333333333,Bengals,267.6666666666667,22.333333333333332,9.0,DST,147.33333333333334,3.0,0.0,415.0,0.0,0.6666666666666666
140,2016.0,5,Dolphins,0.25,0.75,0.25,Titans,272.0,22.25,7.25,DST,129.75,2.5,0.0,401.75,0.0,0.75
160,2016.0,6,Dolphins,0.4,0.6,0.2,Steelers,250.2,23.8,7.4,DST,150.8,2.0,0.0,401.0,0.2,0.6
205,2016.0,7,Dolphins,0.3333333333333333,0.5,0.5,Bills,236.66666666666666,22.333333333333332,7.833333333333333,DST,147.0,2.0,0.0,383.6666666666667,0.16666666666666666,0.5
243,2016.0,9,Dolphins,0.2857142857142857,0.42857142857142855,0.42857142857142855,Jets,231.42857142857142,22.714285714285715,7.428571428571429,DST,135.57142857142858,2.2857142857142856,0.0,367.0,0.14285714285714285,0.42857142857142855
267,2016.0,10,Dolphins,0.25,0.375,0.625,Chargers,226.375,22.75,8.25,DST,136.125,2.375,0.0,362.5,0.25,0.375
301,2016.0,11,Dolphins,0.2222222222222222,0.3333333333333333,1.0,LA,235.55555555555554,22.88888888888889,9.333333333333334,DST,128.77777777777777,2.4444444444444446,0.0,364.3333333333333,0.3333333333333333,0.4444444444444444
336,2016.0,12,Dolphins,0.2,0.4,0.9,49ers,224.5,21.6,9.4,DST,126.1,2.3,0.0,350.6,0.3,0.5
375,2016.0,13,Dolphins,0.18181818181818182,0.45454545454545453,0.9090909090909091,Ravens,229.72727272727272,21.818181818181817,9.181818181818182,DST,132.1818181818182,2.272727272727273,0.0,361.90909090909093,0.2727272727272727,0.45454545454545453
389,2016.0,14,Dolphins,0.16666666666666666,0.5,0.9166666666666666,Cardinals,242.75,23.166666666666668,8.75,DST,130.33333333333334,2.0833333333333335,0.0,373.0833333333333,0.25,0.5
416,2016.0,15,Dolphins,0.23076923076923078,0.6153846153846154,1.0,Jets,233.69230769230768,23.153846153846153,9.307692307692308,DST,133.76923076923077,2.1538461538461537,0.0,367.46153846153845,0.23076923076923078,0.46153846153846156
475,2016.0,16,Dolphins,0.2857142857142857,0.6428571428571429,1.1428571428571428,Bills,234.42857142857142,22.428571428571427,10.5,DST,132.5,2.2142857142857144,0.0,366.92857142857144,0.2857142857142857,0.5
511,2016.0,17,Dolphins,0.26666666666666666,0.6,1.0666666666666667,Patriots,239.93333333333334,23.0,9.933333333333334,DST,141.8,2.2,0.0,381.73333333333335,0.26666666666666666,0.5333333333333333
