,Unnamed: 0,Unnamed: 0.1,50+,FGA,FGM,Name,Opponent,Points,Position,Week,XPA,XPM,Year
13,13,13,1,2,2,Chandler Catanzaro,Bills,8.0,K,1,0,0,2017
47,47,47,0,2,2,Chandler Catanzaro,Raiders,8.0,K,2,2,2,2017
78,78,78,0,3,2,Chandler Catanzaro,Jets,8.0,K,3,2,2,2017
104,104,104,0,4,3,Chandler Catanzaro,Jets,11.0,K,4,2,2,2017
144,144,144,1,1,1,Chandler Catanzaro,Browns,7.0,K,5,2,2,2017
181,181,181,0,1,1,Chandler Catanzaro,Jets,5.0,K,6,2,2,2017
208,208,208,0,0,0,Chandler Catanzaro,Dolphins,4.0,K,7,4,4,2017
229,229,229,0,4,2,Chandler Catanzaro,Jets,8.0,K,8,2,2,2017
248,248,248,0,2,2,Chandler Catanzaro,Jets,10.0,K,9,4,4,2017
292,292,292,0,1,1,Chandler Catanzaro,Buccaneers,4.0,K,10,1,1,2017
337,337,337,0,2,2,Chandler Catanzaro,Jets,9.0,K,12,3,3,2017
363,363,363,0,3,3,Chandler Catanzaro,Jets,12.0,K,13,3,3,2017
