,Unnamed: 0,Fumble TD,Fumbles Lost,Name,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Week,Year,Away Games
0,0,0,0,Arian Foster,Colts,0,0,0,0,0,0,41.0,RB,0,0,7,1,0,33,3,231,1,2010,0
1,1,0,1,Matt Forte,Lions,0,0,0,0,0,0,31.0,RB,0,2,151,7,0,17,0,50,1,2010,0
2,2,0,0,Chris Johnson,Raiders,0,0,0,0,0,0,26.0,RB,0,0,8,4,0,27,2,142,1,2010,0
3,3,0,0,Darren McFadden,Titans,0,0,0,0,0,0,20.0,RB,0,1,55,6,0,18,0,95,1,2010,1
4,4,0,0,Rashard Mendenhall,Falcons,0,0,0,0,0,0,19.0,RB,0,0,15,2,0,22,1,120,1,2010,0
5,5,0,0,Jamaal Charles,Chargers,0,0,0,0,0,0,15.0,RB,0,0,8,1,0,11,1,92,1,2010,0
6,6,0,0,Jahvid Best,Bears,0,0,0,0,0,0,15.0,RB,0,0,16,5,0,14,2,20,1,2010,1
7,7,0,0,Pierre Thomas,Min,0,0,0,0,0,0,14.0,RB,0,0,15,3,0,19,1,71,1,2010,0
8,8,0,0,Ronnie Brown,Bills,0,0,0,0,0,0,14.0,RB,0,0,20,2,0,13,1,65,1,2010,1
9,9,0,0,LeSean McCoy,Packers,0,0,0,0,0,0,13.0,RB,0,0,47,5,0,7,1,35,1,2010,0
10,10,0,2,Tim Hightower,Rams,0,0,0,0,0,0,13.0,RB,0,0,40,4,0,13,1,54,1,2010,1
11,11,0,1,Ahmad Bradshaw,Panthers,0,0,0,0,0,0,13.0,RB,0,0,17,2,0,20,1,76,1,2010,0
12,12,0,0,Knowshon Moreno,Jaguars,0,0,0,0,0,0,12.0,RB,0,0,4,1,0,15,1,60,1,2010,1
13,13,0,1,Peyton Hillis,Buccaneers,0,0,0,0,0,0,11.0,RB,0,0,24,4,0,9,1,41,1,2010,1
14,14,0,0,Maurice Jones-Drew,Broncos,0,0,0,0,0,0,10.0,RB,0,0,15,3,0,23,0,98,1,2010,0
15,15,0,1,Cedric Benson,Patriots,0,0,0,0,0,0,10.0,RB,0,0,11,1,0,15,1,43,1,2010,1
16,16,0,0,Carnell Williams,Browns,0,0,0,0,0,0,9.0,RB,0,0,23,2,0,22,0,75,1,2010,0
17,17,0,0,Javon Ringer,Raiders,0,0,0,0,0,0,9.0,RB,0,0,0,0,0,5,1,33,1,2010,0
18,18,0,0,Adrian Peterson,Saints,0,0,0,0,0,0,9.0,RB,0,0,14,3,0,19,0,87,1,2010,1
19,19,0,0,Steven Jackson,Cardinals,0,0,0,0,0,0,8.0,RB,0,0,6,4,0,22,0,81,1,2010,0
20,20,0,0,LaDainian Tomlinson,Ravens,0,0,0,0,0,0,7.0,RB,0,0,16,2,0,11,0,62,1,2010,0
21,21,0,0,Fred Taylor,Bengals,0,0,0,0,0,0,7.0,RB,0,0,6,2,0,14,0,71,1,2010,0
22,22,0,0,John Kuhn,Eagles,0,0,0,0,0,0,7.0,RB,0,0,0,0,0,2,1,15,1,2010,1
23,23,0,0,Brandon Jackson,Eagles,0,0,0,0,0,0,7.0,RB,0,0,12,2,0,18,0,63,1,2010,1
24,24,0,0,Frank Gore,Seahawks,0,0,0,0,0,0,7.0,RB,0,0,45,6,0,17,0,38,1,2010,1
25,25,0,0,Ricky Williams,Bills,0,0,0,0,0,0,6.0,RB,0,0,0,0,0,18,0,62,1,2010,1
26,26,0,0,DeAngelo Williams,Giants,0,0,0,0,0,0,6.0,RB,0,0,0,0,0,16,0,62,1,2010,1
27,27,0,0,Chester Taylor,Lions,0,0,0,0,0,0,6.0,RB,0,0,44,3,0,9,0,29,1,2010,0
28,28,0,0,Clinton Portis,Cowboys,0,0,0,0,0,0,6.0,RB,0,0,1,1,0,18,0,63,1,2010,0
29,29,0,1,Ryan Mathews,Chiefs,0,0,0,0,0,0,6.0,RB,0,0,2,1,0,20,0,78,1,2010,1
30,30,0,0,Brandon Jacobs,Panthers,0,0,0,0,0,0,6.0,RB,0,0,21,2,0,12,0,44,1,2010,0
