,Unnamed: 0,Unnamed: 0.1,50+,FGA,FGM,Name,Opponent,Points,Position,Week,XPA,XPM,Year
4,4,4,1,4,3,Ryan Succop,Titans,12.0,K,1,1,1,2017
33,33,33,0,3,3,Ryan Succop,Jaguars,13.0,K,2,4,4,2017
66,66,66,0,4,4,Ryan Succop,Titans,15.0,K,3,3,3,2017
124,124,124,0,0,0,Ryan Succop,Texans,2.0,K,4,2,2,2017
151,151,151,0,1,1,Ryan Succop,Dolphins,4.0,K,5,1,1,2017
159,159,159,0,5,5,Ryan Succop,Titans,18.0,K,6,3,3,2017
194,194,194,0,5,4,Ryan Succop,Browns,12.0,K,7,0,0,2017
257,257,257,0,1,1,Ryan Succop,Titans,5.0,K,9,3,2,2017
285,285,285,0,2,1,Ryan Succop,Titans,6.0,K,10,3,3,2017
317,317,317,0,2,1,Ryan Succop,Steelers,5.0,K,11,2,2,2017
338,338,338,0,2,2,Ryan Succop,Colts,8.0,K,12,2,2,2017
378,378,378,0,2,1,Ryan Succop,Titans,6.0,K,13,3,3,2017
