,Rush 2PT,Rush TD,Pass 2PT,Points,Pass Attempts,Pass TD,Receptions,Pass Interceptions,Receiving Yards,Year,Receiving TD,Pass Yards,Receiving 2PT,Away Games,Fumble TD,Rush Yards,Week,Rush Attempts,Fumbles Lost,Pass Completions,Name,Opponent,Position
4119,0.0,0.0,0.0,170859375.0,0.0,0.0,2187.0,0.0,64339296875.0,2016,128.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,Jack Doyle,Lions,TE
4120,0.0,0.0,0.0,62748517.0,0.0,0.0,16384.0,0.0,1174711139837.0,2016,1.0,0.0,1.0,0.0,0.0,0.0,1,0.0,0.0,0.0,Dwayne Allen,Lions,TE
4121,0.0,0.0,0.0,35831808.0,0.0,0.0,78125.0,0.0,4398046511104.0,2016,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,Julius Thomas,Packers,TE
4122,0.0,0.0,0.0,10000000.0,0.0,0.0,78125.0,0.0,435817657216.0,2016,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,Eric Ebron,Colts,TE
4123,0.0,0.0,0.0,4782969.0,0.0,0.0,1.0,0.0,21870000000.0,2016,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,Austin Seferian-Jenkins,Falcons,TE
4124,0.0,0.0,0.0,823543.0,0.0,0.0,823543.0,0.0,11047398519097.0,2016,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,Greg Olsen,Broncos,TE
4125,0.0,0.0,0.0,823543.0,0.0,0.0,128.0,0.0,105413504.0,2016,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,Vance McDonald,LA,TE
4126,0.0,0.0,0.0,823543.0,0.0,0.0,279936.0,0.0,12151280273024.0,2016,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,Travis Kelce,Chargers,TE
4127,0.0,0.0,0.0,823543.0,0.0,0.0,1.0,0.0,170859375.0,2016,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,Larry Donnell,Cowboys,TE
4128,0.0,0.0,0.0,279936.0,0.0,0.0,4782969.0,0.0,5455160701056.0,2016,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,Jason Witten,Giants,TE
4129,0.0,0.0,0.0,279936.0,0.0,0.0,16384.0,0.0,4902227890625.0,2016,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,Kyle Rudolph,Titans,TE
4130,0.0,0.0,0.0,279936.0,0.0,0.0,823543.0,0.0,4398046511104.0,2016,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,Jordan Reed,Steelers,TE
4131,0.0,0.0,0.0,279936.0,0.0,0.0,1.0,0.0,16384.0,2016,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,Brandon Myers,Falcons,TE
4132,0.0,0.0,0.0,78125.0,0.0,0.0,128.0,0.0,2488651484819.0,2016,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,C.J. Uzomah,Jets,TE
4133,0.0,0.0,0.0,78125.0,0.0,0.0,279936.0,0.0,897410677851.0,2016,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,Jacob Tamme,Buccaneers,TE
4134,0.0,0.0,0.0,78125.0,0.0,0.0,279936.0,0.0,2207984167552.0,2016,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,Zach Ertz,Browns,TE
4135,0.0,0.0,0.0,16384.0,0.0,0.0,2187.0,0.0,230539333248.0,2016,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,Delanie Walker,Min,TE
4136,0.0,0.0,0.0,16384.0,0.0,0.0,128.0,0.0,587068342272.0,2016,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,Marcedes Lewis,Packers,TE
4137,0.0,0.0,0.0,16384.0,0.0,0.0,16384.0,0.0,194754273881.0,2016,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,Jermaine Gresham,Patriots,TE
4138,0.0,0.0,0.0,16384.0,0.0,0.0,128.0,0.0,163840000000.0,2016,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,Charles Clay,Ravens,TE
