,Unnamed: 0,Unnamed: 0.1,50+,FGA,FGM,Name,Opponent,Points,Position,Week,XPA,XPM,Year
19,19,19,0,2,1,Phil Dawson,Lions,5.0,K,1,2,2,2017
36,36,36,0,4,3,Phil Dawson,Colts,10.0,K,2,1,1,2017
85,85,85,0,2,1,Phil Dawson,Cardinals,5.0,K,3,2,2,2017
103,103,103,1,4,4,Phil Dawson,Cardinals,14.0,K,4,0,0,2017
157,157,157,0,1,0,Phil Dawson,Eagles,1.0,K,5,1,1,2017
173,173,173,0,1,1,Phil Dawson,Cardinals,8.0,K,6,5,5,2017
215,215,215,0,1,0,Phil Dawson,Rams,0.0,K,7,0,0,2017
252,252,252,0,3,2,Phil Dawson,49ers,8.0,K,9,2,2,2017
291,291,291,0,1,1,Phil Dawson,Cardinals,4.0,K,10,2,1,2017
319,319,319,0,0,0,Phil Dawson,Texans,3.0,K,11,3,3,2017
326,326,326,1,4,4,Phil Dawson,Cardinals,15.0,K,12,1,1,2017
379,379,379,1,2,1,Phil Dawson,Cardinals,6.0,K,13,2,1,2017
