,Unnamed: 0,Unnamed: 0.1,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Team,Total Yards,Touchdowns,Week,Year
15,15,15,0,0,1,Ravens,111,20,7.0,DST,157,1.0,0,Bengals,268,0,1,2017
44,44,44,0,0,0,Texans,98,13,10.0,DST,168,3.0,0,Bengals,266,0,2,2017
65,65,65,0,0,1,Packers,280,27,15.0,DST,64,6.0,0,Bengals,344,1,3,2017
105,105,105,0,0,1,Browns,170,7,11.0,DST,45,2.0,0,Bengals,215,0,4,2017
132,132,132,0,0,1,Bills,139,16,12.0,DST,82,6.0,0,Bengals,221,0,5,2017
210,210,210,0,0,0,Steelers,268,29,0.0,DST,152,0.0,0,Bengals,420,0,7,2017
219,219,219,1,0,1,Colts,216,23,15.0,DST,115,4.0,0,Bengals,331,1,8,2017
259,259,259,0,1,0,Jaguars,259,23,3.0,DST,149,0.0,0,Bengals,408,0,9,2017
273,273,273,0,1,1,Titans,236,24,9.0,DST,180,4.0,0,Bengals,416,0,10,2017
300,300,300,1,1,1,Broncos,229,17,13.0,DST,112,3.0,0,Bengals,341,0,11,2017
334,334,334,0,0,0,Browns,236,16,8.0,DST,169,4.0,0,Bengals,405,0,12,2017
375,375,375,0,0,1,Steelers,282,23,4.0,DST,92,1.0,0,Bengals,374,0,13,2017
