,Fumble TD,Fumbles Lost,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Position,Fumble TD M2E,Fumble TD EV,Fumbles Lost M2E,Fumbles Lost EV,Pass 2PT M2E,Pass 2PT EV,Pass Attempts M2E,Pass Attempts EV,Pass Completions M2E,Pass Completions EV,Pass Interceptions M2E,Pass Interceptions EV,Pass TD M2E,Pass TD EV,Pass Yards M2E,Pass Yards EV,Receiving 2PT M2E,Receiving 2PT EV,Receiving TD M2E,Receiving TD EV,Receiving Yards M2E,Receiving Yards EV,Receptions M2E,Receptions EV,Rush 2PT M2E,Rush 2PT EV,Rush Attempts M2E,Rush Attempts EV,Rush TD M2E,Rush TD EV,Rush Yards M2E,Rush Yards EV
Sam Bradford,0.0,3.724124651242164,-0.043499476070223864,0.3374795315794472,0.3398112106406188,-0.029115982074017666,-0.09557110300011118,0.0926276178106491,0.0,-0.03456918686761862,-0.027332702612749997,-0.027418381429957485,-0.032608496709144674,-0.06294866276786593,-0.07411616795479858,-0.028881026843390438,"23       QB
40       QB
104      QB
137      QB
160      QB
189      QB
230      QB
262      QB
315      QB
362      QB
393      QB
438      QB
464      QB
490      QB
539      QB
588      QB
627      QB
673      QB
704      QB
717      QB
761      QB
804      QB
836      QB
892      QB
923      QB
1023     QB
1065     QB
1099     QB
1136     QB
1171     QB
         ..
2483     QB
2517     QB
2582     QB
2678     QB
2703     QB
2745     QB
2774     QB
2863     QB
3012     QB
3046     QB
3088     QB
3109     QB
3162     QB
3193     QB
3222     QB
3248     QB
3321     QB
3350     QB
3379     QB
3433     QB
3462     QB
3514     QB
3535     QB
3585     QB
27900    QB
27950    QB
27980    QB
28006    QB
28084    QB
28115    QB
Name: Position, Length: 69, dtype: object",0.0,1.0,0.28121960460503287,0.0,6.670877464421358e-06,0.0,0.0016207421344509956,0.0,0.000225690714173241,0.0,3.5611998864006916e-06,0.0,7.847818964951911e-08,0.0,0.0037091604126192564,0.0,0.0,1.0,4.81482486096809e-35,0.0,4.81482486096809e-35,0.0,4.81482486096809e-35,0.0,0.0012174712344734924,0.0,3.142258507725275e-08,0.0,4.3056318365467814e-07,0.0,4.858385681630686e-18,0.0
Adam Thielen,-0.008901998767625182,-0.0376657222030361,0.0,-0.009166768192301234,-0.009093279269011578,-0.017806114244894058,-0.03672717231242844,-0.012032881866237239,-0.08534814816129521,-0.05558515939273434,0.021328314694230244,-0.0020850815273547596,-0.008901998767625182,-0.014141885669359228,-0.01455117907917386,-0.009218089536271012,"16115    WR
17342    WR
17378    WR
21377    WR
21443    WR
21766    WR
22074    WR
22538    WR
22660    WR
22767    WR
22819    WR
28834    WR
28953    WR
29094    WR
29203    WR
29252    WR
29498    WR
29626    WR
Name: Position, dtype: object",0.0,1.0,0.0,1.0,0.0,1.0,3.009265538105056e-36,0.0,0.0,1.0,1.2037062152420224e-35,0.0,4.81482486096809e-35,0.0,2.7083389842945504e-35,0.0,0.0,1.0,2.494188382333773e-06,0.0,9.745839516242646e-08,0.0,9.82199901284637e-08,0.0,0.0,1.0,6.621600004425995e-16,0.0,0.0,1.0,3.6874327134973976e-11,0.0
Tyler Lockett,-0.008901998767625182,-0.0044831205741502345,0.0,-0.009166768192301234,-0.009093279269011576,-0.017806114244894058,-0.03672717231242844,-0.012032881866237239,-0.08534814816129521,0.0779945463873446,-0.013587502799055073,-0.06463131196505856,-0.008901998767625182,-0.01414187547510437,-0.01455117907917386,-0.009212017074385586,"21123    WR
21273    WR
21462    WR
21579    WR
21723    WR
21862    WR
22096    WR
22111    WR
22265    WR
22350    WR
22438    WR
22578    WR
22729    WR
22847    WR
28868    WR
28922    WR
29224    WR
29429    WR
29547    WR
29635    WR
Name: Position, dtype: object",0.0,1.0,0.0011010850508613391,0.0,0.0,1.0,1.2037062152420224e-35,0.0,3.009265538105056e-36,0.0,1.2037062152420224e-35,0.0,4.81482486096809e-35,0.0,3.009265538105056e-36,0.0,0.0,1.0,0.019262702792430586,0.0,1.9372252787800532e-05,0.0,4.318755212378931e-10,0.0,0.0,1.0,3.743969327259295e-18,0.0,0.0,1.0,1.4114700370474749e-21,0.0
Philly Brown,-0.008901998767625182,0.015182973505595498,0.0,-0.009166768192301236,-0.009093279269011578,-0.017806114244894058,-0.03672717231242844,-0.012032881866237233,-0.08534814816129521,-0.05398167875983262,-0.016934712451119188,-0.06341827714259365,-0.008901998767625182,-0.014141381042969216,-0.01455117907917386,-0.00921197428384281,"15830    WR
15909    WR
16032    WR
16151    WR
16301    WR
16742    WR
16946    WR
17091    WR
17218    WR
17337    WR
17403    WR
21167    WR
21214    WR
21391    WR
21509    WR
21678    WR
21770    WR
21836    WR
21931    WR
22102    WR
22433    WR
22481    WR
22583    WR
22738    WR
22832    WR
28873    WR
29001    WR
29067    WR
29161    WR
29325    WR
29435    WR
29668    WR
Name: Position, dtype: object",0.0,1.0,0.0010398327325832442,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.2037062152420224e-35,0.0,0.0,1.0,1.0130092340193351e-05,0.0,6.182948115752275e-09,0.0,8.055866278840074e-06,0.0,0.0,1.0,2.8128052014794274e-13,0.0,0.0,1.0,1.83431729098625e-15,0.0
Terrance Williams,-0.008901998767625182,0.09578203677665442,0.0,-0.009166768192301236,-0.009093279269011578,-0.01780611424489406,-0.03672717231242845,-0.012032881866237232,-0.08835124969482422,-0.031004788354039192,-0.014727815287642443,-0.04802679459112369,-0.008901998767625182,-0.014141908424868177,-0.014551179079173863,-0.009212017112778529,"15637    WR
15796    WR
15878    WR
15980    WR
16084    WR
16231    WR
16339    WR
16447    WR
16592    WR
16894    WR
16982    WR
17221    WR
17257    WR
17400    WR
17540    WR
17663    WR
17844    WR
17918    WR
18033    WR
18135    WR
18245    WR
18375    WR
18441    WR
18689    WR
18797    WR
18887    WR
18993    WR
19077    WR
19230    WR
21099    WR
21199    WR
21423    WR
21567    WR
21742    WR
21869    WR
21970    WR
22052    WR
22114    WR
22262    WR
22360    WR
22496    WR
22642    WR
22704    WR
22786    WR
28846    WR
29047    WR
29153    WR
29276    WR
29375    WR
29641    WR
Name: Position, dtype: object",0.0,1.0,0.001167595976546966,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.2037062152420224e-35,0.0,4.81482486096809e-35,0.0,3.009265538105056e-36,0.0,9.018618820684273e-06,0.0,0.00065303155353984,0.0,8.874096192979404e-06,0.0,7.094352250182151e-05,0.0,0.0,1.0,8.862295725156439e-18,0.0,3.009265538105056e-36,0.0,2.684917569684925e-29,0.0
Don Jackson,0.0,-0.07088421258695853,0.0,-0.055589021985328856,-0.03320445500854596,-0.014152045525279,-0.02831259801595088,-0.0100294118713246,-0.04479308591452912,-0.02922472600025392,-0.027476079384799103,-0.050849951423951226,-0.06733531265686164,-0.06335318136462931,-0.06014164175485233,-0.03287779952338389,"28697    RB
28761    RB
Name: Position, dtype: object",0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.2949952946059774e-30,0.0,0.0,1.0,0.0,1.0
Blake Bortles,0.0,0.002462464235982509,-0.04913273826826525,2.7570678759902125,1.4678943826606403,0.02815478024107465,-0.005648553692701341,0.6723150564333933,0.0,-0.03456918686761862,-0.027332702612749997,-0.02741838142995747,2.084845528839937,0.05270995991613192,-0.024013749503526416,-0.022877755575963454,"634      QB
658      QB
695      QB
726      QB
749      QB
786      QB
823      QB
882      QB
917      QB
958      QB
975      QB
1007     QB
1044     QB
1093     QB
1126     QB
1196     QB
1289     QB
1331     QB
1377     QB
1400     QB
1440     QB
1474     QB
1498     QB
1538     QB
1608     QB
1626     QB
1672     QB
1709     QB
1740     QB
1780     QB
27877    QB
27901    QB
27946    QB
27966    QB
28048    QB
28080    QB
28098    QB
Name: Position, dtype: object",0.0,1.0,0.004318004119724349,0.0,9.305294081807581e-06,0.0,0.00012613742271793372,0.0,0.0003300160899838508,0.0,0.00023870339819672556,0.0,0.000691239861833334,0.0,0.00029674923624750486,0.0,0.0,1.0,4.81482486096809e-35,0.0,0.0,1.0,1.2037062152420224e-35,0.0,0.0006930365854881746,0.0,5.716635661437672e-06,0.0,1.5547281229210657e-05,0.0,1.7541568592708934e-09,0.0
Marcus Mariota,0.0,0.4565174573812615,-0.031085427053524295,0.23202264742199102,0.11767467323424677,-0.028820075696480256,0.11824332840546423,0.0846301597334026,0.0,-0.03456918686761807,-0.027332702612753133,-0.027418381429957443,-0.06750077715157911,0.11539402183796452,-0.011009568102589356,0.19544262142131924,"609      QB
661      QB
690      QB
771      QB
807      QB
874      QB
930      QB
952      QB
978      QB
1006     QB
1053     QB
1119     QB
27872    QB
27903    QB
27957    QB
27991    QB
27998    QB
28031    QB
28069    QB
28104    QB
Name: Position, dtype: object",0.0,1.0,0.25598514873433903,0.0,0.00022490560599030103,0.0,7.877370782772587e-06,0.0,0.00039013086919374804,0.0,1.709470725672575e-06,0.0,0.0001153347854411919,0.0,0.0010998255449517218,0.0,0.0,1.0,3.0049321957301847e-31,0.0,9.815128812642822e-30,0.0,7.703719777548943e-34,0.0,1.925929944387236e-34,0.0,0.00012565985386465124,0.0,0.00025277428265092,0.0,0.00012913361441641016,0.0
Kendall Wright,-0.008901998767625182,-0.023195604878559095,0.0,-0.009166768192301234,-0.009093279269011583,-0.017806114244894058,-0.03672717231242844,-0.012032881866237232,-0.08534814816129523,0.0032242850286365865,0.059783935546875,0.15859322298314282,-0.008901998767625182,-0.014141687719120995,-0.014551179079173863,-0.009211507735271235,"15643    WR
15789    WR
15911    WR
16023    WR
16075    WR
16290    WR
16320    WR
16455    WR
16659    WR
16752    WR
16887    WR
16927    WR
17285    WR
17395    WR
17557    WR
17602    WR
17729    WR
17849    WR
17948    WR
18044    WR
18147    WR
18358    WR
18443    WR
18539    WR
18627    WR
18747    WR
18908    WR
18946    WR
19119    WR
19213    WR
19346    WR
19415    WR
19563    WR
19642    WR
19758    WR
19862    WR
19993    WR
20035    WR
20168    WR
20247    WR
20467    WR
20552    WR
20685    WR
20798    WR
21013    WR
21072    WR
21262    WR
21306    WR
21574    WR
21667    WR
21733    WR
21868    WR
22284    WR
22388    WR
22749    WR
29220    WR
29330    WR
29346    WR
29533    WR
29576    WR
Name: Position, dtype: object",0.0,1.0,0.0002093842953841296,0.0,0.0,1.0,3.009265538105056e-36,0.0,3.009265538105056e-36,0.0,1.2037062152420224e-35,0.0,4.81482486096809e-35,0.0,1.2037062152420224e-35,0.0,1.925929944387236e-34,0.0,0.002900113709220223,0.0,3.460239148419076e-07,0.0,1.4165317453044505e-06,0.0,0.0,1.0,3.1772605373158305e-14,0.0,1.2037062152420224e-35,0.0,6.420151314248211e-13,0.0
Theo Riddick,0.0,-0.07199859960830324,0.0,-0.055589021985328876,-0.03320445500854596,-0.014152045525279,-0.02831259801595088,-0.0100294118713246,-0.04479308591452912,2.4490273523802557,0.27230597919945687,2.0819635867287047,-0.06733531265686164,-0.056629597400561726,-0.058972834212294045,-0.031961619174911235,"3673     RB
3759     RB
3836     RB
3930     RB
4036     RB
4204     RB
4377     RB
4468     RB
4537     RB
4611     RB
4838     RB
4911     RB
4959     RB
5275     RB
5689     RB
6077     RB
6151     RB
6247     RB
6290     RB
7904     RB
8024     RB
8098     RB
8205     RB
8265     RB
8350     RB
8441     RB
8527     RB
8674     RB
8726     RB
8793     RB
8923     RB
8996     RB
9101     RB
9164     RB
9284     RB
28129    RB
28246    RB
28349    RB
28423    RB
28475    RB
28714    RB
Name: Position, dtype: object",0.0,1.0,1.2418584333415398e-06,0.0,0.0,1.0,4.81482486096809e-35,0.0,0.0,1.0,3.009265538105056e-36,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.02195449328246901,0.0,2.6910251665603713e-05,0.0,0.00163988974622534,0.0,1.925929944387236e-34,0.0,6.657864879671991e-06,0.0,9.607908584981475e-07,0.0,1.3198694620871952e-10,0.0
