,50+,FGA,FGM,Name,Opponent,Points,Position,Week,XPA,XPM,Year
0,2,4,4,Dan Bailey,NYG,17.00,K,1,1,1,2016
1,1,6,4,Blair Walsh,@Ten,15.00,K,1,2,1,2016
2,1,3,3,Jason Myers,GB,13.00,K,1,2,2,2016
3,1,3,3,Stephen Gostkowski,@Ari,13.00,K,1,2,2,2016
4,1,2,2,Adam Vinatieri,Det,11.00,K,1,3,3,2016
5,0,4,3,Mike Nugent,@NYJ,11.00,K,1,2,2,2016
6,0,3,3,Nick Novak,Chi,11.00,K,1,2,2,2016
7,0,4,2,Wil Lutz,Oak,10.00,K,1,4,4,2016
8,0,3,3,Dustin Hopkins,Pit,10.00,K,1,1,1,2016
9,0,4,3,Nick Folk,Cin,10.00,K,1,2,1,2016
10,0,3,3,Matt Bryant,TB,10.00,K,1,1,1,2016
11,1,2,2,Justin Tucker,Buf,9.00,K,1,1,1,2016
12,0,3,2,Caleb Sturgis,Cle,9.00,K,1,3,3,2016
13,0,2,2,Cairo Santos,SD,9.00,K,1,3,3,2016
14,0,3,2,Josh Lambo,@KC,9.00,K,1,3,3,2016
15,0,2,2,Mason Crosby,@Jax,9.00,K,1,3,3,2016
16,0,3,2,Graham Gano,@Den,8.00,K,1,2,2,2016
17,0,1,1,Chris Boswell,@Was,8.00,K,1,5,5,2016
18,0,1,1,Matt Prater,@Ind,7.00,K,1,5,4,2016
19,0,2,2,Sebastian Janikowski,@NO,7.00,K,1,1,1,2016
20,0,1,1,Roberto Aguayo,@Atl,7.00,K,1,4,4,2016
21,0,2,2,Stephen Hauschka,Mia,6.00,K,1,1,0,2016
22,0,1,1,Ryan Succop,Min,4.00,K,1,1,1,2016
23,0,1,1,Patrick Murray,@Phi,4.00,K,1,1,1,2016
24,0,2,1,Andrew Franks,@Sea,4.00,K,1,1,1,2016
25,0,0,0,Phil Dawson,LA,4.00,K,1,4,4,2016
26,0,0,0,Brandon McManus,Car,3.00,K,1,3,3,2016
27,0,1,0,Chandler Catanzaro,NE,3.00,K,1,3,3,2016
28,0,0,0,Randy Bullock,@Dal,2.00,K,1,3,2,2016
29,0,0,0,Connor Barth,@Hou,2.00,K,1,2,2,2016
30,0,1,0,Dan Carpenter,@Bal,1.00,K,1,1,1,2016
31,0,4,4,Graham Gano,SF,16.00,K,2,5,4,2016
32,1,4,4,Cairo Santos,@Hou,14.00,K,2,0,0,2016
33,0,5,4,Brandon McManus,Ind,14.00,K,2,2,2,2016
34,1,3,3,Justin Tucker,@Cle,13.00,K,2,2,2,2016
35,1,3,3,Caleb Sturgis,@Chi,13.00,K,2,3,2,2016
36,0,5,4,Nick Novak,KC,13.00,K,2,1,1,2016
37,0,3,3,Nick Folk,@Buf,13.00,K,2,4,4,2016
38,0,3,3,Dustin Hopkins,Dal,11.00,K,2,2,2,2016
39,1,2,2,Adam Vinatieri,@Den,10.00,K,2,2,2,2016
40,0,3,3,Mike Nugent,@Pit,10.00,K,2,1,1,2016
41,0,2,2,Chandler Catanzaro,TB,10.00,K,2,5,4,2016
42,0,4,3,Josh Brown,NO,10.00,K,2,1,1,2016
43,0,3,3,Greg Zuerlein,Sea,9.00,K,2,0,0,2016
44,0,2,2,Phil Dawson,@Car,9.00,K,2,3,3,2016
45,0,2,2,Matt Bryant,@Oak,9.00,K,2,3,3,2016
46,0,2,2,Dan Bailey,@Was,9.00,K,2,3,3,2016
47,0,1,1,Josh Lambo,Jax,8.00,K,2,5,5,2016
48,0,2,2,Matt Prater,Ten,7.00,K,2,1,1,2016
49,0,3,2,Wil Lutz,@NYG,7.00,K,2,1,1,2016
50,0,2,1,Stephen Gostkowski,Mia,7.00,K,2,4,4,2016
51,0,1,1,Dan Carpenter,NYJ,7.00,K,2,4,4,2016
52,0,1,1,Andrew Franks,@NE,6.00,K,2,3,3,2016
53,0,1,1,Chris Boswell,Cin,6.00,K,2,3,3,2016
54,0,1,1,Blair Walsh,GB,5.00,K,2,2,2,2016
55,0,2,1,Ryan Succop,@Det,4.00,K,2,1,1,2016
56,0,1,0,Sebastian Janikowski,Atl,4.00,K,2,4,4,2016
57,0,1,1,Stephen Hauschka,@LA,3.00,K,2,0,0,2016
58,0,1,0,Jason Myers,@SD,2.00,K,2,2,2,2016
59,0,1,0,Patrick Murray,Bal,2.00,K,2,3,2,2016
60,0,0,0,Mason Crosby,@Min,2.00,K,2,2,2,2016
61,0,1,0,Connor Barth,Phi,2.00,K,2,2,2,2016
62,0,1,0,Roberto Aguayo,@Ari,1.00,K,2,1,1,2016
63,0,5,5,Dustin Hopkins,@NYG,17.00,K,3,2,2,2016
64,1,4,4,Justin Tucker,@Jax,15.00,K,3,1,1,2016
65,0,3,3,Stephen Hauschka,SF,13.00,K,3,4,4,2016
66,1,3,2,Matt Prater,@GB,11.00,K,3,3,3,2016
67,0,2,2,Caleb Sturgis,Pit,10.00,K,3,4,4,2016
68,0,6,3,Cody Parkey,@Mia,10.00,K,3,1,1,2016
69,0,3,3,Josh Lambo,@Ind,10.00,K,3,2,1,2016
70,0,2,2,Mason Crosby,Det,10.00,K,3,4,4,2016
71,1,1,1,Greg Zuerlein,@TB,9.00,K,3,4,4,2016
72,0,2,2,Stephen Gostkowski,Hou,9.00,K,3,3,3,2016
73,0,2,2,Dan Carpenter,Ari,9.00,K,3,4,3,2016
74,0,1,1,Matt Bryant,@NO,9.00,K,3,6,6,2016
75,0,2,2,Josh Brown,Was,9.00,K,3,3,3,2016
76,0,2,2,Adam Vinatieri,SD,8.00,K,3,2,2,2016
77,1,1,1,Wil Lutz,Atl,8.00,K,3,3,3,2016
78,1,1,1,Sebastian Janikowski,@Ten,7.00,K,3,2,2,2016
79,0,2,1,Dan Bailey,Chi,7.00,K,3,4,4,2016
80,0,2,2,Blair Walsh,@Car,6.00,K,3,1,0,2016
81,0,1,1,Cairo Santos,NYJ,6.00,K,3,3,3,2016
82,0,1,1,Andrew Franks,Cle,6.00,K,3,3,3,2016
83,1,1,1,Chandler Catanzaro,@Buf,6.00,K,3,1,1,2016
84,0,1,1,Mike Nugent,Den,5.00,K,3,2,2,2016
85,0,2,1,Jason Myers,Bal,5.00,K,3,2,2,2016
86,0,1,1,Brandon McManus,@Cin,5.00,K,3,3,2,2016
87,0,1,1,Connor Barth,@Dal,5.00,K,3,2,2,2016
88,0,1,1,Ryan Succop,Oak,4.00,K,3,1,1,2016
89,0,2,1,Graham Gano,Min,4.00,K,3,1,1,2016
90,0,2,1,Phil Dawson,@Sea,4.00,K,3,1,1,2016
91,0,1,1,Nick Folk,@KC,3.00,K,3,0,0,2016
92,0,2,1,Chris Boswell,@Phi,3.00,K,3,0,0,2016
93,0,1,0,Roberto Aguayo,LA,2.00,K,3,3,2,2016
94,0,0,0,Tress Way,@NYG,1.00,K,3,0,0,2016
95,0,0,0,Drew Butler,@Buf,-1.00,K,3,0,0,2016
96,0,5,5,Mike Nugent,Mia,16.00,K,4,1,1,2016
97,1,2,2,Matt Bryant,Car,14.00,K,4,6,6,2016
98,0,3,3,Jason Myers,Ind,12.00,K,4,3,3,2016
99,1,2,2,Adam Vinatieri,@Jax,11.00,K,4,3,3,2016
100,1,3,2,Nick Novak,Ten,11.00,K,4,3,3,2016
101,1,2,2,Stephen Hauschka,@NYJ,11.00,K,4,3,3,2016
102,1,2,2,Cody Parkey,@Was,10.00,K,4,2,2,2016
103,0,2,2,Josh Lambo,NO,10.00,K,4,4,4,2016
104,0,4,3,Dan Carpenter,@NE,10.00,K,4,1,1,2016
105,0,2,2,Brandon McManus,@TB,9.00,K,4,3,3,2016
106,0,2,2,Ryan Succop,@Hou,8.00,K,4,2,2,2016
107,1,2,2,Matt Prater,@Chi,8.00,K,4,0,0,2016
108,0,2,2,Justin Tucker,Oak,7.00,K,4,1,1,2016
109,0,1,1,Dustin Hopkins,Cle,7.00,K,4,4,4,2016
110,1,1,1,Graham Gano,@Atl,7.00,K,4,2,2,2016
111,0,2,2,Chandler Catanzaro,LA,7.00,K,4,1,1,2016
112,0,2,1,Blair Walsh,NYG,6.00,K,4,3,3,2016
113,0,2,1,Dan Bailey,@SF,6.00,K,4,3,3,2016
114,0,1,1,Greg Zuerlein,@Ari,5.00,K,4,2,2,2016
115,0,0,0,Wil Lutz,@SD,5.00,K,4,5,5,2016
116,0,1,1,Nick Folk,Sea,5.00,K,4,2,2,2016
117,0,1,1,Phil Dawson,Dal,5.00,K,4,2,2,2016
118,0,0,0,Chris Boswell,KC,5.00,K,4,5,5,2016
119,0,2,1,Connor Barth,Det,5.00,K,4,2,2,2016
120,0,0,0,Sebastian Janikowski,@Bal,4.00,K,4,4,4,2016
121,0,1,1,Josh Brown,@Min,4.00,K,4,1,1,2016
122,0,1,0,Cairo Santos,@Pit,2.00,K,4,2,2,2016
123,0,0,0,Andrew Franks,@Cin,1.00,K,4,1,1,2016
124,0,0,0,Roberto Aguayo,Den,1.00,K,4,1,1,2016
125,0,1,0,Stephen Gostkowski,Buf,0.00,K,4,0,0,2016
126,2,5,5,Adam Vinatieri,Chi,21.00,K,5,2,2,2016
127,1,5,4,Sebastian Janikowski,SD,16.00,K,5,2,2,2016
128,1,4,4,Greg Zuerlein,Buf,15.00,K,5,1,1,2016
129,1,3,3,Caleb Sturgis,@Det,13.00,K,5,2,2,2016
130,0,3,3,Mason Crosby,NYG,11.00,K,5,2,2,2016
131,0,3,3,Matt Bryant,@Den,11.00,K,5,2,2,2016
132,0,4,3,Connor Barth,@Ind,11.00,K,5,2,2,2016
133,0,3,3,Brandon McManus,Atl,10.00,K,5,1,1,2016
134,0,3,3,Josh Brown,@GB,10.00,K,5,1,1,2016
135,0,5,3,Roberto Aguayo,@Car,9.00,K,5,0,0,2016
136,0,1,1,Blair Walsh,Hou,7.00,K,5,4,4,2016
137,0,3,2,Nick Novak,@Min,7.00,K,5,1,1,2016
138,0,1,1,Josh Lambo,@Oak,7.00,K,5,4,4,2016
139,0,2,1,Stephen Gostkowski,@Cle,7.00,K,5,4,4,2016
140,0,2,2,Nick Folk,@Pit,7.00,K,5,1,1,2016
141,0,1,1,Chandler Catanzaro,@SF,7.00,K,5,4,4,2016
142,0,1,1,Chris Boswell,NYJ,7.00,K,5,4,4,2016
143,0,1,1,Ryan Succop,@Mia,6.00,K,5,4,3,2016
144,0,1,1,Matt Prater,Phi,6.00,K,5,3,3,2016
145,0,1,1,Dan Carpenter,@LA,6.00,K,5,4,3,2016
146,0,1,1,Andrew Franks,Ten,5.00,K,5,2,2,2016
147,0,1,1,Justin Tucker,Was,4.00,K,5,1,1,2016
