,50+,FGA,FGM,Name,Opponent,Points,Position,Week,XPA,XPM,Year
0,1,3,3,John Kasay,@NYG,12.00,K,1,1,1,2010
1,1,5,3,Jeff Reed,Atl,11.00,K,1,0,0,2010
2,1,2,2,Mason Crosby,@Phi,11.00,K,1,3,3,2010
3,0,2,2,Neil Rackers,Ind,10.00,K,1,4,4,2010
4,0,3,3,Nick Folk,Bal,9.00,K,1,0,0,2010
5,0,4,3,Matt Bryant,@Pit,9.00,K,1,0,0,2010
6,1,1,1,Mike Nugent,@NE,8.00,K,1,3,3,2010
7,0,3,1,Stephen Gostkowski,Cin,8.00,K,1,5,5,2010
8,0,1,1,Rob Bironas,Oak,8.00,K,1,5,5,2010
9,0,2,2,David Akers,GB,8.00,K,1,2,2,2010
10,0,1,1,Lawrence Tynes,Car,7.00,K,1,4,4,2010
11,1,1,1,Matt Prater,@Jax,7.00,K,1,2,2,2010
12,0,1,1,Olindo Mare,SF,7.00,K,1,4,4,2010
13,0,3,2,Sebastian Janikowski,@Ten,7.00,K,1,1,1,2010
14,0,2,2,Robbie Gould,Det,7.00,K,1,1,1,2010
15,0,2,2,Graham Gano,Dal,7.00,K,1,1,1,2010
16,0,3,2,Dan Carpenter,@Buf,7.00,K,1,1,1,2010
17,0,3,2,Josh Brown,Ari,7.00,K,1,1,1,2010
18,0,1,1,Adam Vinatieri,@Hou,6.00,K,1,3,3,2010
19,0,1,1,Josh Scobee,Den,6.00,K,1,3,3,2010
20,0,2,2,Joe Nedney,@Sea,6.00,K,1,0,0,2010
21,1,2,1,Rian Lindell,Mia,6.00,K,1,1,1,2010
22,0,1,1,Jay Feely,@Stl,5.00,K,1,2,2,2010
23,0,1,1,Connor Barth,Cle,5.00,K,1,2,2,2010
24,0,1,1,Billy Cundiff,@NYJ,4.00,K,1,1,1,2010
25,0,0,0,Ryan Succop,SD,3.00,K,1,3,3,2010
26,0,1,1,Ryan Longwell,@NO,3.00,K,1,1,0,2010
27,0,0,0,Nate Kaeding,@KC,2.00,K,1,2,2,2010
28,0,2,0,Garrett Hartley,Min,2.00,K,1,2,2,2010
29,0,0,0,Jason Hanson,@Chi,2.00,K,1,2,2,2010
30,0,1,0,Phil Dawson,@TB,2.00,K,1,2,2,2010
31,0,1,0,David Buehler,@Was,1.00,K,1,1,1,2010
32,0,0,0,Brian Moorman,Mia,0.00,K,1,0,0,2010
33,0,0,0,Josh Bidwell,Dal,0.00,K,1,0,0,2010
34,0,0,0,Jason Baker,@NYG,0.00,K,1,0,0,2010
35,0,5,5,Mike Nugent,Bal,15.00,K,2,0,0,2010
36,0,4,4,Jeff Reed,@Ten,13.00,K,2,1,1,2010
37,0,4,3,Neil Rackers,@Was,12.00,K,2,3,3,2010
38,0,3,3,Garrett Hartley,@SF,11.00,K,2,2,2,2010
39,0,2,2,Matt Bryant,Ari,11.00,K,2,5,5,2010
