,Unnamed: 0,Unnamed: 0.1,50+,FGA,FGM,Name,Opponent,Points,Position,Week,XPA,XPM,Year
25,25,25,0,1,0,Stephen Hauschka,Bills,3.0,K,1,3,3,2017
59,59,59,0,1,1,Stephen Hauschka,Panthers,3.0,K,2,0,0,2017
65,65,65,2,4,4,Stephen Hauschka,Bills,18.0,K,3,2,2,2017
100,100,100,2,3,3,Stephen Hauschka,Falcons,15.0,K,4,2,2,2017
136,136,136,0,3,3,Stephen Hauschka,Bengals,10.0,K,5,1,1,2017
191,191,191,1,4,3,Stephen Hauschka,Bills,14.0,K,7,3,3,2017
225,225,225,0,2,2,Stephen Hauschka,Bills,10.0,K,8,4,4,2017
264,264,264,0,0,0,Stephen Hauschka,Jets,3.0,K,9,3,3,2017
290,290,290,0,1,1,Stephen Hauschka,Bills,4.0,K,10,1,1,2017
310,310,310,1,1,1,Stephen Hauschka,Chargers,8.0,K,11,3,3,2017
329,329,329,1,4,3,Stephen Hauschka,Chiefs,12.0,K,12,1,1,2017
384,384,384,0,1,1,Stephen Hauschka,Bills,3.0,K,13,0,0,2017
