,Unnamed: 0,Unnamed: 0.1,50+,FGA,FGM,Name,Opponent,Points,Position,Week,XPA,XPM,Year
25,25,25.0,0.0,1.0,0.0,Stephen Hauschka,Bills,3.0,K,1,3.0,3.0,2017.0
59,59,25.0,0.0,1.0,0.0,Stephen Hauschka,Panthers,3.0,K,2,3.0,3.0,2017.0
65,65,42.0,0.0,1.0,0.5,Stephen Hauschka,Bills,3.0,K,3,1.5,1.5,2017.0
100,100,49.666666666666664,0.6666666666666666,2.0,1.6666666666666667,Stephen Hauschka,Falcons,8.0,K,4,1.6666666666666667,1.6666666666666667,2017.0
136,136,62.25,1.0,2.25,2.0,Stephen Hauschka,Bengals,9.75,K,5,1.75,1.75,2017.0
191,191,77.0,0.8,2.4,2.2,Stephen Hauschka,Bills,9.8,K,7,1.6,1.6,2017.0
225,225,96.0,0.8333333333333334,2.6666666666666665,2.3333333333333335,Stephen Hauschka,Bills,10.5,K,8,1.8333333333333333,1.8333333333333333,2017.0
264,264,114.42857142857143,0.7142857142857143,2.5714285714285716,2.2857142857142856,Stephen Hauschka,Jets,10.428571428571429,K,9,2.142857142857143,2.142857142857143,2017.0
290,290,133.125,0.625,2.25,2.0,Stephen Hauschka,Bills,9.5,K,10,2.25,2.25,2017.0
310,310,150.55555555555554,0.5555555555555556,2.111111111111111,1.8888888888888888,Stephen Hauschka,Chargers,8.88888888888889,K,11,2.111111111111111,2.111111111111111,2017.0
329,329,166.5,0.6,2.0,1.8,Stephen Hauschka,Chiefs,8.8,K,12,2.2,2.2,2017.0
384,384,181.27272727272728,0.6363636363636364,2.1818181818181817,1.9090909090909092,Stephen Hauschka,Bills,9.090909090909092,K,13,2.090909090909091,2.090909090909091,2017.0
