,Unnamed: 0.1_x,Unnamed: 0.1.1_x,50+,FGA,FGM,Name,Opponent_x,Points_x,Position_x,Week,XPA,XPM,Year,Unnamed: 0.1_y,Unnamed: 0.1.1_y,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Team,Total Yards,Touchdowns
0,21,21,0,1,1,Zane Gonzalez,Browns,4.0,K,1,1,1,2017,23,23,0,0,1,Steelers,255,21,4.0,DST,35,1.0,0,Browns,290,0
1,58,58,0,1,1,Zane Gonzalez,Ravens,4.0,K,2,1,1,2017,31,31,0,1,4,Browns,293,10,20.0,DST,93,3.0,0,Ravens,386,0
2,91,91,0,0,0,Zane Gonzalez,Colts,4.0,K,3,4,4,2017,76,76,0,0,3,Browns,235,28,7.0,DST,111,1.0,0,Colts,346,0
3,126,126,0,1,0,Zane Gonzalez,Browns,1.0,K,4,1,1,2017,113,113,0,1,0,Bengals,264,31,5.0,DST,86,3.0,0,Browns,350,0
4,154,154,0,2,0,Zane Gonzalez,Browns,2.0,K,5,2,2,2017,141,141,0,0,1,Jets,178,17,9.0,DST,34,3.0,0,Browns,212,0
5,179,179,0,1,1,Zane Gonzalez,Texans,5.0,K,6,2,2,2017,157,157,0,0,3,Browns,113,17,22.0,DST,134,4.0,1,Texans,247,1
6,198,198,1,3,3,Zane Gonzalez,Browns,11.0,K,7,0,0,2017,189,189,0,1,0,Titans,189,12,11.0,DST,80,2.0,0,Browns,269,0
7,237,237,0,2,1,Zane Gonzalez,Browns,4.0,K,8,2,1,2017,230,230,1,0,1,Vikings,287,33,5.0,DST,88,1.0,0,Browns,375,0
8,287,287,0,1,1,Zane Gonzalez,Lions,6.0,K,10,3,3,2017,268,268,0,1,1,Browns,212,24,15.0,DST,201,4.0,0,Lions,413,1
9,322,322,0,0,0,Zane Gonzalez,Browns,1.0,K,11,1,1,2017,305,305,0,1,0,Jaguars,145,19,8.0,DST,139,2.0,0,Browns,284,0
10,333,333,0,4,3,Zane Gonzalez,Bengals,10.0,K,12,1,1,2017,334,334,0,0,0,Browns,236,16,8.0,DST,169,4.0,0,Bengals,405,0
11,381,381,0,1,1,Zane Gonzalez,Chargers,4.0,K,13,1,1,2017,361,361,0,1,1,Browns,202,10,14.0,DST,89,3.0,0,Chargers,291,0
