,Unnamed: 0,Unnamed: 0.1,50+,FGA,FGM,Name,Opponent,Points,Position,Week,XPA,XPM,Year
21,21,21.0,0.0,1.0,1.0,Zane Gonzalez,Browns,4.0,K,1,1.0,1.0,2017.0
58,58,21.0,0.0,1.0,1.0,Zane Gonzalez,Ravens,4.0,K,2,1.0,1.0,2017.0
91,91,39.5,0.0,1.0,1.0,Zane Gonzalez,Colts,4.0,K,3,1.0,1.0,2017.0
126,126,56.666666666666664,0.0,0.6666666666666666,0.6666666666666666,Zane Gonzalez,Browns,4.0,K,4,2.0,2.0,2017.0
154,154,74.0,0.0,0.75,0.5,Zane Gonzalez,Browns,3.25,K,5,1.75,1.75,2017.0
179,179,90.0,0.0,1.0,0.4,Zane Gonzalez,Texans,3.0,K,6,1.8,1.8,2017.0
198,198,104.83333333333333,0.0,1.0,0.5,Zane Gonzalez,Browns,3.3333333333333335,K,7,1.8333333333333333,1.8333333333333333,2017.0
237,237,118.14285714285714,0.14285714285714285,1.2857142857142858,0.8571428571428571,Zane Gonzalez,Browns,4.428571428571429,K,8,1.5714285714285714,1.5714285714285714,2017.0
287,287,133.0,0.125,1.375,0.875,Zane Gonzalez,Lions,4.375,K,10,1.625,1.5,2017.0
322,322,150.11111111111111,0.1111111111111111,1.3333333333333333,0.8888888888888888,Zane Gonzalez,Browns,4.555555555555555,K,11,1.7777777777777777,1.6666666666666667,2017.0
333,333,167.3,0.1,1.2,0.8,Zane Gonzalez,Bengals,4.2,K,12,1.7,1.6,2017.0
381,381,182.36363636363637,0.09090909090909091,1.4545454545454546,1.0,Zane Gonzalez,Chargers,4.7272727272727275,K,13,1.6363636363636365,1.5454545454545454,2017.0
