,Unnamed: 0,Unnamed: 0.1,50+,FGA,FGM,Name,Opponent,Points,Position,Week,XPA,XPM,Year
21,21,21,0,1,1,Zane Gonzalez,Browns,4.0,K,1,1,1,2017
58,58,58,0,1,1,Zane Gonzalez,Ravens,4.0,K,2,1,1,2017
91,91,91,0,0,0,Zane Gonzalez,Colts,4.0,K,3,4,4,2017
126,126,126,0,1,0,Zane Gonzalez,Browns,1.0,K,4,1,1,2017
154,154,154,0,2,0,Zane Gonzalez,Browns,2.0,K,5,2,2,2017
179,179,179,0,1,1,Zane Gonzalez,Texans,5.0,K,6,2,2,2017
198,198,198,1,3,3,Zane Gonzalez,Browns,11.0,K,7,0,0,2017
237,237,237,0,2,1,Zane Gonzalez,Browns,4.0,K,8,2,1,2017
287,287,287,0,1,1,Zane Gonzalez,Lions,6.0,K,10,3,3,2017
322,322,322,0,0,0,Zane Gonzalez,Browns,1.0,K,11,1,1,2017
333,333,333,0,4,3,Zane Gonzalez,Bengals,10.0,K,12,1,1,2017
381,381,381,0,1,1,Zane Gonzalez,Chargers,4.0,K,13,1,1,2017
