,Unnamed: 0,Unnamed: 0.1,Fumble TD,Fumbles Lost,Name,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Week,Year
5,5,5,0,0,Todd Gurley,Rams,0,0,0,0,0,0,15.0,RB,0,0,56,5,0,19,1,40,1,2017
85,85,85,0,1,Todd Gurley,Rams,0,0,0,0,0,0,23.0,RB,0,1,48,3,0,16,1,88,2,2017
172,172,172,0,0,Todd Gurley,49ers,0,0,0,0,0,0,32.0,RB,0,1,36,5,0,28,2,113,3,2017
263,263,263,0,0,Todd Gurley,Cowboys,0,0,0,0,0,0,27.0,RB,0,1,94,7,0,23,0,121,4,2017
402,402,402,0,1,Todd Gurley,Rams,0,0,0,0,0,0,3.0,RB,0,0,7,2,0,14,0,43,5,2017
452,452,452,0,0,Todd Gurley,Jaguars,0,0,0,0,0,0,11.0,RB,0,0,4,1,0,23,0,116,6,2017
512,512,512,0,0,Todd Gurley,Rams,0,0,0,0,0,0,20.0,RB,0,0,48,4,0,22,1,106,7,2017
663,663,663,0,0,Todd Gurley,Giants,0,0,0,0,0,0,21.0,RB,0,0,45,2,0,16,2,59,9,2017
745,745,745,0,0,Todd Gurley,Rams,0,0,0,0,0,0,12.0,RB,0,0,68,6,0,11,0,68,10,2017
835,835,835,0,0,Todd Gurley,Vikings,0,0,0,0,0,0,10.0,RB,0,0,19,3,0,15,1,37,11,2017
907,907,907,0,0,Todd Gurley,Rams,0,0,0,0,0,0,12.0,RB,0,0,54,4,0,17,0,74,12,2017
986,986,986,0,0,Todd Gurley,Cardinals,0,0,0,0,0,0,15.0,RB,0,0,84,6,0,19,0,74,13,2017
