,Unnamed: 0,Unnamed: 0.1,50+,FGA,FGM,Name,Opponent,Points,Position,Week,XPA,XPM,Year
17,17,17.0,0.0,2.0,1.0,Brandon McManus,Broncos,6.0,K,1,3.0,3.0,2017.0
53,53,17.0,0.0,2.0,1.0,Brandon McManus,Broncos,6.0,K,2,3.0,3.0,2017.0
73,73,35.0,0.0,1.5,0.5,Brandon McManus,Bills,6.0,K,3,4.5,4.5,2017.0
106,106,47.666666666666664,0.0,2.0,1.3333333333333333,Brandon McManus,Broncos,7.333333333333333,K,4,3.3333333333333335,3.3333333333333335,2017.0
184,184,62.25,0.0,2.5,1.75,Brandon McManus,Broncos,8.0,K,6,2.75,2.75,2017.0
232,232,86.6,0.0,2.6,1.6,Brandon McManus,Chiefs,7.2,K,8,2.4,2.4,2017.0
243,243,110.83333333333333,0.0,2.5,1.6666666666666667,Brandon McManus,Eagles,7.166666666666667,K,9,2.1666666666666665,2.1666666666666665,2017.0
275,275,129.71428571428572,0.2857142857142857,2.5714285714285716,1.8571428571428572,Brandon McManus,Broncos,8.285714285714286,K,10,2.142857142857143,2.142857142857143,2017.0
318,318,147.875,0.25,2.625,2.0,Brandon McManus,Broncos,8.5,K,11,2.0,2.0,2017.0
355,355,166.77777777777777,0.2222222222222222,2.5555555555555554,1.8888888888888888,Brandon McManus,Raiders,8.11111111111111,K,12,2.0,2.0,2017.0
383,383,185.6,0.2,2.3,1.7,Brandon McManus,Dolphins,7.5,K,13,2.0,2.0,2017.0
