,Unnamed: 0.1_x,Unnamed: 0.1.1_x,50+,FGA,FGM,Name,Opponent_x,Points_x,Position_x,Week,XPA,XPM,Year,Unnamed: 0.1_y,Unnamed: 0.1.1_y,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Team,Total Yards,Touchdowns
0,17,17,0,2,1,Brandon McManus,Broncos,6.0,K,1,3,3,2017,16,16,1,0,1,Chargers,185,21,6.0,DST,64,1.0,0,Broncos,249,0
1,53,53,0,1,0,Brandon McManus,Broncos,6.0,K,2,6,6,2017,33,33,0,0,2,Cowboys,228,17,16.0,DST,40,2.0,0,Broncos,268,1
2,73,73,0,3,3,Brandon McManus,Bills,10.0,K,3,1,1,2017,72,72,0,0,2,Broncos,255,16,11.0,DST,111,3.0,0,Bills,366,0
3,106,106,0,4,3,Brandon McManus,Broncos,10.0,K,4,1,1,2017,102,102,0,0,1,Raiders,230,10,12.0,DST,24,3.0,0,Broncos,254,0
4,184,184,0,3,1,Brandon McManus,Broncos,4.0,K,6,1,1,2017,174,174,1,0,0,Giants,118,23,6.0,DST,148,3.0,0,Broncos,266,0
5,232,232,0,2,2,Brandon McManus,Chiefs,7.0,K,8,1,1,2017,213,213,0,2,3,Broncos,187,19,23.0,DST,177,3.0,0,Chiefs,364,1
6,243,243,2,3,3,Brandon McManus,Eagles,15.0,K,9,2,2,2017,253,253,0,0,2,Broncos,191,23,8.0,DST,35,3.0,0,Eagles,226,0
7,275,275,0,3,3,Brandon McManus,Broncos,10.0,K,10,1,1,2017,290,290,0,0,0,Patriots,297,41,1.0,DST,99,1.0,0,Broncos,396,0
8,318,318,0,2,1,Brandon McManus,Broncos,5.0,K,11,2,2,2017,306,306,1,0,0,Bengals,141,20,8.0,DST,49,2.0,0,Broncos,190,0
9,355,355,0,0,0,Brandon McManus,Raiders,2.0,K,12,2,2,2017,332,332,0,0,1,Broncos,160,14,11.0,DST,56,5.0,0,Raiders,216,0
10,383,383,0,1,1,Brandon McManus,Dolphins,3.0,K,13,0,0,2017,352,352,1,0,3,Broncos,167,9,28.0,DST,103,3.0,2,Dolphins,270,1
