,Unnamed: 0,Unnamed: 0.1,50+,FGA,FGM,Name,Opponent,Points,Position,Week,XPA,XPM,Year
17,17,17,0,2,1,Brandon McManus,Broncos,6.0,K,1,3,3,2017
53,53,53,0,1,0,Brandon McManus,Broncos,6.0,K,2,6,6,2017
73,73,73,0,3,3,Brandon McManus,Bills,10.0,K,3,1,1,2017
106,106,106,0,4,3,Brandon McManus,Broncos,10.0,K,4,1,1,2017
184,184,184,0,3,1,Brandon McManus,Broncos,4.0,K,6,1,1,2017
232,232,232,0,2,2,Brandon McManus,Chiefs,7.0,K,8,1,1,2017
243,243,243,2,3,3,Brandon McManus,Eagles,15.0,K,9,2,2,2017
275,275,275,0,3,3,Brandon McManus,Broncos,10.0,K,10,1,1,2017
318,318,318,0,2,1,Brandon McManus,Broncos,5.0,K,11,2,2,2017
355,355,355,0,0,0,Brandon McManus,Raiders,2.0,K,12,2,2,2017
383,383,383,0,1,1,Brandon McManus,Dolphins,3.0,K,13,0,0,2017
