,Unnamed: 0,Fumble TD,Fumbles Lost,Name,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Week,Year,Away Games
0,0,0,0,Victor Cruz,Cowboys,0,0,0,0,0,0,29.0,WR,0,3,118,5,0,0,0,0,1,2013,1
1,1,0,0,Demaryius Thomas,Ravens,0,0,0,0,0,0,28.0,WR,0,2,161,5,0,0,0,0,1,2013,0
2,2,0,0,A.J. Green,Bears,0,0,0,0,0,0,28.0,WR,0,2,162,9,0,0,0,0,1,2013,1
3,3,0,0,Anquan Boldin,Packers,0,0,0,0,0,0,26.0,WR,0,1,208,13,0,0,0,0,1,2013,0
4,4,0,0,Leonard Hankerson,Eagles,0,0,0,0,0,0,20.0,WR,0,2,80,5,0,0,0,0,1,2013,0
5,5,0,0,Larry Fitzgerald,Rams,0,0,0,0,0,0,20.0,WR,0,2,80,8,0,0,0,0,1,2013,1
6,6,0,0,Jordy Nelson,49ers,0,0,0,0,0,0,19.0,WR,0,1,130,7,0,0,0,0,1,2013,1
7,7,0,0,Julian Edelman,Bills,0,0,0,0,0,0,19.0,WR,0,2,79,7,0,0,0,0,1,2013,1
8,8,0,1,Wes Welker,Ravens,0,0,0,0,0,0,17.0,WR,0,2,67,9,0,0,0,0,1,2013,0
9,9,0,0,Brian Hartline,Browns,0,0,0,0,0,0,17.0,WR,0,1,114,9,0,0,0,0,1,2013,1
10,10,0,0,Brandon Marshall,Bengals,0,0,0,0,0,0,16.0,WR,0,1,104,8,0,0,0,0,1,2013,0
11,11,0,0,DeSean Jackson,Redskins,0,0,0,0,0,0,16.0,WR,0,1,104,7,0,0,0,0,1,2013,1
12,12,0,0,Randall Cobb,49ers,0,0,0,0,0,0,16.0,WR,0,1,108,7,0,2,0,6,1,2013,1
13,13,0,0,Reggie Wayne,Raiders,0,0,0,0,0,0,15.0,WR,0,1,96,8,0,0,0,0,1,2013,0
14,14,0,0,Vincent Jackson,Jets,0,0,0,0,0,0,15.0,WR,0,0,154,7,0,0,0,0,1,2013,1
15,15,0,0,Jerome Simpson,Lions,0,0,0,0,0,0,14.0,WR,0,0,140,7,0,0,0,0,1,2013,1
16,16,0,0,Eddie Royal,Texans,0,0,0,0,0,0,14.0,WR,0,2,24,3,0,0,0,0,1,2013,0
17,17,0,0,Andre Johnson,Chargers,0,0,0,0,0,0,14.0,WR,0,0,146,12,0,0,0,0,1,2013,1
18,18,0,1,Julio Jones,Saints,0,0,0,0,0,0,12.0,WR,0,1,76,7,0,0,0,0,1,2013,1
19,19,0,0,Marques Colston,Falcons,0,0,0,0,0,0,12.0,WR,0,1,68,5,0,0,0,0,1,2013,0
20,20,0,0,Marlon Brown,Broncos,0,0,0,0,0,0,12.0,WR,0,1,65,4,0,0,0,0,1,2013,1
21,21,0,0,Mike Williams,Jets,0,0,0,0,0,0,11.0,WR,0,1,52,4,0,0,0,0,1,2013,1
22,22,0,0,Steve Smith,Seahawks,0,0,0,0,0,0,11.0,WR,0,1,51,6,0,0,0,0,1,2013,0
23,23,0,0,Hakeem Nicks,Cowboys,0,0,0,0,0,0,11.0,WR,0,0,114,5,0,0,0,0,1,2013,1
24,24,0,0,Rueben Randle,Cowboys,0,0,0,0,0,0,10.0,WR,0,0,101,5,0,0,0,0,1,2013,1
25,25,0,0,Denarius Moore,Colts,0,0,0,0,0,0,10.0,WR,0,1,43,5,0,0,0,0,1,2013,1
26,26,0,0,Jermaine Kearse,Panthers,0,0,0,0,0,0,10.0,WR,0,1,49,2,0,0,0,0,1,2013,1
27,27,0,0,Danny Amendola,Bills,0,0,0,0,0,0,10.0,WR,0,0,104,10,0,0,0,0,1,2013,1
28,28,0,0,Torrey Smith,Broncos,0,0,0,0,0,0,9.0,WR,0,0,92,4,0,0,0,0,1,2013,1
29,29,0,0,Andre Roberts,Rams,0,0,0,0,0,0,9.0,WR,0,0,97,8,0,0,0,0,1,2013,1
30,30,0,0,Stevie Johnson,Patriots,0,0,0,0,0,0,9.0,WR,0,1,39,3,0,0,0,0,1,2013,0
31,31,0,0,Harry Douglas,Saints,0,0,0,0,0,0,9.0,WR,0,0,93,4,0,0,0,0,1,2013,1
32,32,0,0,Jerricho Cotchery,Titans,0,0,0,0,0,0,9.0,WR,0,1,34,4,0,0,0,0,1,2013,0
33,33,0,0,Doug Baldwin,Panthers,0,0,0,0,0,0,9.0,WR,0,0,91,7,0,1,0,3,1,2013,1
34,34,0,0,Kenny Stills,Falcons,0,0,0,0,0,0,8.0,WR,0,0,86,2,0,0,0,0,1,2013,0
35,35,0,0,Michael Floyd,Rams,0,0,0,0,0,0,8.0,WR,0,0,82,4,0,0,0,0,1,2013,1
36,36,0,0,Andre Caldwell,Ravens,0,0,0,0,0,0,8.0,WR,0,1,28,1,0,0,0,0,1,2013,0
37,37,0,0,Robert Woods,Patriots,0,0,0,0,0,0,7.0,WR,0,1,18,1,0,0,0,0,1,2013,0
38,38,0,0,Rod Streater,Colts,0,0,0,0,0,0,7.0,WR,0,0,70,5,0,1,0,9,1,2013,1
39,39,0,0,Brandon Gibson,Browns,0,0,0,0,0,0,7.0,WR,0,0,77,7,0,0,0,0,1,2013,1
40,40,0,0,Nate Burleson,Min,0,0,0,0,0,0,7.0,WR,0,0,78,6,0,0,0,0,1,2013,0
41,41,0,0,Vincent Brown,Texans,0,0,0,0,0,0,7.0,WR,0,1,13,2,0,0,0,0,1,2013,0
42,42,0,0,Antonio Brown,Titans,0,0,0,0,0,0,7.0,WR,0,0,71,5,0,1,0,4,1,2013,0
43,43,0,0,Donnie Avery,Jaguars,0,0,0,0,0,0,7.0,WR,0,1,11,2,0,0,0,0,1,2013,1
44,44,0,0,Miles Austin,Giants,0,0,0,0,0,0,7.0,WR,0,0,72,10,0,0,0,0,1,2013,0
45,45,0,0,DeAndre Hopkins,Chargers,0,0,0,0,0,0,6.0,WR,0,0,66,5,0,0,0,0,1,2013,1
46,46,0,0,Junior Hemingway,Jaguars,0,0,0,0,0,0,6.0,WR,0,1,3,1,0,0,0,0,1,2013,1
