,Unnamed: 0,Unnamed: 0.1,50+,FGA,FGM,Name,Opponent,Points,Position,Week,XPA,XPM,Year
23,23,23,0,1,1,Aldrick Rosas,Cowboys,3.0,K,1,0,0,2017
56,56,56,0,1,1,Aldrick Rosas,Giants,4.0,K,2,1,1,2017
82,82,82,0,1,1,Aldrick Rosas,Eagles,6.0,K,3,3,3,2017
118,118,118,0,2,1,Aldrick Rosas,Buccaneers,5.0,K,4,2,2,2017
153,153,153,0,0,0,Aldrick Rosas,Giants,2.0,K,5,2,2,2017
160,160,160,1,4,3,Aldrick Rosas,Broncos,13.0,K,6,2,2,2017
213,213,213,0,1,0,Aldrick Rosas,Giants,1.0,K,7,1,1,2017
253,253,253,1,2,1,Aldrick Rosas,Giants,7.0,K,9,2,2,2017
282,282,282,0,3,2,Aldrick Rosas,49ers,7.0,K,10,1,1,2017
314,314,314,0,2,2,Aldrick Rosas,Giants,6.0,K,11,1,0,2017
349,349,349,0,1,1,Aldrick Rosas,Redskins,4.0,K,12,1,1,2017
371,371,371,1,1,1,Aldrick Rosas,Raiders,7.0,K,13,2,2,2017
