,Unnamed: 0,Unnamed: 0.1,50+,FGA,FGM,Name,Opponent,Points,Position,Week,XPA,XPM,Year
42,42,42,0,3,3,Randy Bullock,Bengals,9.0,K,2,0,0,2017
83,83,83,0,2,1,Randy Bullock,Packers,6.0,K,3,3,3,2017
114,114,114,0,1,1,Randy Bullock,Browns,7.0,K,4,4,4,2017
142,142,142,0,2,2,Randy Bullock,Bengals,8.0,K,5,2,2,2017
211,211,211,0,0,0,Randy Bullock,Steelers,2.0,K,7,2,2,2017
234,234,234,0,2,1,Randy Bullock,Bengals,6.0,K,8,3,3,2017
294,294,294,0,0,0,Randy Bullock,Titans,2.0,K,10,3,2,2017
320,320,320,0,0,0,Randy Bullock,Broncos,2.0,K,11,3,2,2017
330,330,330,0,3,3,Randy Bullock,Bengals,12.0,K,12,3,3,2017
369,369,369,0,2,2,Randy Bullock,Bengals,8.0,K,13,2,2,2017
