,Unnamed: 0,Unnamed: 0.1,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Team,Total Yards,Touchdowns,Week,Year
1,1,1,0,1,2,Colts,150,9,31.0,DST,75,4.0,1,Rams,225,2,1,2017
58,58,58,0,0,0,Redskins,156,27,3.0,DST,229,2.0,0,Rams,385,0,2,2017
74,74,74,0,1,1,49ers,308,39,8.0,DST,113,4.0,0,Rams,421,0,3,2017
111,111,111,0,1,1,Cowboys,251,30,6.0,DST,189,2.0,0,Rams,440,0,4,2017
135,135,135,0,0,2,Steelers,179,16,11.0,DST,62,3.0,0,Rams,241,0,5,2017
155,155,155,1,0,1,Jaguars,220,17,25.0,DST,169,5.0,0,Rams,389,2,6,2017
186,186,186,0,0,2,Cardinals,171,0,17.0,DST,25,3.0,0,Rams,196,0,7,2017
242,242,242,1,2,1,Giants,208,17,14.0,DST,111,2.0,0,Rams,319,0,9,2017
265,265,265,0,2,2,Texans,194,7,18.0,DST,89,3.0,0,Rams,283,0,10,2017
316,316,316,0,0,0,Vikings,280,24,1.0,DST,171,0.0,0,Rams,451,0,11,2017
339,339,339,0,0,0,Saints,223,20,7.0,DST,123,3.0,0,Rams,346,0,12,2017
353,353,353,2,0,2,Cardinals,194,16,24.0,DST,118,6.0,0,Rams,312,1,13,2017
