,Unnamed: 0,Unnamed: 0.1,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Team,Total Yards,Touchdowns,Week,Year
10,10,10,0,1,1,Eagles,298,30,12.0,DST,58,2.0,0,Redskins,356,1,1,2017
47,47,47,0,1,1,Rams,235,20,10.0,DST,97,2.0,0,Redskins,332,0,2,2017
64,64,64,0,1,2,Raiders,96,10,17.0,DST,32,4.0,0,Redskins,128,0,3,2017
119,119,119,0,0,0,Chiefs,261,29,4.0,DST,168,4.0,0,Redskins,429,0,4,2017
177,177,177,0,0,1,49ers,250,24,6.0,DST,85,3.0,0,Redskins,335,0,6,2017
201,201,201,0,0,1,Eagles,244,34,5.0,DST,127,3.0,0,Redskins,371,0,7,2017
235,235,235,0,1,0,Cowboys,138,33,4.0,DST,169,2.0,0,Redskins,307,0,8,2017
247,247,247,0,0,2,Steelers,289,14,10.0,DST,148,2.0,0,Redskins,437,0,9,2017
285,285,285,0,0,2,Vikings,304,38,4.0,DST,102,0.0,0,Redskins,406,0,10,2017
311,311,311,0,0,1,Saints,375,34,4.0,DST,160,2.0,0,Redskins,535,0,11,2017
326,326,326,0,0,1,Giants,86,10,13.0,DST,84,4.0,0,Redskins,170,0,12,2017
381,381,381,0,0,0,Cowboys,93,38,1.0,DST,182,1.0,0,Redskins,275,0,13,2017
