,Unnamed: 0,50+,FGA,FGM,Name,Opponent,Points,Position,Week,XPA,XPM,Year,Away Games
22,22,0,0,0,Nick Novak,Texans,4.0,K,1,4,4,2013,0
32,32,0,4,4,Nick Novak,Eagles,15.0,K,2,3,3,2013,1
88,88,0,2,1,Nick Novak,Titans,5.0,K,3,2,2,2013,1
103,103,0,3,3,Nick Novak,Cowboys,12.0,K,4,3,3,2013,0
150,150,0,2,1,Nick Novak,Raiders,5.0,K,5,2,2,2013,1
157,157,1,4,4,Nick Novak,Colts,15.0,K,6,1,1,2013,0
211,211,0,1,1,Nick Novak,Jaguars,6.0,K,7,3,3,2013,1
263,263,0,1,1,Nick Novak,Redskins,6.0,K,9,3,3,2013,1
283,283,0,3,2,Nick Novak,Broncos,8.0,K,10,2,2,2013,0
304,304,1,3,3,Nick Novak,Dolphins,12.0,K,11,1,1,2013,1
334,334,0,2,2,Nick Novak,Chiefs,11.0,K,12,5,5,2013,1
383,383,0,1,1,Nick Novak,Bengals,4.0,K,13,1,1,2013,0
393,393,0,3,3,Nick Novak,Giants,13.0,K,14,4,4,2013,0
436,436,0,2,2,Nick Novak,Broncos,9.0,K,15,3,3,2013,1
454,454,0,4,4,Nick Novak,Raiders,14.0,K,16,2,2,2013,0
495,495,0,2,2,Nick Novak,Chiefs,9.0,K,17,3,3,2013,0
540,21,0,1,1,Nick Novak,Cardinals,5.0,K,1,2,2,2014,1
554,35,1,3,3,Nick Novak,Seahawks,14.0,K,2,3,3,2014,0
597,78,0,2,2,Nick Novak,Bills,8.0,K,3,2,2,2014,1
619,100,0,4,4,Nick Novak,Jaguars,15.0,K,4,3,3,2014,0
659,140,0,1,1,Nick Novak,Jets,7.0,K,5,4,4,2014,0
688,169,0,1,1,Nick Novak,Raiders,7.0,K,6,4,4,2014,1
715,196,0,2,2,Nick Novak,Chiefs,8.0,K,7,2,2,2014,0
759,240,0,0,0,Nick Novak,Broncos,3.0,K,8,3,3,2014,1
826,307,1,3,2,Nick Novak,Raiders,9.0,K,11,1,1,2014,0
855,336,0,2,2,Nick Novak,Rams,9.0,K,12,3,3,2014,0
884,365,1,2,2,Nick Novak,Ravens,12.0,K,13,4,4,2014,1
936,417,0,0,0,Nick Novak,Patriots,2.0,K,14,2,2,2014,0
969,450,0,3,1,Nick Novak,Broncos,4.0,K,15,1,1,2014,0
987,468,0,1,1,Nick Novak,49ers,8.0,K,16,5,5,2014,1
1040,521,0,1,0,Nick Novak,Chiefs,1.0,K,17,1,1,2014,1
1626,62,0,0,0,Nick Novak,Patriots,3.0,K,2,3,3,2011,1
1644,80,0,2,2,Nick Novak,Chiefs,8.0,K,3,2,2,2011,0
1664,100,0,4,4,Nick Novak,Dolphins,14.0,K,4,2,2,2011,0
1695,131,1,5,5,Nick Novak,Broncos,19.0,K,5,2,2,2011,1
1767,203,0,0,0,Nick Novak,Jets,3.0,K,7,3,3,2011,1
1775,211,0,5,4,Nick Novak,Chiefs,12.0,K,8,0,0,2011,1
1806,242,1,1,1,Nick Novak,Packers,10.0,K,9,5,5,2011,0
1852,288,0,2,1,Nick Novak,Raiders,5.0,K,10,2,2,2011,0
1871,307,0,3,2,Nick Novak,Bears,8.0,K,11,2,2,2011,1
1906,342,1,4,2,Nick Novak,Broncos,9.0,K,12,1,1,2011,0
1938,374,0,1,1,Nick Novak,Jaguars,8.0,K,13,5,5,2011,1
1972,408,0,1,1,Nick Novak,Bills,7.0,K,14,5,4,2011,0
1999,435,0,3,2,Nick Novak,Ravens,10.0,K,15,4,4,2011,0
2049,485,0,1,1,Nick Novak,Lions,4.0,K,16,1,1,2011,1
2067,503,1,2,1,Nick Novak,Raiders,10.0,K,17,5,5,2011,1
2214,123,0,1,0,Nick Novak,Falcons,3.0,K,4,3,3,2015,1
2230,139,0,2,2,Nick Novak,Colts,8.0,K,5,2,2,2015,0
2264,173,0,1,1,Nick Novak,Jaguars,7.0,K,6,4,4,2015,1
2302,211,0,0,0,Nick Novak,Dolphins,2.0,K,7,3,2,2015,1
2319,228,0,2,2,Nick Novak,Titans,8.0,K,8,2,2,2015,0
2380,289,0,1,1,Nick Novak,Bengals,4.0,K,10,1,1,2015,1
2405,314,0,1,1,Nick Novak,Jets,6.0,K,11,3,3,2015,0
2435,344,0,1,1,Nick Novak,Saints,6.0,K,12,3,3,2015,0
2480,389,0,0,0,Nick Novak,Bills,1.0,K,13,2,1,2015,1
2496,405,0,2,2,Nick Novak,Patriots,6.0,K,14,0,0,2015,0
2520,429,0,4,3,Nick Novak,Colts,10.0,K,15,1,1,2015,1
2549,458,0,2,2,Nick Novak,Titans,10.0,K,16,4,4,2015,1
2576,485,2,4,3,Nick Novak,Jaguars,16.0,K,17,3,3,2015,0
2712,103,0,3,3,Nick Novak,Chiefs,13.0,K,4,4,4,2012,1
2754,145,0,2,1,Nick Novak,Saints,6.0,K,5,3,3,2012,1
2786,177,0,1,1,Nick Novak,Broncos,6.0,K,6,3,3,2012,0
2838,229,0,2,2,Nick Novak,Browns,6.0,K,8,0,0,2012,1
2864,255,0,1,1,Nick Novak,Chiefs,7.0,K,9,4,4,2012,0
2900,291,0,1,1,Nick Novak,Buccaneers,6.0,K,10,3,3,2012,1
2934,325,0,0,0,Nick Novak,Broncos,3.0,K,11,3,3,2012,1
2953,344,0,2,2,Nick Novak,Ravens,7.0,K,12,1,1,2012,0
2991,382,0,3,2,Nick Novak,Bengals,7.0,K,13,1,1,2012,0
3008,399,1,2,2,Nick Novak,Steelers,12.0,K,14,4,4,2012,1
3064,455,0,0,0,Nick Novak,Panthers,1.0,K,15,1,1,2012,0
3070,461,1,2,2,Nick Novak,Jets,11.0,K,16,3,3,2012,1
3116,507,0,1,1,Nick Novak,Raiders,6.0,K,17,3,3,2012,0
3138,6,0,3,3,Nick Novak,Bears,11.0,K,1,2,2,2016,0
3168,36,0,5,4,Nick Novak,Chiefs,13.0,K,2,1,1,2016,0
3232,100,1,3,2,Nick Novak,Titans,11.0,K,4,3,3,2016,0
3269,137,0,3,2,Nick Novak,Min,7.0,K,5,1,1,2016,1
3304,172,0,2,2,Nick Novak,Colts,8.0,K,6,3,2,2016,0
3327,195,0,3,3,Nick Novak,Broncos,9.0,K,7,0,0,2016,1
3361,229,0,2,2,Nick Novak,Lions,8.0,K,8,2,2,2016,0
3421,289,1,3,1,Nick Novak,Jaguars,8.0,K,10,3,3,2016,1
3442,310,0,2,2,Nick Novak,Raiders,8.0,K,11,2,2,2016,1
3475,343,0,2,2,Nick Novak,Chargers,7.0,K,12,1,1,2016,0
3523,391,0,0,0,Nick Novak,Packers,1.0,K,13,2,1,2016,1
3526,394,1,5,5,Nick Novak,Colts,18.0,K,14,1,1,2016,1
3564,432,0,4,4,Nick Novak,Jaguars,13.0,K,15,1,1,2016,0
3612,480,0,2,2,Nick Novak,Bengals,6.0,K,16,1,0,2016,0
3651,519,0,2,1,Nick Novak,Titans,5.0,K,17,2,2,2016,1
