,Unnamed: 0,50+,FGA,FGM,Name,Opponent,Points,Position,Week,XPA,XPM,Year,Away Games
1595,31,0,0,0,Shaun Suisham,Ravens,1.0,K,1,1,1,2011,1
1618,54,0,2,1,Shaun Suisham,Seahawks,6.0,K,2,3,3,2011,0
1634,70,0,4,3,Shaun Suisham,Colts,11.0,K,3,2,2,2011,1
1691,127,0,2,1,Shaun Suisham,Texans,4.0,K,4,1,1,2011,1
1705,141,0,1,1,Shaun Suisham,Titans,8.0,K,5,5,5,2011,0
1743,179,0,2,1,Shaun Suisham,Jaguars,5.0,K,6,2,2,2011,0
1753,189,0,3,3,Shaun Suisham,Cardinals,12.0,K,7,3,3,2011,1
1777,213,0,4,3,Shaun Suisham,Patriots,11.0,K,8,2,2,2011,0
1812,248,0,2,2,Shaun Suisham,Ravens,8.0,K,9,2,2,2011,0
1847,283,0,1,1,Shaun Suisham,Bengals,6.0,K,10,3,3,2011,1
1916,352,0,2,2,Shaun Suisham,Chiefs,7.0,K,12,1,1,2011,1
1947,383,0,1,0,Shaun Suisham,Bengals,5.0,K,13,5,5,2011,0
1989,425,0,0,0,Shaun Suisham,Browns,2.0,K,14,2,2,2011,0
2013,449,1,2,1,Shaun Suisham,49ers,5.0,K,15,0,0,2011,1
2038,474,0,2,2,Shaun Suisham,Rams,9.0,K,16,3,3,2011,0
2077,513,0,3,2,Shaun Suisham,Browns,7.0,K,17,1,1,2011,1
