,Unnamed: 0,Unnamed: 0.1,Fumble TD,Fumbles Lost,Name,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Week,Year
162,162,162,0,0,DeSean Jackson,Buccaneers,0,0,0,0,0,0,3.0,WR,0,0,39,3,0,0,0,0,2,2017
237,237,237,0,0,DeSean Jackson,Vikings,0,0,0,0,0,0,14.0,WR,0,1,84,4,0,0,0,0,3,2017
419,419,419,0,0,DeSean Jackson,Buccaneers,0,0,0,0,0,0,2.0,WR,0,0,20,2,0,0,0,0,4,2017
474,474,474,0,0,DeSean Jackson,Buccaneers,0,0,0,0,0,0,10.0,WR,0,0,106,5,0,0,0,0,5,2017
582,582,582,0,0,DeSean Jackson,Cardinals,0,0,0,0,0,0,9.0,WR,0,1,38,3,0,0,0,0,6,2017
693,693,693,0,0,DeSean Jackson,Bills,0,0,0,0,0,0,7.0,WR,0,0,73,5,0,0,0,0,7,2017
817,817,817,0,0,DeSean Jackson,Buccaneers,0,0,0,0,0,0,3.0,WR,0,0,37,3,0,0,0,0,8,2017
927,927,927,0,0,DeSean Jackson,Saints,0,0,0,0,0,0,2.0,WR,0,0,25,2,0,1,0,8,9,2017
988,988,988,0,0,DeSean Jackson,Buccaneers,0,0,0,0,0,0,8.0,WR,0,0,82,6,0,0,0,0,10,2017
1091,1091,1091,0,0,DeSean Jackson,Dolphins,0,0,0,0,0,0,8.0,WR,0,1,28,2,0,0,0,0,11,2017
1209,1209,1209,0,0,DeSean Jackson,Falcons,0,0,0,0,0,0,6.0,WR,0,0,60,8,0,0,0,0,12,2017
1357,1357,1357,0,0,DeSean Jackson,Packers,0,0,0,0,0,0,2.0,WR,0,0,24,2,0,0,0,0,13,2017
