,Year,Week,Team,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games
11,2016,1,Cowboys,0,0,1,Giants,203,20,8.0,DST,113,2.0,0,316,0,0
56,2016,2,Cowboys,0,0,1,Redskins,350,23,5.0,DST,82,2.0,0,432,0,1
79,2016,3,Cowboys,0,2,0,Bears,312,17,9.0,DST,78,1.0,0,390,0,0
112,2016,4,Cowboys,0,0,1,49ers,189,17,7.0,DST,106,1.0,0,295,0,1
138,2016,5,Cowboys,0,0,0,Bengals,249,14,8.0,DST,96,4.0,0,345,0,0
157,2016,6,Cowboys,0,3,1,Packers,294,16,13.0,DST,78,1.0,0,372,0,1
224,2016,8,Cowboys,0,1,0,Eagles,194,23,6.0,DST,97,3.0,0,291,0,0
247,2016,9,Cowboys,0,0,0,Browns,177,10,11.0,DST,45,4.0,0,222,0,1
292,2016,10,Cowboys,0,0,0,Steelers,400,30,1.0,DST,48,1.0,0,448,0,1
312,2016,11,Cowboys,0,0,0,Ravens,267,17,5.0,DST,101,1.0,0,368,0,0
349,2016,12,Cowboys,0,0,0,Redskins,449,26,1.0,DST,56,0.0,0,505,0,0
367,2016,13,Cowboys,0,1,0,Min,231,15,9.0,DST,87,3.0,0,318,0,1
388,2016,14,Cowboys,0,2,1,Giants,167,10,16.0,DST,93,3.0,0,260,0,1
419,2016,15,Cowboys,0,1,3,Buccaneers,224,20,16.0,DST,52,4.0,0,276,0,0
458,2016,16,Cowboys,0,1,1,Lions,229,21,9.0,DST,90,4.0,0,319,0,0
504,2016,17,Cowboys,0,0,0,Eagles,232,27,3.0,DST,114,2.0,0,346,0,1
512,2013,1,Cowboys,0,3,3,Giants,428,31,27.0,DST,50,3.0,0,478,2,0
555,2013,2,Cowboys,1,0,0,Chiefs,199,17,10.0,DST,114,4.0,0,313,0,1
582,2013,3,Cowboys,0,1,0,Rams,197,7,15.0,DST,35,6.0,0,232,0,0
626,2013,4,Cowboys,0,0,1,Chargers,394,30,9.0,DST,112,1.0,0,506,1,1
659,2013,5,Cowboys,0,1,1,Broncos,414,51,4.0,DST,103,0.0,0,517,0,0
668,2013,6,Cowboys,0,1,1,Redskins,217,16,17.0,DST,216,3.0,0,433,1,0
697,2013,7,Cowboys,0,0,3,Eagles,194,3,19.0,DST,84,3.0,0,278,0,1
739,2013,8,Cowboys,0,2,2,Lions,480,31,9.0,DST,143,1.0,0,623,0,1
756,2013,9,Cowboys,0,1,1,Min,224,23,13.0,DST,169,2.0,0,393,1,0
803,2013,10,Cowboys,0,1,0,Saints,383,49,3.0,DST,242,1.0,0,625,0,1
846,2013,12,Cowboys,0,1,0,Giants,154,21,11.0,DST,202,2.0,0,356,1,1
885,2013,13,Cowboys,0,1,1,Raiders,255,24,5.0,DST,50,0.0,0,305,0,0
924,2013,14,Cowboys,0,0,0,Bears,341,45,1.0,DST,149,1.0,0,490,0,1
951,2013,15,Cowboys,0,0,1,Packers,283,37,4.0,DST,150,2.0,0,433,0,0
987,2013,16,Cowboys,0,0,1,Redskins,197,23,3.0,DST,100,0.0,0,297,0,1
1007,2013,17,Cowboys,0,1,0,Eagles,229,24,8.0,DST,137,5.0,0,366,0,0
1052,2014,1,Cowboys,0,0,0,49ers,192,28,1.0,DST,127,1.0,0,319,0,0
1065,2014,2,Cowboys,0,0,2,Titans,232,10,13.0,DST,82,2.0,0,314,0,1
1096,2014,3,Cowboys,0,1,2,Rams,327,31,12.0,DST,121,0.0,0,448,1,1
1127,2014,4,Cowboys,0,2,1,Saints,334,17,12.0,DST,104,2.0,0,438,0,0
1163,2014,5,Cowboys,0,0,1,Texans,154,17,6.0,DST,176,0.0,0,330,0,0
1196,2014,6,Cowboys,0,0,1,Seahawks,126,23,5.0,DST,80,2.0,0,206,0,1
1227,2014,7,Cowboys,0,2,0,Giants,248,21,5.0,DST,104,0.0,0,352,0,0
1249,2014,8,Cowboys,0,0,1,Redskins,286,20,9.0,DST,123,3.0,0,409,0,0
1276,2014,9,Cowboys,0,0,1,Cardinals,237,28,10.0,DST,102,2.0,0,339,1,0
1299,2014,10,Cowboys,0,2,1,Jaguars,262,17,14.0,DST,71,4.0,0,333,0,1
1367,2014,12,Cowboys,0,0,1,Giants,328,28,4.0,DST,89,2.0,0,417,0,1
1402,2014,13,Cowboys,0,1,0,Eagles,208,33,3.0,DST,256,1.0,0,464,0,0
1427,2014,14,Cowboys,1,1,1,Bears,341,28,6.0,DST,35,0.0,0,376,0,1
1455,2014,15,Cowboys,0,1,2,Eagles,219,27,11.0,DST,75,4.0,0,294,0,1
1477,2014,16,Cowboys,0,1,2,Colts,228,7,15.0,DST,1,2.0,0,229,0,0
1507,2014,17,Cowboys,0,2,2,Redskins,309,17,21.0,DST,104,3.0,0,413,1,1
1551,2011,1,Cowboys,0,1,1,Jets,315,27,9.0,DST,45,4.0,0,360,0,1
1578,2011,2,Cowboys,0,0,1,49ers,132,24,9.0,DST,74,6.0,0,206,0,1
1610,2011,3,Cowboys,1,1,1,Redskins,233,16,13.0,DST,65,3.0,0,298,0,0
1661,2011,4,Cowboys,0,0,1,Lions,240,34,2.0,DST,63,0.0,0,303,0,0
1694,2011,6,Cowboys,0,2,2,Patriots,270,20,15.0,DST,101,3.0,0,371,0,1
1726,2011,7,Cowboys,0,1,1,Rams,195,7,12.0,DST,70,1.0,0,265,0,0
1765,2011,8,Cowboys,0,0,0,Eagles,256,34,4.0,DST,239,4.0,0,495,0,1
1770,2011,9,Cowboys,1,0,3,Seahawks,219,13,16.0,DST,162,1.0,0,381,0,0
1798,2011,10,Cowboys,0,1,3,Bills,136,7,22.0,DST,135,1.0,0,271,1,0
1843,2011,11,Cowboys,0,1,1,Redskins,279,24,8.0,DST,60,3.0,0,339,0,1
1868,2011,12,Cowboys,0,1,0,Dolphins,263,19,10.0,DST,89,4.0,0,352,0,0
1902,2011,13,Cowboys,0,0,0,Cardinals,224,19,9.0,DST,103,5.0,0,327,0,1
1951,2011,14,Cowboys,0,0,1,Giants,400,37,2.0,DST,110,0.0,0,510,0,0
1969,2011,15,Cowboys,0,1,0,Buccaneers,132,15,9.0,DST,58,3.0,0,190,0,1
2006,2011,16,Cowboys,0,0,0,Eagles,281,20,6.0,DST,105,2.0,0,386,0,0
2046,2011,17,Cowboys,0,0,0,Giants,331,31,2.0,DST,106,2.0,0,437,0,1
2064,2012,1,Cowboys,0,1,0,Giants,187,17,9.0,DST,82,3.0,0,269,0,1
2105,2012,2,Cowboys,0,0,0,Seahawks,133,27,3.0,DST,182,2.0,0,315,0,1
2121,2012,3,Cowboys,0,1,1,Buccaneers,91,10,13.0,DST,75,2.0,0,166,0,0
2167,2012,4,Cowboys,0,1,0,Bears,267,34,4.0,DST,93,2.0,0,360,0,0
2228,2012,6,Cowboys,0,0,0,Ravens,230,31,1.0,DST,86,1.0,0,316,0,1
2238,2012,7,Cowboys,0,1,1,Panthers,216,14,10.0,DST,112,2.0,0,328,0,1
2273,2012,8,Cowboys,0,1,1,Giants,190,29,5.0,DST,103,1.0,0,293,0,0
2298,2012,9,Cowboys,0,0,0,Falcons,330,19,7.0,DST,123,3.0,0,453,0,1
2314,2012,10,Cowboys,0,1,1,Eagles,278,23,25.0,DST,91,2.0,0,369,3,1
2357,2012,11,Cowboys,0,1,0,Browns,192,20,8.0,DST,119,2.0,0,311,0,0
2390,2012,12,Cowboys,0,0,1,Redskins,288,38,5.0,DST,149,3.0,0,437,0,0
2413,2012,13,Cowboys,0,1,0,Eagles,240,33,9.0,DST,183,1.0,0,423,1,0
2444,2012,14,Cowboys,0,0,1,Bengals,190,19,11.0,DST,146,5.0,0,336,0,1
2480,2012,15,Cowboys,0,1,1,Steelers,319,24,9.0,DST,69,4.0,0,388,0,0
2526,2012,16,Cowboys,0,0,0,Saints,446,34,0.0,DST,116,0.0,0,562,0,0
2555,2012,17,Cowboys,0,0,0,Redskins,87,28,1.0,DST,274,1.0,0,361,0,1
2581,2010,1,Cowboys,0,0,0,Redskins,161,13,8.0,DST,89,1.0,0,250,0,1
2611,2010,2,Cowboys,0,0,0,Bears,270,27,8.0,DST,38,1.0,0,308,1,0
2627,2010,3,Cowboys,0,1,2,Texans,216,13,17.0,DST,124,4.0,0,340,0,1
2707,2010,5,Cowboys,0,0,0,Titans,163,34,3.0,DST,158,3.0,0,321,0,0
2730,2010,6,Cowboys,0,1,0,Min,93,24,6.0,DST,95,3.0,0,188,0,1
2746,2010,7,Cowboys,0,2,3,Giants,297,41,17.0,DST,200,1.0,0,497,1,0
2788,2010,8,Cowboys,0,1,0,Jaguars,238,35,5.0,DST,149,3.0,0,387,0,0
2817,2010,9,Cowboys,1,0,0,Packers,277,45,3.0,DST,138,1.0,0,415,0,1
2822,2010,10,Cowboys,0,1,2,Giants,373,20,16.0,DST,107,0.0,0,480,1,1
2853,2010,11,Cowboys,0,1,1,Lions,263,19,17.0,DST,75,3.0,0,338,1,0
2902,2010,12,Cowboys,0,1,1,Saints,333,30,6.0,DST,81,2.0,0,414,0,0
2913,2010,13,Cowboys,0,0,4,Colts,365,35,20.0,DST,40,0.0,0,405,2,1
2964,2010,14,Cowboys,0,0,2,Eagles,258,30,6.0,DST,171,2.0,0,429,0,0
2987,2010,15,Cowboys,0,1,2,Redskins,286,30,11.0,DST,55,5.0,0,341,0,0
3036,2010,16,Cowboys,0,0,0,Cardinals,178,27,2.0,DST,93,1.0,0,271,0,1
3041,2010,17,Cowboys,0,1,3,Eagles,123,13,26.0,DST,121,5.0,0,244,1,1
3098,2015,1,Cowboys,0,0,0,Giants,186,26,2.0,DST,99,1.0,0,285,0,0
3105,2015,2,Cowboys,1,1,2,Eagles,219,10,22.0,DST,7,1.0,0,226,1,1
3165,2015,3,Cowboys,0,0,0,Falcons,280,39,1.0,DST,158,1.0,0,438,0,0
3190,2015,4,Cowboys,0,0,0,Saints,335,26,4.0,DST,103,3.0,0,438,0,1
3217,2015,5,Cowboys,0,0,0,Patriots,247,30,5.0,DST,109,5.0,0,356,0,0
