,Year,Week,Team,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games
2561,2010,1,Cardinals,1,1,3,Rams,240,13,19.0,DST,85,2.0,0,325,0,1
2618,2010,2,Cardinals,0,1,0,Falcons,223,41,3.0,DST,221,1.0,0,444,0,1
2633,2010,3,Cardinals,0,0,1,Raiders,231,23,12.0,DST,133,3.0,0,364,1,0
2673,2010,4,Cardinals,0,1,0,Chargers,239,41,9.0,DST,180,1.0,0,419,1,1
2686,2010,5,Cardinals,0,1,3,Saints,273,20,25.0,DST,85,1.0,0,358,2,0
2754,2010,7,Cardinals,0,1,0,Seahawks,158,22,8.0,DST,144,5.0,0,302,0,1
2774,2010,8,Cardinals,1,2,0,Buccaneers,253,38,14.0,DST,154,2.0,0,407,1,0
2796,2010,9,Cardinals,0,1,2,Min,427,27,22.0,DST,80,3.0,0,507,2,1
2838,2010,10,Cardinals,0,0,1,Seahawks,380,36,4.0,DST,110,2.0,0,490,0,0
2878,2010,11,Cardinals,0,0,0,Chiefs,193,31,0.0,DST,159,0.0,0,352,0,1
2900,2010,12,Cardinals,1,0,1,49ers,125,27,6.0,DST,261,1.0,0,386,0,0
2930,2010,13,Cardinals,0,0,1,Rams,169,19,8.0,DST,119,2.0,0,288,0,0
2945,2010,14,Cardinals,0,3,3,Broncos,156,13,26.0,DST,132,1.0,0,288,1,0
2981,2010,15,Cardinals,0,1,0,Panthers,126,19,14.0,DST,177,2.0,0,303,1,1
3009,2010,16,Cardinals,0,1,2,Cowboys,199,26,24.0,DST,183,5.0,0,382,2,0
3068,2010,17,Cardinals,0,0,0,49ers,262,38,2.0,DST,100,2.0,0,362,0,1
