,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Team,Total Yards,Touchdowns,Week,Year
0,0,2,1,@Ten,252,16,24.00,DST,64,2.0,0,Minnesota VikingsMinnesota,316,2,1,2016
1,1,1,1,@Sea,240,12,16.00,DST,112,3.0,0,Miami DolphinsMiami,352,0,1,2016
2,0,0,2,LA,120,0,16.00,DST,65,2.0,0,San Francisco 49ersSan Francisco,185,0,1,2016
3,0,0,1,Cle,168,10,14.00,DST,120,3.0,1,Philadelphia EaglesPhiladelphia,288,0,1,2016
4,1,0,0,Mia,150,10,14.00,DST,64,5.0,0,Seattle SeahawksSeattle,214,0,1,2016
5,0,1,0,@Bal,225,13,13.00,DST,83,4.0,0,Buffalo BillsBuffalo,308,0,1,2016
6,0,0,1,Chi,185,14,11.00,DST,73,5.0,0,Houston TexansHouston,258,0,1,2016
7,0,0,1,Cin,324,23,10.00,DST,57,7.0,0,New York JetsNY Jets,381,0,1,2016
8,0,0,0,Buf,95,7,9.00,DST,65,2.0,0,Baltimore RavensBaltimore,160,0,1,2016
9,0,1,2,@Den,159,21,9.00,DST,148,2.0,0,Carolina PanthersCarolina,307,0,1,2016
10,0,0,1,Car,176,20,9.00,DST,157,3.0,0,Denver BroncosDenver,333,0,1,2016
11,0,0,1,NYG,203,20,8.00,DST,113,2.0,0,Dallas CowboysDallas,316,0,1,2016
12,0,0,2,@Was,329,16,8.00,DST,55,0.0,0,Pittsburgh SteelersPittsburgh,384,0,1,2016
13,0,2,0,NE,257,23,7.00,DST,106,2.0,0,Arizona CardinalsArizona,363,0,1,2016
14,1,0,1,@NYJ,188,22,6.00,DST,152,1.0,0,Cincinnati BengalsCincinnati,340,0,1,2016
15,0,0,1,@Jax,300,23,6.00,DST,48,3.0,0,Green Bay PackersGreen Bay,348,0,1,2016
16,0,0,1,@Hou,215,23,5.00,DST,129,2.0,0,Chicago BearsChicago,344,0,1,2016
17,0,0,1,@KC,330,33,5.00,DST,83,3.0,0,San Diego ChargersSan Diego,413,0,1,2016
18,0,0,0,@Ind,368,35,4.00,DST,82,2.0,1,Detroit LionsDetroit,450,0,1,2016
19,0,0,0,@Ari,252,21,4.00,DST,92,3.0,0,New England PatriotsNew England,344,0,1,2016
20,0,0,0,@Dal,227,19,4.00,DST,101,0.0,0,New York GiantsNY Giants,328,0,1,2016
21,0,0,0,@Atl,322,24,4.00,DST,52,3.0,0,Tampa Bay BuccaneersTampa Bay,374,0,1,2016
22,0,1,0,@NO,419,34,3.00,DST,88,1.0,0,Oakland RaidersOakland,507,0,1,2016
23,0,0,1,Pit,290,38,3.00,DST,147,1.0,0,Washington RedskinsWashington,437,0,1,2016
24,0,0,1,TB,281,31,2.00,DST,90,0.0,0,Atlanta FalconsAtlanta,371,0,1,2016
25,0,0,0,@Phi,270,29,2.00,DST,133,2.0,0,Cleveland BrownsCleveland,403,0,1,2016
26,0,0,0,GB,199,27,2.00,DST,95,1.0,0,Jacksonville JaguarsJacksonville,294,0,1,2016
27,0,0,0,SD,233,27,2.00,DST,155,1.0,0,Kansas City ChiefsKansas City,388,0,1,2016
28,0,1,0,@SF,170,28,2.00,DST,150,0.0,0,Los Angeles RamsLos Angeles,320,0,1,2016
29,0,0,0,Det,332,39,1.00,DST,116,1.0,0,Indianapolis ColtsIndianapolis,448,0,1,2016
30,0,0,0,Min,236,25,1.00,DST,65,0.0,0,Tennessee TitansTennessee,301,0,1,2016
31,0,0,0,Oak,319,35,0.00,DST,167,0.0,0,New Orleans SaintsNew Orleans,486,0,1,2016
32,0,1,4,TB,221,7,26.00,DST,85,3.0,0,Arizona CardinalsArizona,306,1,2,2016
33,0,1,1,Ind,170,20,25.00,DST,83,5.0,0,Denver BroncosDenver,253,2,2,2016
34,0,3,0,KC,172,12,17.00,DST,119,4.0,0,Houston TexansHouston,291,0,2,2016
35,1,0,0,NO,247,13,17.00,DST,41,2.0,0,New York GiantsNY Giants,288,1,2,2016
36,1,0,2,@Cle,242,20,15.00,DST,145,3.0,0,Baltimore RavensBaltimore,387,0,2,2016
37,0,1,2,SF,237,27,15.00,DST,65,2.0,0,Carolina PanthersCarolina,302,1,2,2016
38,0,2,1,GB,180,14,15.00,DST,83,5.0,0,Minnesota VikingsMinnesota,263,0,2,2016
39,0,1,0,Sea,239,3,14.00,DST,67,2.0,0,Los Angeles RamsLos Angeles,306,0,2,2016
