,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Team,Total Yards,Touchdowns,Week,Year
55,0,0,0,Ten,129,24,7.00,DST,119,4.0,1,Houston TexansHouston,248,0,2,2013
56,1,1,0,Det,273,21,6.00,DST,49,1.0,0,Arizona CardinalsArizona,322,0,2,2013
57,0,1,1,@Buf,287,24,6.00,DST,149,1.0,0,Carolina PanthersCarolina,436,0,2,2013
58,0,2,0,SD,413,33,5.00,DST,126,1.0,0,Philadelphia EaglesPhiladelphia,539,0,2,2013
59,0,0,0,@Cin,280,20,4.00,DST,127,0.0,0,Pittsburgh SteelersPittsburgh,407,0,2,2013
60,0,0,0,@GB,441,38,4.00,DST,139,4.0,0,Washington RedskinsWashington,580,0,2,2013
61,0,1,0,Den,307,41,2.00,DST,107,0.0,0,New York GiantsNY Giants,414,0,2,2013
62,0,0,0,@Phi,411,30,2.00,DST,100,2.0,0,San Diego ChargersSan Diego,511,0,2,2013
63,0,0,0,@Atl,357,31,2.00,DST,36,2.0,0,St. Louis RamsSt. Louis,393,0,2,2013
64,0,3,2,@Pit,379,23,26.00,DST,80,3.0,0,Chicago BearsChicago,459,2,3,2013
65,0,3,2,@Phi,167,16,26.00,DST,264,6.0,0,Kansas City ChiefsKansas City,431,1,3,2013
66,0,0,1,Hou,170,9,24.00,DST,94,3.0,0,Baltimore RavensBaltimore,264,2,3,2013
67,0,1,2,NYG,90,0,23.00,DST,60,7.0,0,Carolina PanthersCarolina,150,0,3,2013
68,1,3,1,@Cin,215,34,20.00,DST,82,4.0,0,Green Bay PackersGreen Bay,297,1,3,2013
69,0,2,2,GB,217,30,18.00,DST,182,4.0,0,Cincinnati BengalsCincinnati,399,1,3,2013
70,0,1,0,Stl,197,7,15.00,DST,35,6.0,0,Dallas CowboysDallas,232,0,3,2013
71,0,0,1,TB,226,3,15.00,DST,97,3.0,0,New England PatriotsNew England,323,0,3,2013
72,0,0,2,Ari,161,7,15.00,DST,86,4.0,0,New Orleans SaintsNew Orleans,247,0,3,2013
73,0,1,1,@SF,139,7,14.00,DST,115,3.0,0,Indianapolis ColtsIndianapolis,254,0,3,2013
74,0,2,1,@Min,195,27,13.00,DST,134,6.0,0,Cleveland BrownsCleveland,329,0,3,2013
75,0,1,2,Jax,214,17,13.00,DST,51,3.0,0,Seattle SeahawksSeattle,265,0,3,2013
