,Unnamed: 0,Unnamed: 0.1,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Team,Total Yards,Touchdowns,Week,Year
5,5,5,0,1,1,49ers,166,3,18.0,DST,51,4.0,0,Panthers,217,0,1,2017
38,38,38,0,0,0,Bills,107,3,13.0,DST,69,3.0,0,Panthers,176,0,2,2017
90,90,90,0,0,0,Saints,213,34,1.0,DST,149,1.0,0,Panthers,362,0,3,2017
120,120,120,0,0,0,Patriots,293,30,3.0,DST,80,3.0,0,Panthers,373,0,4,2017
140,140,140,0,1,0,Lions,192,24,9.0,DST,50,6.0,0,Panthers,242,0,5,2017
178,178,178,0,1,0,Eagles,209,28,5.0,DST,101,3.0,0,Panthers,310,0,6,2017
190,190,190,1,0,0,Bears,85,17,10.0,DST,68,4.0,0,Panthers,153,0,7,2017
216,216,216,0,1,2,Buccaneers,194,3,19.0,DST,85,3.0,0,Panthers,279,0,8,2017
250,250,250,0,0,1,Falcons,302,17,8.0,DST,53,2.0,0,Panthers,355,0,9,2017
286,286,286,0,0,1,Dolphins,213,21,3.0,DST,100,0.0,0,Panthers,313,0,10,2017
321,321,321,0,1,0,Jets,282,27,18.0,DST,109,3.0,0,Panthers,391,2,12,2017
374,374,374,0,1,0,Saints,252,31,4.0,DST,148,2.0,0,Panthers,400,0,13,2017
