,Unnamed: 0.1_x,Unnamed: 0.1.1_x,50+,FGA,FGM,Name,Opponent_x,Points_x,Position_x,Week,XPA,XPM,Year,Unnamed: 0.1_y,Unnamed: 0.1.1_y,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Team,Total Yards,Touchdowns
0,9,9,0,3,3,Matt Bryant,Bears,11.0,K,1,2,2,2017,25,25,0,0,0,Falcons,308,23,3.0,DST,64,2.0,0,Bears,372,0
1,31,31,2,2,2,Matt Bryant,Falcons,14.0,K,2,4,4,2017,34,34,0,1,1,Packers,308,23,14.0,DST,59,3.0,0,Falcons,367,1
2,70,70,0,3,3,Matt Bryant,Lions,12.0,K,3,3,3,2017,68,68,0,0,3,Falcons,277,30,14.0,DST,151,2.0,0,Lions,428,1
3,120,120,0,1,1,Matt Bryant,Falcons,5.0,K,4,2,2,2017,116,116,0,0,0,Bills,164,23,4.0,DST,117,3.0,0,Falcons,281,0
4,175,175,1,2,1,Matt Bryant,Falcons,7.0,K,6,2,2,2017,173,173,0,0,1,Dolphins,151,20,6.0,DST,138,0.0,0,Falcons,289,0
5,214,214,0,2,0,Matt Bryant,Patriots,1.0,K,7,1,1,2017,191,191,1,0,0,Falcons,223,7,10.0,DST,120,1.0,0,Patriots,343,0
6,221,221,0,4,4,Matt Bryant,Jets,13.0,K,8,1,1,2017,228,228,0,2,0,Falcons,246,25,6.0,DST,140,1.0,0,Jets,386,0
7,254,254,1,1,1,Matt Bryant,Panthers,7.0,K,9,2,2,2017,250,250,0,0,1,Falcons,302,17,8.0,DST,53,2.0,0,Panthers,355,0
8,274,274,1,2,2,Matt Bryant,Falcons,11.0,K,10,3,3,2017,264,264,0,2,0,Cowboys,126,7,19.0,DST,107,8.0,0,Falcons,233,0
9,306,306,0,2,2,Matt Bryant,Steelers,10.0,K,11,4,4,2017,297,297,1,0,4,Titans,264,17,19.0,DST,52,5.0,0,Steelers,316,0
10,306,306,0,2,2,Matt Bryant,Steelers,10.0,K,11,4,4,2017,312,312,0,1,0,Falcons,190,34,3.0,DST,89,1.0,0,Steelers,279,0
11,335,335,0,2,2,Matt Bryant,Falcons,10.0,K,12,4,4,2017,343,343,0,0,0,Buccaneers,279,20,5.0,DST,94,1.0,0,Falcons,373,0
12,366,366,0,4,3,Matt Bryant,Falcons,9.0,K,13,0,0,2017,366,366,0,0,0,Vikings,207,14,6.0,DST,105,2.0,0,Falcons,312,0
