,Unnamed: 0,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Team,Total Yards,Touchdowns,Week,Year
62,62,0,0,3,Panthers,156,13,17.0,DST,132,4.0,0,Saints,288,0,3,2017
63,63,0,0,2,Dolphins,195,6,17.0,DST,30,3.0,0,Jets,225,0,3,2017
64,64,0,1,2,Raiders,96,10,17.0,DST,32,4.0,0,Redskins,128,0,3,2017
65,65,0,0,1,Packers,280,27,15.0,DST,64,6.0,0,Bengals,344,1,3,2017
66,66,0,1,2,Ravens,52,7,15.0,DST,134,2.0,0,Jaguars,186,0,3,2017
67,67,0,0,3,Chargers,226,10,15.0,DST,104,2.0,0,Chiefs,330,0,3,2017
68,68,0,0,3,Falcons,277,30,14.0,DST,151,2.0,0,Lions,428,1,3,2017
69,69,1,2,0,Steelers,212,17,13.0,DST,70,3.0,0,Bears,282,0,3,2017
70,70,0,1,0,Patriots,337,36,13.0,DST,59,5.0,0,Texans,396,1,3,2017
71,71,0,0,3,Buccaneers,316,17,12.0,DST,26,2.0,0,Vikings,342,0,3,2017
72,72,0,0,2,Broncos,255,16,11.0,DST,111,3.0,0,Bills,366,0,3,2017
73,73,0,0,0,Cardinals,283,17,10.0,DST,49,6.0,0,Cowboys,332,0,3,2017
74,74,0,1,1,49ers,308,39,8.0,DST,113,4.0,0,Rams,421,0,3,2017
75,75,0,1,0,Jets,233,20,8.0,DST,103,2.0,0,Dolphins,336,0,3,2017
76,76,0,0,3,Browns,235,28,7.0,DST,111,1.0,0,Colts,346,0,3,2017
77,77,0,1,1,Bears,84,23,7.0,DST,222,2.0,0,Steelers,306,0,3,2017
78,78,0,1,0,Bengals,191,24,6.0,DST,110,3.0,0,Packers,301,0,3,2017
79,79,0,0,0,Chiefs,122,24,6.0,DST,189,5.0,0,Chargers,311,0,3,2017
80,80,0,0,2,Texans,292,33,6.0,DST,125,2.0,0,Patriots,417,0,3,2017
81,81,0,1,0,Eagles,161,27,6.0,DST,193,3.0,0,Giants,354,0,3,2017
82,82,0,2,0,Redskins,356,27,6.0,DST,116,1.0,0,Raiders,472,0,3,2017
83,83,0,1,0,Colts,243,31,5.0,DST,92,3.0,0,Browns,335,0,3,2017
84,84,0,0,0,Bills,197,26,5.0,DST,75,4.0,0,Broncos,272,0,3,2017
85,85,0,0,2,Giants,366,24,5.0,DST,49,0.0,0,Eagles,415,0,3,2017
86,86,0,2,0,Rams,292,41,4.0,DST,126,0.0,0,49ers,418,0,3,2017
87,87,0,0,0,Lions,253,26,3.0,DST,71,2.0,0,Falcons,324,0,3,2017
88,88,0,0,0,Steelers,364,27,2.0,DST,69,1.0,0,Titans,433,0,3,2017
89,89,0,0,0,Cowboys,174,28,1.0,DST,99,1.0,0,Cardinals,273,0,3,2017
90,90,0,0,0,Saints,213,34,1.0,DST,149,1.0,0,Panthers,362,0,3,2017
91,91,0,0,0,Jaguars,244,44,0.0,DST,166,0.0,0,Ravens,410,0,3,2017
92,92,0,0,0,Titans,225,33,0.0,DST,195,0.0,0,Steelers,420,0,3,2017
93,93,0,0,0,Vikings,369,34,0.0,DST,125,0.0,0,Buccaneers,494,0,3,2017
94,94,0,1,1,Colts,139,18,23.0,DST,98,3.0,0,Steelers,237,2,4,2017
95,95,0,1,4,Titans,109,14,22.0,DST,86,2.0,0,Texans,195,1,4,2017
96,96,0,1,2,Falcons,242,17,17.0,DST,147,1.0,0,Bills,389,1,4,2017
97,97,0,1,2,Ravens,206,9,17.0,DST,82,4.0,0,Steelers,288,0,4,2017
98,98,0,1,1,Jets,215,23,16.0,DST,256,5.0,0,Jaguars,471,1,4,2017
99,99,0,0,1,Dolphins,128,0,16.0,DST,58,4.0,0,Saints,186,0,4,2017
100,100,0,3,0,Vikings,197,7,15.0,DST,87,2.0,0,Lions,284,0,4,2017
101,101,0,2,2,Bears,205,14,13.0,DST,103,1.0,0,Packers,308,0,4,2017
102,102,0,0,1,Raiders,230,10,12.0,DST,24,3.0,0,Broncos,254,0,4,2017
103,103,0,1,0,Redskins,220,20,12.0,DST,111,0.0,0,Chiefs,331,1,4,2017
104,104,0,0,1,Cardinals,317,18,12.0,DST,51,6.0,0,49ers,368,0,4,2017
105,105,0,0,1,Browns,170,7,11.0,DST,45,2.0,0,Bengals,215,0,4,2017
106,106,0,0,0,Lions,154,14,10.0,DST,97,6.0,0,Vikings,251,0,4,2017
107,107,0,0,1,49ers,210,15,9.0,DST,95,3.0,0,Cardinals,305,0,4,2017
108,108,0,0,2,Steelers,283,46,9.0,DST,194,3.0,1,Colts,477,0,4,2017
109,109,0,0,0,Broncos,155,16,8.0,DST,143,4.0,0,Raiders,298,0,4,2017
110,110,0,0,1,Jaguars,136,20,7.0,DST,175,1.0,0,Jets,311,0,4,2017
111,111,0,1,1,Cowboys,251,30,6.0,DST,189,2.0,0,Rams,440,0,4,2017
112,112,0,1,1,Panthers,304,33,6.0,DST,140,2.0,0,Patriots,444,0,4,2017
113,113,0,1,0,Bengals,264,31,5.0,DST,86,3.0,0,Browns,350,0,4,2017
114,114,0,0,0,Saints,261,20,5.0,DST,86,1.0,0,Dolphins,347,0,4,2017
115,115,0,1,0,Chargers,342,24,5.0,DST,58,2.0,0,Eagles,400,0,4,2017
116,116,0,0,0,Bills,164,23,4.0,DST,117,3.0,0,Falcons,281,0,4,2017
117,117,0,0,1,Steelers,208,26,4.0,DST,173,1.0,0,Ravens,381,0,4,2017
118,118,0,0,1,Texans,272,57,4.0,DST,173,2.0,0,Titans,445,0,4,2017
