,Year,Week,Name,Opponent,Position,Away Games,Rush Attempts,Rush TD,Pass Interceptions,Pass Completions,Pass TD,Fumbles Lost,Pass 2PT,Points,Rush Yards,Receiving 2PT,Pass Yards,Receiving TD,Fumble TD,Rush 2PT,Pass Attempts,Receiving Yards,Receptions
3387,,,Drew Brees,Cowboys,QB,,,,,,,,,,,,,,,,,,
3412,,,Drew Brees,Bengals,QB,,,,,,,,,,,,,,,,,,
3452,,,Drew Brees,Rams,QB,,,,,,,,,,,,,,,,,,
3487,,,Drew Brees,Ravens,QB,,,,,,,,,,,,,,,,,,
3541,,,Drew Brees,Falcons,QB,,,,,,,,,,,,,,,,,,
3579,,,Drew Brees,Buccaneers,QB,,,,,,,,,,,,,,,,,,
3600,-1.4170704114467471e+18,1.0,Drew Brees,Raiders,QB,0.0,128.0,0.0,0.0,13492928512.0,16384.0,1.0,0.0,137231006679.0,78125.0,0.0,2.4231626798577946e+18,0.0,0.0,0.0,230539333248.0,0.0,0.0
3652,-1.4170704114467471e+18,128.0,Drew Brees,Giants,QB,1.0,0.0,0.0,0.0,17249876309.0,1.0,0.0,0.0,268435456.0,0.0,0.0,8.703425965985176e+16,0.0,0.0,0.0,319277809664.0,0.0,0.0
3673,-1.4170704114467471e+18,2187.0,Drew Brees,Falcons,QB,0.0,128.0,0.0,1.0,78364164096.0,2187.0,0.0,0.0,27512614111.0,4782969.0,0.0,1.0624656903252214e+18,0.0,0.0,0.0,1338925209984.0,0.0,0.0
3720,-1.4170704114467471e+18,16384.0,Drew Brees,Chargers,QB,1.0,16384.0,0.0,128.0,3404825447.0,128.0,0.0,0.0,268435456.0,-16384.0,0.0,1.6285174563412144e+16,0.0,0.0,0.0,78364164096.0,0.0,0.0
3769,-1.4170704114467471e+18,279936.0,Drew Brees,Panthers,QB,0.0,0.0,0.0,1.0,52523350144.0,16384.0,0.0,0.0,163840000000.0,0.0,0.0,4.70078805162164e+18,0.0,0.0,0.0,678223072849.0,0.0,0.0
3805,-1.4170704114467471e+18,823543.0,Drew Brees,Chiefs,QB,1.0,0.0,0.0,1.0,94931877133.0,2187.0,0.0,0.0,21870000000.0,0.0,0.0,8.967315496113902e+17,0.0,0.0,0.0,587068342272.0,0.0,0.0
3849,-1.4170704114467471e+18,2097152.0,Drew Brees,Seahawks,QB,0.0,1.0,1.0,0.0,10460353203.0,1.0,0.0,0.0,2494357888.0,1.0,0.0,9.177430779976563e+16,0.0,0.0,0.0,64339296875.0,0.0,0.0
3872,-1.4170704114467471e+18,4782969.0,Drew Brees,49ers,QB,1.0,128.0,0.0,0.0,13492928512.0,2187.0,0.0,0.0,21870000000.0,-128.0,0.0,3.6679014321346234e+17,0.0,0.0,0.0,137231006679.0,0.0,0.0
3903,-1.4170704114467471e+18,10000000.0,Drew Brees,Broncos,QB,0.0,128.0,0.0,128.0,1801088541.0,2187.0,0.0,0.0,8031810176.0,4782969.0,0.0,2.3447600150580307e+17,0.0,0.0,0.0,17249876309.0,0.0,0.0
3942,-1.4170704114467471e+18,19487171.0,Drew Brees,Panthers,QB,1.0,128.0,0.0,1.0,64339296875.0,128.0,1.0,0.0,1280000000.0,0.0,0.0,1.5272636665570314e+17,0.0,0.0,0.0,319277809664.0,0.0,0.0
3962,-1.4170704114467471e+18,35831808.0,Drew Brees,LA,QB,0.0,1.0,1.0,0.0,13492928512.0,16384.0,1.0,0.0,194754273881.0,1.0,0.0,2.7512614111e+17,0.0,0.0,0.0,78364164096.0,0.0,0.0
4022,-1.4170704114467471e+18,62748517.0,Drew Brees,Lions,QB,0.0,0.0,0.0,2187.0,27512614111.0,0.0,0.0,0.0,823543.0,0.0,0.0,3.913120308755798e+17,0.0,0.0,0.0,319277809664.0,0.0,0.0
4063,-1.4170704114467471e+18,105413504.0,Drew Brees,Buccaneers,QB,1.0,1.0,0.0,2187.0,6103515625.0,0.0,0.0,0.0,16384.0,128.0,0.0,7.40511595315218e+16,0.0,0.0,0.0,194754273881.0,0.0,0.0
4069,-1.4170704114467471e+18,170859375.0,Drew Brees,Cardinals,QB,1.0,128.0,0.0,0.0,94931877133.0,16384.0,1.0,0.0,114415582592.0,-128.0,0.0,1.3478675236495237e+18,0.0,0.0,0.0,587068342272.0,0.0,0.0
4124,-1.4170704114467471e+18,268435456.0,Drew Brees,Buccaneers,QB,0.0,16384.0,0.0,0.0,3404825447.0,1.0,0.0,0.0,410338673.0,1.0,0.0,2.136477474431121e+17,0.0,0.0,0.0,52523350144.0,0.0,0.0
4152,-1.4170704114467471e+18,410338673.0,Drew Brees,Falcons,QB,1.0,0.0,0.0,1.0,17249876309.0,128.0,0.0,0.0,4586471424.0,0.0,0.0,6.4339296875e+17,0.0,0.0,0.0,781250000000.0,0.0,0.0
