,Unnamed: 0,Fumble TD,Fumbles Lost,Name,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Week,Year
0,0,0,0,Stefon Diggs,Vikings,0,0,0,0,0,0,21.0,WR,0,2,93,7,0,1,0,-6,1,2017
1,1,0,0,Tyreek Hill,Patriots,0,0,0,0,0,0,19.0,WR,0,1,133,7,0,2,0,5,1,2017
2,2,0,0,Kenny Golladay,Lions,0,0,0,0,0,0,18.0,WR,0,2,69,4,0,0,0,0,1,2017
3,3,0,0,Antonio Brown,Browns,0,0,0,0,0,0,18.0,WR,0,0,182,11,0,0,0,0,1,2017
4,4,0,0,Adam Thielen,Vikings,0,0,0,0,0,0,15.0,WR,0,0,157,9,0,0,0,0,1,2017
5,5,0,0,Bennie Fowler,Broncos,0,0,0,0,0,0,14.0,WR,0,2,21,3,0,0,0,0,1,2017
6,6,0,0,Nelson Agholor,Redskins,0,0,0,0,0,0,14.0,WR,0,1,86,6,0,0,0,0,1,2017
7,7,0,0,Jordy Nelson,Packers,0,0,0,0,0,0,13.0,WR,0,1,79,7,0,0,0,0,1,2017
8,8,0,0,Cooper Kupp,Rams,0,0,0,0,0,0,13.0,WR,0,1,76,4,0,0,0,0,1,2017
9,9,0,0,Amari Cooper,Titans,0,0,0,0,0,0,12.0,WR,0,1,62,5,0,0,0,0,1,2017
10,10,0,0,Russell Shepard,49ers,0,0,0,0,0,0,11.0,WR,0,1,53,2,0,0,0,0,1,2017
11,11,0,0,Jeremy Maclin,Bengals,0,0,0,0,0,0,11.0,WR,0,1,56,2,0,0,0,0,1,2017
12,12,0,0,DeAndre Hopkins,Texans,0,0,0,0,0,0,11.0,WR,0,1,55,7,0,0,0,0,1,2017
13,13,0,0,Corey Coleman,Browns,0,0,0,0,0,0,11.0,WR,0,1,53,5,0,0,0,0,1,2017
14,14,0,0,Golden Tate,Lions,0,0,0,0,0,0,10.0,WR,0,0,107,10,0,2,0,7,1,2017
15,15,0,0,J.J. Nelson,Lions,0,0,0,0,0,0,10.0,WR,0,1,43,5,0,0,0,0,1,2017
16,16,0,0,Travis Benjamin,Broncos,0,0,0,0,0,0,10.0,WR,0,1,43,3,0,0,0,0,1,2017
17,17,0,0,Danny Amendola,Patriots,0,0,0,0,0,0,10.0,WR,0,0,100,6,0,0,0,0,1,2017
18,18,0,0,Marvin Jones,Lions,0,0,0,0,0,0,9.0,WR,0,1,37,2,0,0,0,0,1,2017
19,19,0,0,Keenan Allen,Broncos,0,0,0,0,0,0,9.0,WR,0,1,35,5,0,0,0,0,1,2017
20,20,0,0,Pierre Garcon,49ers,0,0,0,0,0,0,8.0,WR,0,0,81,6,0,0,0,0,1,2017
21,21,0,0,Michael Crabtree,Titans,0,0,0,0,0,0,8.0,WR,0,0,83,6,0,0,0,0,1,2017
22,22,0,0,Brandin Cooks,Patriots,0,0,0,0,0,0,8.0,WR,0,0,88,3,0,0,0,0,1,2017
23,23,0,0,Randall Cobb,Packers,0,0,0,0,0,0,8.0,WR,0,0,85,9,0,0,0,0,1,2017
24,24,0,0,Seth Roberts,Titans,0,0,0,0,0,0,7.0,WR,0,1,19,1,0,0,0,0,1,2017
25,25,0,0,Rishard Matthews,Titans,0,0,0,0,0,0,7.0,WR,0,0,71,5,0,0,0,0,1,2017
26,26,0,0,A.J. Green,Bengals,0,0,0,0,0,0,7.0,WR,0,0,74,5,0,0,0,0,1,2017
27,27,0,0,Larry Fitzgerald,Lions,0,0,0,0,0,0,7.0,WR,0,0,74,6,0,0,0,0,1,2017
28,28,0,0,Terrance Williams,Cowboys,0,0,0,0,0,0,6.0,WR,0,0,68,6,0,0,0,0,1,2017
29,29,0,0,Demaryius Thomas,Broncos,0,0,0,0,0,0,6.0,WR,0,0,67,5,0,0,0,0,1,2017
30,30,0,0,Terrelle Pryor,Redskins,0,0,0,0,0,0,6.0,WR,0,0,66,6,0,0,0,0,1,2017
31,31,0,0,Jordan Matthews,Bills,0,0,0,0,0,0,6.0,WR,0,0,61,2,0,0,0,0,1,2017
32,32,0,0,Julio Jones,Bears,0,0,0,0,0,0,6.0,WR,0,0,66,4,0,0,0,0,1,2017
33,33,0,0,Andre Holmes,Bills,0,0,0,0,0,0,6.0,WR,0,1,1,1,0,0,0,0,1,2017
34,34,0,0,Ryan Grant,Redskins,0,0,0,0,0,0,6.0,WR,0,0,61,4,0,0,0,0,1,2017
35,35,0,0,Corey Davis,Titans,0,0,0,0,0,0,6.0,WR,0,0,69,6,0,0,0,0,1,2017
36,36,0,0,Doug Baldwin,Packers,0,0,0,0,0,0,6.0,WR,0,0,63,4,0,1,0,-3,1,2017
37,37,0,0,Robert Woods,Rams,0,0,0,0,0,0,5.0,WR,0,0,53,3,0,0,0,0,1,2017
38,38,0,0,Tyrell Williams,Broncos,0,0,0,0,0,0,5.0,WR,0,0,54,5,0,0,0,0,1,2017
39,39,0,0,Sammy Watkins,Rams,0,0,0,0,0,0,5.0,WR,0,0,58,5,0,0,0,0,1,2017
40,40,0,0,Paul Richardson,Packers,0,0,0,0,0,0,5.0,WR,0,0,59,4,0,0,0,0,1,2017
41,41,0,0,Donte Moncrief,Rams,0,0,0,0,0,0,5.0,WR,0,0,50,1,0,0,0,0,1,2017
42,42,0,0,Tommylee Lewis,Vikings,0,0,0,0,0,0,5.0,WR,0,0,52,2,0,0,0,0,1,2017
43,43,0,0,Roger Lewis,Cowboys,0,0,0,0,0,0,5.0,WR,0,0,54,4,0,0,0,0,1,2017
44,44,0,0,Jermaine Kearse,Bills,0,0,0,0,0,0,5.0,WR,0,0,59,7,0,0,0,0,1,2017
45,45,0,0,Alshon Jeffery,Redskins,0,0,0,0,0,0,5.0,WR,1,0,38,3,0,0,0,0,1,2017
46,46,0,0,Ted Ginn J,Vikings,0,0,0,0,0,0,5.0,WR,0,0,53,4,0,1,0,5,1,2017
47,47,0,0,Michael Thomas,Vikings,0,0,0,0,0,0,4.0,WR,0,0,45,5,0,0,0,0,1,2017
48,48,0,0,Sterling Shepard,Cowboys,0,0,0,0,0,0,4.0,WR,0,0,44,7,0,1,0,6,1,2017
49,49,0,0,Mohamed Sanu,Bears,0,0,0,0,0,0,4.0,WR,0,0,47,6,0,0,0,0,1,2017
50,50,0,0,Allen Hurns,Texans,0,0,0,0,0,0,4.0,WR,0,0,42,3,0,0,0,0,1,2017
51,51,0,1,T.Y. Hilton,Rams,0,0,0,0,0,0,4.0,WR,0,0,57,3,0,0,0,0,1,2017
52,52,0,0,Seth Devalve,Browns,0,0,0,0,0,0,4.0,WR,0,0,42,4,0,0,0,0,1,2017
53,53,0,0,Chris Conley,Patriots,0,0,0,0,0,0,4.0,WR,0,0,43,2,0,0,0,0,1,2017
54,54,0,0,Dez Bryant,Cowboys,0,0,0,0,0,0,4.0,WR,0,0,43,2,0,0,0,0,1,2017
55,55,0,0,John Brown,Lions,0,0,0,0,0,0,4.0,WR,0,0,32,4,0,1,0,10,1,2017
56,56,0,0,Davante Adams,Packers,0,0,0,0,0,0,4.0,WR,0,0,47,3,0,0,0,0,1,2017
57,57,0,0,Kendall Wright,Bears,0,0,0,0,0,0,3.0,WR,0,0,34,3,0,0,0,0,1,2017
58,58,0,0,Albert Wilson,Patriots,0,0,0,0,0,0,3.0,WR,0,0,37,5,0,0,0,0,1,2017
59,59,0,0,Torrey Smith,Redskins,0,0,0,0,0,0,3.0,WR,0,0,30,1,0,0,0,0,1,2017
60,60,0,0,Ricardo Louis,Browns,0,0,0,0,0,0,3.0,WR,0,0,32,2,0,0,0,0,1,2017
61,61,0,0,TJ Jones,Lions,0,0,0,0,0,0,3.0,WR,0,0,32,2,0,0,0,0,1,2017
62,62,0,0,Taylor Gabriel,Bears,0,0,0,0,0,0,3.0,WR,0,0,36,3,0,0,0,0,1,2017
63,63,0,0,Brice Butler,Cowboys,0,0,0,0,0,0,3.0,WR,0,0,30,1,0,0,0,0,1,2017
64,64,0,0,Cole Beasley,Cowboys,0,0,0,0,0,0,3.0,WR,0,0,32,3,0,0,0,0,1,2017
65,65,0,0,Jarius Wright,Vikings,0,0,0,0,0,0,2.0,WR,0,0,21,1,0,0,0,0,1,2017
66,66,0,0,Emmanuel Sanders,Broncos,0,0,0,0,0,0,2.0,WR,0,0,26,3,0,0,0,0,1,2017
67,67,0,0,Brandon LaFell,Bengals,0,0,0,0,0,0,2.0,WR,0,0,24,3,0,0,0,0,1,2017
68,68,0,0,Zay Jones,Bills,0,0,0,0,0,0,2.0,WR,0,0,21,1,0,0,0,0,1,2017
69,69,0,0,Marquise Goodwin,49ers,0,0,0,0,0,0,2.0,WR,0,0,21,3,0,0,0,0,1,2017
70,70,0,0,Devin Funchess,49ers,0,0,0,0,0,0,2.0,WR,0,0,20,2,0,0,0,0,1,2017
71,71,0,0,Kelvin Benjamin,49ers,0,0,0,0,0,0,2.0,WR,0,0,25,1,0,0,0,0,1,2017
72,72,0,0,Josh Bellamy,Bears,0,0,0,0,0,0,2.0,WR,0,0,27,3,0,0,0,0,1,2017
73,73,0,0,Robby Anderson,Bills,0,0,0,0,0,0,2.0,WR,0,0,22,4,0,0,0,0,1,2017
74,74,0,0,Deonte Thompson,Bears,0,0,0,0,0,0,1.0,WR,0,0,15,1,0,0,0,0,1,2017
75,75,0,0,Taywan Taylor,Titans,0,0,0,0,0,0,1.0,WR,0,0,14,2,0,0,0,0,1,2017
76,76,0,0,ArDarius Stewart,Bills,0,0,0,0,0,0,1.0,WR,0,0,10,2,0,0,0,0,1,2017
77,77,0,0,Eli Rogers,Browns,0,0,0,0,0,0,1.0,WR,0,0,11,2,0,0,0,0,1,2017
78,78,0,0,Allen Robinson,Texans,0,0,0,0,0,0,1.0,WR,0,0,17,1,0,0,0,0,1,2017
79,79,0,0,Brian Quick,Redskins,0,0,0,0,0,0,1.0,WR,0,0,11,1,0,0,0,0,1,2017
80,80,0,0,Brandon Marshall,Cowboys,0,0,0,0,0,0,1.0,WR,0,0,10,1,0,0,0,0,1,2017
81,81,0,0,Chris Hogan,Patriots,0,0,0,0,0,0,1.0,WR,0,0,8,1,0,3,0,17,1,2017
82,82,0,0,Eric Decker,Titans,0,0,0,0,0,0,1.0,WR,0,0,10,3,0,0,0,0,1,2017
83,83,0,0,Brandon Coleman,Vikings,0,0,0,0,0,0,1.0,WR,0,0,13,2,0,0,0,0,1,2017
84,84,0,0,Derek Carrier,Rams,0,0,0,0,0,0,1.0,WR,0,0,12,1,0,0,0,0,1,2017
85,85,0,0,Martavis Bryant,Browns,0,0,0,0,0,0,1.0,WR,0,0,14,2,0,0,0,0,1,2017
86,86,0,0,Kenny Britt,Browns,0,0,0,0,0,0,1.0,WR,0,0,13,1,0,0,0,0,1,2017
87,87,0,0,Tyler Boyd,Bengals,0,0,0,0,0,0,1.0,WR,0,0,11,1,0,0,0,0,1,2017
88,88,0,0,Arrelious Benn,Texans,0,0,0,0,0,0,1.0,WR,0,0,12,1,0,0,0,0,1,2017
89,89,0,0,Kevin White,Bears,0,0,0,0,0,0,0.0,WR,0,0,6,2,0,0,0,0,1,2017
90,90,0,0,Mike Wallace,Bengals,0,0,0,0,0,0,0.0,WR,0,0,8,1,0,0,0,0,1,2017
91,91,0,0,Laquon Treadwell,Vikings,0,0,0,0,0,0,0.0,WR,0,0,7,1,0,0,0,0,1,2017
92,92,0,0,Trent Taylor,49ers,0,0,0,0,0,0,0.0,WR,0,0,8,1,0,0,0,0,1,2017
93,93,0,0,Aldrick Robinson,49ers,0,0,0,0,0,0,0.0,WR,0,0,7,1,0,0,0,0,1,2017
94,94,0,0,Breshad Perriman,Bengals,0,0,0,0,0,0,0.0,WR,0,0,5,1,0,0,0,0,1,2017
95,95,0,0,Cordarrelle Patterson,Titans,0,0,0,0,0,0,0.0,WR,0,0,2,1,0,1,0,5,1,2017
96,96,0,0,Tyler Lockett,Packers,0,0,0,0,0,0,0.0,WR,0,0,8,1,0,0,0,0,1,2017
97,97,0,0,Matt Hazel,Rams,0,0,0,0,0,0,0.0,WR,0,0,1,1,0,0,0,0,1,2017
98,98,0,1,Jamison Crowder,Redskins,0,0,0,0,0,0,0.0,WR,0,0,14,3,0,0,0,0,1,2017
99,99,0,0,Michael Campanaro,Bengals,0,0,0,0,0,0,0.0,WR,0,0,0,0,0,1,0,2,1,2017
100,100,0,1,Tavon Austin,Rams,0,0,0,0,0,0,0.0,WR,0,0,7,1,0,2,0,11,1,2017
101,101,0,0,Kamar Aiken,Rams,0,0,0,0,0,0,0.0,WR,0,0,3,1,0,0,0,0,1,2017
102,102,0,0,Michael Crabtree,Raiders,0,0,0,0,0,0,26.0,WR,0,3,80,6,0,0,0,0,2,2017
