,Rush Yards Allowed,Touchdowns,Receiving Yards,Interception,Fumbles Lost,Pass Yards Allowed,Pass Interceptions,Points_y,Rush Yards,Rush Attempts,Points_x,Total Yards,Pass Completions,Receiving TD,Pass Attempts,Receptions,Pass TD,Rush TD,Sack,Pass Yards,Name
0,[ 127.],[ 0.],[ 19.],[ 0.],[ 0.],[ 323.],[ 0.],[ 1.],[ 0.],[ 0.],[ 1.],[ 450.],[ 0.],[ 0.],[ 0.],[ 1.],[ 0.],[ 0.],[ 1.],[ 0.],Chris Thompson
1,5476.0,0.0,64.0,1.0,0.0,64.0,0.0,144.0,0.0,0.0,0.0,4356.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,Chris Thompson
2,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,Chris Thompson
3,"1    53.0
Name: Rush Yards Allowed, dtype: float64","1    0.0
Name: Touchdowns, dtype: float64","1    11.0
Name: Receiving Yards, dtype: float64","1    1.0
Name: Interception, dtype: float64","1    0.0
Name: Fumbles Lost, dtype: float64","1    331.0
Name: Pass Yards Allowed, dtype: float64","1    0.0
Name: Pass Interceptions, dtype: float64","1    13.0
Name: Points_y, dtype: float64","1    0.0
Name: Rush Yards, dtype: float64","1    0.0
Name: Rush Attempts, dtype: float64","1    1.0
Name: Points_x, dtype: float64","1    384.0
Name: Total Yards, dtype: float64","1    0.0
Name: Pass Completions, dtype: float64","1    0.0
Name: Receiving TD, dtype: float64","1    0.0
Name: Pass Attempts, dtype: float64","1    1.0
Name: Receptions, dtype: float64","1    0.0
Name: Pass TD, dtype: float64","1    0.0
Name: Rush TD, dtype: float64","1    4.0
Name: Sack, dtype: float64","1    0.0
Name: Pass Yards, dtype: float64",Chris Thompson
0,[ 106.53846154],[ 0.03846154],[ 52.34615385],[ 1.11538462],[ 0.03846154],[ 243.80769231],[ 0.],[ 9.30769231],[ 2.76923077],[ 0.5],[ 8.80769231],[ 350.34615385],[ 0.],[ 0.57692308],[ 0.],[ 3.26923077],[ 0.],[ 0.03846154],[ 2.15384615],[ 0.],Martavis Bryant
1,211.366863905,0.00147928994083,152.427514793,0.0133136094675,0.00147928994083,1458.65236686,0.0,28.1715976331,7.66863905325,0.25,23.1139053254,559.50443787,0.0,0.332840236686,0.0,0.534023668639,0.0,0.00147928994083,1.33136094675,0.0,Martavis Bryant
2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,Martavis Bryant
3,"15    92.0
Name: Rush Yards Allowed, dtype: float64","15    0.0
Name: Touchdowns, dtype: float64","15    40.0
Name: Receiving Yards, dtype: float64","15    1.0
Name: Interception, dtype: float64","15    0.0
Name: Fumbles Lost, dtype: float64","15    282.0
Name: Pass Yards Allowed, dtype: float64","15    0.0
Name: Pass Interceptions, dtype: float64","15    4.0
Name: Points_y, dtype: float64","15    0.0
Name: Rush Yards, dtype: float64","15    0.0
Name: Rush Attempts, dtype: float64","15    4.0
Name: Points_x, dtype: float64","15    374.0
Name: Total Yards, dtype: float64","15    0.0
Name: Pass Completions, dtype: float64","15    0.0
Name: Receiving TD, dtype: float64","15    0.0
Name: Pass Attempts, dtype: float64","15    4.0
Name: Receptions, dtype: float64","15    0.0
Name: Pass TD, dtype: float64","15    0.0
Name: Rush TD, dtype: float64","15    1.0
Name: Sack, dtype: float64","15    0.0
Name: Pass Yards, dtype: float64",Martavis Bryant
0,[ 110.43661972],[ 0.1971831],[ 86.46478873],[ 0.8028169],[ 0.04225352],[ 230.76056338],[ 0.],[ 8.63380282],[ 0.74647887],[ 0.11267606],[ 11.77464789],[ 341.1971831],[ 0.],[ 0.5915493],[ 0.],[ 5.71830986],[ 0.],[ 0.],[ 2.16901408],[ 0.],A.J. Green
1,339.908946638,0.0388811743702,89.5822257489,0.0388811743702,0.00178536004761,2625.47986511,0.0,21.4721285459,0.557230708193,0.0126958936719,52.2057131522,1076.02479667,0.0,1.98373338623,0.0,1.64272961714,0.0,0.0,1.36659392978,0.0,A.J. Green
2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,A.J. Green
3,"12    92.0
Name: Rush Yards Allowed, dtype: float64","12    0.0
Name: Touchdowns, dtype: float64","12    77.0
Name: Receiving Yards, dtype: float64","12    1.0
Name: Interception, dtype: float64","12    0.0
Name: Fumbles Lost, dtype: float64","12    282.0
Name: Pass Yards Allowed, dtype: float64","12    0.0
Name: Pass Interceptions, dtype: float64","12    4.0
Name: Points_y, dtype: float64","12    0.0
Name: Rush Yards, dtype: float64","12    0.0
Name: Rush Attempts, dtype: float64","12    19.0
Name: Points_x, dtype: float64","12    374.0
Name: Total Yards, dtype: float64","12    0.0
Name: Pass Completions, dtype: float64","12    2.0
Name: Receiving TD, dtype: float64","12    0.0
Name: Pass Attempts, dtype: float64","12    7.0
Name: Receptions, dtype: float64","12    0.0
Name: Pass TD, dtype: float64","12    0.0
Name: Rush TD, dtype: float64","12    1.0
Name: Sack, dtype: float64","12    0.0
Name: Pass Yards, dtype: float64",A.J. Green
0,[ 135.90909091],[ 0.09090909],[ 25.18181818],[ 0.81818182],[ 0.],[ 165.45454545],[ 0.],[ 9.18181818],[ 0.],[ 0.],[ 2.18181818],[ 301.36363636],[ 0.],[ 0.],[ 0.],[ 1.81818182],[ 0.],[ 0.],[ 1.72727273],[ 0.],Keelan Cole
1,25.9173553719,0.00826446280992,567.305785124,1.39669421488,0.0,270.752066116,0.0,33.8512396694,0.0,0.0,61.1239669421,129.132231405,0.0,1.0,0.0,1.39669421488,0.0,0.0,5.1652892562,0.0,Keelan Cole
2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,Keelan Cole
3,"11    141.0
Name: Rush Yards Allowed, dtype: float64","11    0.0
Name: Touchdowns, dtype: float64","11    49.0
Name: Receiving Yards, dtype: float64","11    2.0
Name: Interception, dtype: float64","11    0.0
Name: Fumbles Lost, dtype: float64","11    149.0
Name: Pass Yards Allowed, dtype: float64","11    0.0
Name: Pass Interceptions, dtype: float64","11    15.0
Name: Points_y, dtype: float64","11    0.0
Name: Rush Yards, dtype: float64","11    0.0
Name: Rush Attempts, dtype: float64","11    10.0
Name: Points_x, dtype: float64","11    290.0
Name: Total Yards, dtype: float64","11    0.0
Name: Pass Completions, dtype: float64","11    1.0
Name: Receiving TD, dtype: float64","11    0.0
Name: Pass Attempts, dtype: float64","11    3.0
Name: Receptions, dtype: float64","11    0.0
Name: Pass TD, dtype: float64","11    0.0
Name: Rush TD, dtype: float64","11    4.0
Name: Sack, dtype: float64","11    0.0
Name: Pass Yards, dtype: float64",Keelan Cole
0,[ 95.16216216],[ 0.18918919],[ 60.71588944],[ 0.87837838],[ 0.02702703],[ 254.40540541],[ 0.],[ 8.93243243],[ 0.81081081],[ 0.13513514],[ 7.74324324],[ 349.56756757],[ 0.01351351],[ 0.33783784],[ 0.01351351],[ 4.51351351],[ 0.],[ 0.],[ 2.40540541],[ 0.2027027],Emmanuel Sanders
1,61.4317019722,0.657414170928,2471.66966281,4.50127830533,0.00073046018992,7639.70489408,0.0,363.572132944,0.657414170928,0.018261504748,45.4713294375,6330.99780862,0.00018261504748,0.114134404675,0.00018261504748,6.31775018262,0.0,0.0,0.353542731921,0.041088385683,Emmanuel Sanders
2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Emmanuel Sanders
3,"9    103.0
Name: Rush Yards Allowed, dtype: float64","9    1.0
Name: Touchdowns, dtype: float64","9    11.0
Name: Receiving Yards, dtype: float64","9    3.0
Name: Interception, dtype: float64","9    0.0
Name: Fumbles Lost, dtype: float64","9    167.0
Name: Pass Yards Allowed, dtype: float64","9    0.0
Name: Pass Interceptions, dtype: float64","9    28.0
Name: Points_y, dtype: float64","9    0.0
Name: Rush Yards, dtype: float64","9    0.0
Name: Rush Attempts, dtype: float64","9    1.0
Name: Points_x, dtype: float64","9    270.0
Name: Total Yards, dtype: float64","9    0.0
Name: Pass Completions, dtype: float64","9    0.0
Name: Receiving TD, dtype: float64","9    0.0
Name: Pass Attempts, dtype: float64","9    2.0
Name: Receptions, dtype: float64","9    0.0
Name: Pass TD, dtype: float64","9    0.0
Name: Rush TD, dtype: float64","9    3.0
Name: Sack, dtype: float64","9    0.0
Name: Pass Yards, dtype: float64",Emmanuel Sanders
0,[ 100.8],[ 0.],[ 21.93333333],[ 0.93333333],[ 0.],[ 237.26666667],[ 0.],[ 6.53333333],[ 0.],[ 0.],[ 3.33333333],[ 338.06666667],[ 0.],[ 0.26666667],[ 0.],[ 1.66666667],[ 0.],[ 0.],[ 1.46666667],[ 0.],Roger Lewis
1,1281.64,0.0,167.271111111,0.871111111111,0.0,1388.80444444,0.0,19.9511111111,0.0,0.0,11.1111111111,5338.73777778,0.0,0.0711111111111,0.0,0.444444444444,0.0,0.0,2.35111111111,0.0,Roger Lewis
2,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,Roger Lewis
