,Pass Yards Allowed,Point After,Sack,Pass TD,Points_y,Fumble Returns,Receiving Yards,Fumbles Lost,Total Yards,Rush Yards Allowed,Away Games_y,Pass Completions,Rush Yards,Pass Yards,Pass Attempts,Safety,Week,Year,Receiving 2PT,Touchdowns,Rush TD,Receptions,Pass 2PT,Rush 2PT,Receiving TD,Blocks,Interception,Points_x,Fumble TD,Pass Interceptions,Rush Attempts,Away Games_x
0,341.0,23,2.0,2,5.0,0,0,0,419,78,1.0,26,2,357,35,0,1,2013,0,0,0,0,0,0,0,0,1,24.0,0,1,3,0.0
1,296.0,16,4.0,1,18.0,0,0,0,371,75,0.0,26,0,322,46,0,2,2013,0,1,0,0,0,0,0,0,2,14.0,0,2,0,1.0
2,319.0,31,4.0,3,6.0,0,0,0,423,104,1.0,29,21,342,46,0,3,2013,0,0,1,0,0,0,0,0,1,37.0,0,1,6,0.0
3,397.0,38,2.0,4,4.0,1,0,0,465,68,1.0,30,2,413,39,0,4,2013,0,0,0,0,0,0,0,0,0,40.0,0,0,4,0.0
4,283.0,26,1.0,2,2.0,0,0,0,347,64,0.0,29,-2,288,35,0,5,2013,0,0,0,0,0,0,0,0,0,23.0,0,0,1,1.0
5,230.0,27,1.0,2,6.0,1,0,0,361,131,0.0,17,11,236,36,0,6,2013,0,0,0,0,0,0,0,0,1,20.0,0,1,2,1.0
6,309.0,35,4.0,5,4.0,0,0,0,386,77,1.0,26,-1,332,34,0,8,2013,0,0,0,0,0,0,0,0,0,43.0,0,0,4,0.0
7,366.0,20,2.0,2,10.0,0,0,0,407,41,0.0,30,-1,382,51,0,9,2013,0,0,0,0,0,0,0,0,2,23.0,0,2,1,1.0
8,383.0,49,1.0,4,3.0,1,0,0,625,242,1.0,34,0,392,41,0,10,2013,0,0,0,0,0,0,0,0,0,39.0,0,0,0,0.0
9,295.0,23,1.0,1,6.0,1,0,0,387,92,1.0,30,-1,305,43,0,11,2013,0,0,0,0,0,0,0,0,1,16.0,0,1,1,0.0
10,271.0,17,1.0,2,5.0,0,0,0,374,103,0.0,23,-6,278,33,0,12,2013,0,0,0,0,0,0,0,0,0,23.0,0,0,4,1.0
11,144.0,7,1.0,1,16.0,1,0,1,188,44,0.0,23,-1,147,38,0,13,2013,0,1,0,0,0,0,0,0,0,10.0,0,0,1,1.0
12,304.0,31,2.0,4,2.0,0,0,0,373,69,1.0,30,3,313,42,0,14,2013,0,0,0,0,0,0,0,0,0,36.0,0,0,3,0.0
13,371.0,16,4.0,1,16.0,1,0,1,432,61,0.0,39,8,393,56,0,15,2013,0,0,1,0,0,0,0,1,2,22.0,0,2,2,1.0
14,239.0,13,6.0,1,17.0,0,0,0,365,126,0.0,30,9,281,44,0,16,2013,0,0,0,0,0,0,0,0,2,13.0,0,2,1,1.0
15,370.0,42,1.0,4,1.0,0,0,0,468,98,1.0,24,8,381,31,0,17,2013,0,0,1,0,0,0,0,0,0,45.0,0,0,2,0.0
16,354.0,19,2.0,1,8.0,0,0,0,408,54,0.0,30,3,355,48,0,1,2015,0,0,0,0,0,0,0,0,1,18.0,0,1,1,1.0
17,219.0,19,4.0,1,16.0,2,0,0,323,104,1.0,24,-1,255,38,0,2,2015,0,0,0,0,0,0,0,1,1,14.0,0,1,1,0.0
18,335.0,26,3.0,2,4.0,0,0,0,438,103,1.0,33,0,359,41,0,4,2015,0,0,0,0,0,0,0,0,0,26.0,0,0,0,0.0
19,292.0,17,5.0,2,17.0,3,0,2,388,96,0.0,26,-1,335,43,0,5,2015,0,0,0,0,0,0,0,0,1,21.0,0,1,1,1.0
20,304.0,31,1.0,1,1.0,0,0,0,385,81,1.0,30,2,312,39,0,6,2015,0,0,0,0,0,0,0,0,0,18.0,0,0,2,0.0
21,266.0,27,2.0,1,5.0,0,0,0,449,183,0.0,28,-4,255,44,0,7,2015,0,0,0,0,0,0,0,0,1,14.0,0,1,4,1.0
22,505.0,52,0.0,7,10.0,0,0,0,608,103,1.0,39,1,505,50,0,8,2015,0,1,0,0,0,0,0,0,2,58.0,0,2,1,0.0
23,355.0,28,4.0,3,10.0,1,0,0,416,61,1.0,28,-1,387,39,0,9,2015,0,0,1,0,0,0,0,1,1,37.0,0,1,3,0.0
24,192.0,14,2.0,2,16.0,0,0,0,350,158,0.0,19,0,209,28,0,10,2015,0,1,0,0,0,0,0,0,2,16.0,0,2,0,1.0
25,218.0,6,2.0,0,14.0,0,0,0,268,50,0.0,25,0,228,44,0,12,2015,0,0,0,0,0,0,0,0,1,7.0,0,1,0,1.0
26,264.0,38,2.0,3,4.0,0,0,0,334,70,1.0,24,12,282,42,0,13,2015,0,0,0,0,0,0,0,0,1,28.0,0,1,1,0.0
27,301.0,24,2.0,2,3.0,0,0,0,388,87,0.0,31,0,312,41,0,14,2015,0,0,0,0,0,0,0,0,0,24.0,0,0,3,1.0
28,330.0,27,1.0,3,2.0,0,0,0,399,69,1.0,34,11,341,52,0,15,2015,0,0,0,0,0,0,0,0,0,32.0,0,0,1,0.0
29,402.0,38,1.0,3,3.0,0,0,0,537,135,1.0,25,-3,412,36,0,16,2015,0,0,0,0,0,0,0,1,0,34.0,0,0,3,0.0
30,323.0,20,0.0,1,6.0,1,0,0,390,67,0.0,32,-5,323,42,0,17,2015,0,0,0,0,0,0,0,0,0,18.0,0,0,3,1.0
31,326.0,32,2.0,3,6.0,0,0,0,358,32,1.0,24,0,339,52,0,1,2012,0,0,0,0,0,0,0,0,2,27.0,0,2,0,0.0
32,323.0,27,1.0,1,12.0,0,0,0,486,163,0.0,31,0,325,49,0,2,2012,0,1,1,0,0,0,0,0,2,21.0,0,2,2,1.0
33,205.0,24,4.0,3,9.0,0,0,0,288,83,1.0,20,-1,240,36,1,3,2012,0,0,0,0,0,0,0,0,1,25.0,0,1,1,0.0
34,429.0,27,2.0,3,3.0,0,0,0,474,45,0.0,35,0,446,54,0,4,2012,0,0,0,0,0,0,0,0,0,35.0,0,0,0,1.0
35,351.0,31,3.0,4,5.0,0,0,0,404,53,1.0,29,-2,370,45,0,5,2012,0,0,0,0,0,0,0,0,1,36.0,0,1,2,0.0
36,377.0,35,0.0,4,2.0,0,0,0,458,81,0.0,27,1,377,37,0,7,2012,0,0,0,0,0,0,0,0,1,37.0,0,1,1,1.0
37,201.0,14,1.0,2,7.0,0,0,0,252,51,0.0,22,2,213,42,0,8,2012,0,0,0,0,0,0,0,0,1,18.0,0,1,2,1.0
38,231.0,28,2.0,2,6.0,2,0,1,371,140,1.0,21,-1,239,27,0,9,2012,0,0,0,0,0,0,0,0,0,20.0,0,0,1,0.0
39,292.0,31,1.0,3,3.0,0,0,0,440,148,1.0,21,-1,298,32,0,10,2012,0,0,0,0,0,0,0,0,1,27.0,0,1,1,0.0
40,229.0,38,0.0,3,0.0,0,0,0,380,151,0.0,20,0,219,27,0,11,2012,0,0,0,0,0,0,0,0,0,26.0,0,0,0,1.0
41,231.0,21,5.0,3,22.0,0,0,0,290,59,1.0,26,-2,267,41,0,12,2012,0,2,0,0,0,0,0,0,2,24.0,0,2,2,0.0
42,335.0,13,1.0,0,18.0,0,0,0,436,101,0.0,28,0,341,50,0,13,2012,0,0,0,0,0,0,0,0,5,3.0,0,5,0,1.0
43,345.0,27,1.0,1,16.0,2,0,0,487,142,0.0,26,-1,354,43,0,14,2012,0,1,0,0,0,0,0,0,2,16.0,0,2,1,1.0
44,298.0,41,1.0,4,1.0,0,0,0,447,149,1.0,26,11,307,39,0,15,2012,0,0,0,0,0,0,0,0,0,37.0,0,0,1,0.0
45,446.0,34,0.0,3,0.0,0,0,0,562,116,0.0,37,-1,446,53,0,16,2012,0,0,0,0,0,0,0,0,0,35.0,0,0,1,1.0
46,378.0,38,2.0,4,4.0,0,0,0,441,63,1.0,29,0,396,43,0,17,2012,0,0,0,0,0,0,0,0,1,37.0,0,1,0,0.0
47,333.0,34,0.0,1,4.0,1,0,0,472,139,0.0,29,2,333,42,0,1,2014,0,0,0,0,0,0,0,0,1,17.0,0,1,1,1.0
48,223.0,24,2.0,2,13.0,1,0,0,397,174,0.0,27,3,237,40,0,2,2014,0,1,0,0,0,0,0,0,1,19.0,0,1,1,1.0
49,334.0,17,2.0,2,12.0,2,0,0,438,104,0.0,32,6,340,44,0,4,2014,0,0,0,0,0,0,0,0,1,23.0,0,1,1,1.0
50,371.0,37,0.0,2,12.0,0,0,0,511,140,1.0,35,-1,371,57,0,5,2014,0,1,0,0,0,0,0,0,3,20.0,0,3,1,0.0
51,335.0,23,1.0,2,6.0,1,0,0,408,73,0.0,28,13,342,45,0,7,2014,0,0,0,0,0,0,0,0,1,24.0,0,1,1,1.0
