,Unnamed: 0,Unnamed: 0.1,50+,FGA,FGM,Name,Opponent,Points,Position,Week,XPA,XPM,Year
7,7,7,0,3,3,Graham Gano,49ers,11.0,K,1,2,2,2017
41,41,41,0,3,3,Graham Gano,Panthers,9.0,K,2,0,0,2017
80,80,80,0,2,2,Graham Gano,Panthers,7.0,K,3,1,1,2017
107,107,107,0,2,2,Graham Gano,Patriots,9.0,K,4,4,3,2017
139,139,139,0,3,2,Graham Gano,Lions,9.0,K,5,3,3,2017
165,165,165,0,3,3,Graham Gano,Panthers,11.0,K,6,2,2,2017
210,210,210,0,1,1,Graham Gano,Bears,3.0,K,7,0,0,2017
236,236,236,0,1,1,Graham Gano,Buccaneers,5.0,K,8,2,2,2017
251,251,251,0,2,2,Graham Gano,Panthers,8.0,K,9,2,2,2017
279,279,279,0,1,1,Graham Gano,Panthers,9.0,K,10,6,6,2017
336,336,336,0,3,3,Graham Gano,Jets,9.0,K,12,1,0,2017
385,385,385,0,0,0,Graham Gano,Saints,3.0,K,13,3,3,2017
