,Unnamed: 0,Unnamed: 0.1,50+,FGA,FGM,Name,Opponent,Points,Position,Week,XPA,XPM,Year
7,7,7.0,0.0,3.0,3.0,Graham Gano,49ers,11.0,K,1,2.0,2.0,2017.0
41,41,7.0,0.0,3.0,3.0,Graham Gano,Panthers,11.0,K,2,2.0,2.0,2017.0
80,80,24.0,0.0,3.0,3.0,Graham Gano,Panthers,10.0,K,3,1.0,1.0,2017.0
107,107,42.666666666666664,0.0,2.6666666666666665,2.6666666666666665,Graham Gano,Patriots,9.0,K,4,1.0,1.0,2017.0
139,139,58.75,0.0,2.5,2.5,Graham Gano,Lions,9.0,K,5,1.75,1.5,2017.0
165,165,74.8,0.0,2.6,2.4,Graham Gano,Panthers,9.0,K,6,2.0,1.8,2017.0
210,210,89.83333333333333,0.0,2.6666666666666665,2.5,Graham Gano,Bears,9.333333333333334,K,7,2.0,1.8333333333333333,2017.0
236,236,107.0,0.0,2.4285714285714284,2.2857142857142856,Graham Gano,Buccaneers,8.428571428571429,K,8,1.7142857142857142,1.5714285714285714,2017.0
251,251,123.125,0.0,2.25,2.125,Graham Gano,Panthers,8.0,K,9,1.75,1.625,2017.0
279,279,137.33333333333334,0.0,2.2222222222222223,2.111111111111111,Graham Gano,Panthers,8.0,K,10,1.7777777777777777,1.6666666666666667,2017.0
336,336,151.5,0.0,2.1,2.0,Graham Gano,Jets,8.1,K,12,2.2,2.1,2017.0
385,385,168.27272727272728,0.0,2.1818181818181817,2.090909090909091,Graham Gano,Saints,8.181818181818182,K,13,2.090909090909091,1.9090909090909092,2017.0
