,Unnamed: 0,Unnamed: 0.1,50+,FGA,FGM,Name,Opponent,Points,Position,Week,XPA,XPM,Year
22,22,22.0,0.0,2.0,1.0,Adam Vinatieri,Rams,3.0,K,1,1.0,0.0,2017.0
48,48,22.0,0.0,2.0,1.0,Adam Vinatieri,Colts,3.0,K,2,1.0,0.0,2017.0
79,79,35.0,0.0,2.0,1.5,Adam Vinatieri,Colts,5.0,K,3,1.0,0.5,2017.0
121,121,49.666666666666664,0.0,1.6666666666666667,1.3333333333333333,Adam Vinatieri,Steelers,5.666666666666667,K,4,2.0,1.6666666666666667,2017.0
130,130,67.5,0.0,1.5,1.25,Adam Vinatieri,Colts,5.25,K,5,1.75,1.5,2017.0
162,162,80.0,0.4,2.0,1.8,Adam Vinatieri,Titans,7.8,K,6,1.8,1.6,2017.0
224,224,93.66666666666667,0.5,2.1666666666666665,2.0,Adam Vinatieri,Bengals,8.5,K,8,1.8333333333333333,1.5,2017.0
247,247,112.28571428571429,0.42857142857142855,2.2857142857142856,2.142857142857143,Adam Vinatieri,Texans,8.857142857142858,K,9,1.8571428571428572,1.5714285714285714,2017.0
289,289,129.125,0.5,2.25,2.125,Adam Vinatieri,Colts,9.0,K,10,1.875,1.625,2017.0
331,331,146.88888888888889,0.4444444444444444,2.111111111111111,2.0,Adam Vinatieri,Colts,8.555555555555555,K,12,1.8888888888888888,1.6666666666666667,2017.0
380,380,165.3,0.4,2.2,2.1,Adam Vinatieri,Jaguars,8.7,K,13,1.8,1.6,2017.0
23,23,23.0,0.0,1.0,1.0,Aldrick Rosas,Cowboys,3.0,K,1,0.0,0.0,2017.0
56,56,23.0,0.0,1.0,1.0,Aldrick Rosas,Giants,3.0,K,2,0.0,0.0,2017.0
82,82,39.5,0.0,1.0,1.0,Aldrick Rosas,Eagles,3.5,K,3,0.5,0.5,2017.0
118,118,53.666666666666664,0.0,1.0,1.0,Aldrick Rosas,Buccaneers,4.333333333333333,K,4,1.3333333333333333,1.3333333333333333,2017.0
153,153,69.75,0.0,1.25,1.0,Aldrick Rosas,Giants,4.5,K,5,1.5,1.5,2017.0
160,160,86.4,0.0,1.0,0.8,Aldrick Rosas,Broncos,4.0,K,6,1.6,1.6,2017.0
213,213,98.66666666666667,0.16666666666666666,1.5,1.1666666666666667,Aldrick Rosas,Giants,5.5,K,7,1.6666666666666667,1.6666666666666667,2017.0
253,253,115.0,0.14285714285714285,1.4285714285714286,1.0,Aldrick Rosas,Giants,4.857142857142857,K,9,1.5714285714285714,1.5714285714285714,2017.0
282,282,132.25,0.25,1.5,1.0,Aldrick Rosas,49ers,5.125,K,10,1.625,1.625,2017.0
314,314,148.88888888888889,0.2222222222222222,1.6666666666666667,1.1111111111111112,Aldrick Rosas,Giants,5.333333333333333,K,11,1.5555555555555556,1.5555555555555556,2017.0
349,349,165.4,0.2,1.7,1.2,Aldrick Rosas,Redskins,5.4,K,12,1.5,1.4,2017.0
371,371,182.0909090909091,0.18181818181818182,1.6363636363636365,1.1818181818181819,Aldrick Rosas,Raiders,5.2727272727272725,K,13,1.4545454545454546,1.3636363636363635,2017.0
10,10,10.0,0.0,3.0,3.0,Blair Walsh,Packers,9.0,K,1,0.0,0.0,2017.0
51,51,10.0,0.0,3.0,3.0,Blair Walsh,Steelers,9.0,K,2,0.0,0.0,2017.0
93,93,30.5,0.0,2.5,2.5,Blair Walsh,Titans,7.5,K,3,0.5,0.0,2017.0
108,108,51.333333333333336,0.0,1.6666666666666667,1.6666666666666667,Blair Walsh,Steelers,6.0,K,4,1.3333333333333333,1.0,2017.0
135,135,65.5,0.0,1.75,1.5,Blair Walsh,Rams,6.5,K,5,2.25,2.0,2017.0
203,203,79.4,0.0,2.0,1.8,Blair Walsh,Giants,7.2,K,7,2.0,1.8,2017.0
223,223,100.0,0.0,1.8333333333333333,1.6666666666666667,Blair Walsh,Steelers,7.0,K,8,2.1666666666666665,2.0,2017.0
267,267,117.57142857142857,0.0,1.8571428571428572,1.7142857142857142,Blair Walsh,Steelers,7.571428571428571,K,9,2.5714285714285716,2.4285714285714284,2017.0
280,280,136.25,0.0,2.0,1.5,Blair Walsh,Cardinals,6.625,K,10,2.25,2.125,2017.0
303,303,152.22222222222223,0.0,2.0,1.5555555555555556,Blair Walsh,Steelers,6.777777777777778,K,11,2.2222222222222223,2.111111111111111,2017.0
344,344,167.3,0.0,2.2,1.7,Blair Walsh,49ers,7.2,K,12,2.2,2.1,2017.0
376,376,183.36363636363637,0.0,2.1818181818181817,1.6363636363636365,Blair Walsh,Steelers,7.090909090909091,K,13,2.272727272727273,2.1818181818181817,2017.0
390,390,390.0,0.0,0.0,0.0,Brad Nortman,Jaguars,1.0,K,13,0.0,0.0,2017.0
17,17,17.0,0.0,2.0,1.0,Brandon McManus,Broncos,6.0,K,1,3.0,3.0,2017.0
53,53,17.0,0.0,2.0,1.0,Brandon McManus,Broncos,6.0,K,2,3.0,3.0,2017.0
73,73,35.0,0.0,1.5,0.5,Brandon McManus,Bills,6.0,K,3,4.5,4.5,2017.0
106,106,47.666666666666664,0.0,2.0,1.3333333333333333,Brandon McManus,Broncos,7.333333333333333,K,4,3.3333333333333335,3.3333333333333335,2017.0
184,184,62.25,0.0,2.5,1.75,Brandon McManus,Broncos,8.0,K,6,2.75,2.75,2017.0
232,232,86.6,0.0,2.6,1.6,Brandon McManus,Chiefs,7.2,K,8,2.4,2.4,2017.0
243,243,110.83333333333333,0.0,2.5,1.6666666666666667,Brandon McManus,Eagles,7.166666666666667,K,9,2.1666666666666665,2.1666666666666665,2017.0
275,275,129.71428571428572,0.2857142857142857,2.5714285714285716,1.8571428571428572,Brandon McManus,Broncos,8.285714285714286,K,10,2.142857142857143,2.142857142857143,2017.0
318,318,147.875,0.25,2.625,2.0,Brandon McManus,Broncos,8.5,K,11,2.0,2.0,2017.0
355,355,166.77777777777777,0.2222222222222222,2.5555555555555554,1.8888888888888888,Brandon McManus,Raiders,8.11111111111111,K,12,2.0,2.0,2017.0
383,383,185.6,0.2,2.3,1.7,Brandon McManus,Dolphins,7.5,K,13,2.0,2.0,2017.0
16,16,16.0,0.0,0.0,0.0,Cairo Santos,Patriots,6.0,K,1,6.0,6.0,2017.0
38,38,16.0,0.0,0.0,0.0,Cairo Santos,Chiefs,6.0,K,2,6.0,6.0,2017.0
81,81,27.0,0.0,1.0,1.0,Cairo Santos,Chargers,7.5,K,3,4.5,4.5,2017.0
353,353,45.0,0.0,1.0,1.0,Cairo Santos,Eagles,7.0,K,12,4.0,4.0,2017.0
386,386,122.0,0.0,1.25,1.0,Cairo Santos,Bears,6.0,K,13,3.0,3.0,2017.0
5,5,5.0,1.0,3.0,3.0,Caleb Sturgis,Redskins,12.0,K,1,2.0,1.0,2017.0
13,13,13.0,1.0,2.0,2.0,Chandler Catanzaro,Bills,8.0,K,1,0.0,0.0,2017.0
47,47,13.0,1.0,2.0,2.0,Chandler Catanzaro,Raiders,8.0,K,2,0.0,0.0,2017.0
78,78,30.0,0.5,2.0,2.0,Chandler Catanzaro,Jets,8.0,K,3,1.0,1.0,2017.0
104,104,46.0,0.3333333333333333,2.3333333333333335,2.0,Chandler Catanzaro,Jets,8.0,K,4,1.3333333333333333,1.3333333333333333,2017.0
144,144,60.5,0.25,2.75,2.25,Chandler Catanzaro,Browns,8.75,K,5,1.5,1.5,2017.0
181,181,77.2,0.4,2.4,2.0,Chandler Catanzaro,Jets,8.4,K,6,1.6,1.6,2017.0
208,208,94.5,0.3333333333333333,2.1666666666666665,1.8333333333333333,Chandler Catanzaro,Dolphins,7.833333333333333,K,7,1.6666666666666667,1.6666666666666667,2017.0
229,229,110.71428571428571,0.2857142857142857,1.8571428571428572,1.5714285714285714,Chandler Catanzaro,Jets,7.285714285714286,K,8,2.0,2.0,2017.0
248,248,125.5,0.25,2.125,1.625,Chandler Catanzaro,Jets,7.375,K,9,2.0,2.0,2017.0
292,292,139.11111111111111,0.2222222222222222,2.111111111111111,1.6666666666666667,Chandler Catanzaro,Buccaneers,7.666666666666667,K,10,2.2222222222222223,2.2222222222222223,2017.0
337,337,154.4,0.2,2.0,1.6,Chandler Catanzaro,Jets,7.3,K,12,2.1,2.1,2017.0
363,363,171.0,0.18181818181818182,2.0,1.6363636363636365,Chandler Catanzaro,Jets,7.454545454545454,K,13,2.1818181818181817,2.1818181818181817,2017.0
27,27,27.0,0.0,0.0,0.0,Chris Boswell,Browns,3.0,K,1,3.0,3.0,2017.0
32,32,27.0,0.0,0.0,0.0,Chris Boswell,Steelers,3.0,K,2,3.0,3.0,2017.0
86,86,29.5,0.0,2.0,2.0,Chris Boswell,Bears,8.5,K,3,2.5,2.5,2017.0
112,112,48.333333333333336,0.0,2.0,1.6666666666666667,Chris Boswell,Ravens,7.333333333333333,K,4,2.3333333333333335,2.3333333333333335,2017.0
140,140,64.25,0.0,2.25,1.75,Chris Boswell,Steelers,7.5,K,5,2.25,2.25,2017.0
182,182,79.4,0.0,2.4,2.0,Chris Boswell,Chiefs,7.8,K,6,1.8,1.8,2017.0
190,190,96.5,0.0,2.1666666666666665,1.8333333333333333,Chris Boswell,Steelers,7.333333333333333,K,7,1.8333333333333333,1.8333333333333333,2017.0
