,Unnamed: 0,Fumble TD,Fumbles Lost,Name,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Week,Year,Away Games
0,0,0,0,Brandin Cooks,Raiders,0,0,0,0,0,0,27.0,WR,0,2,143,6,0,1,0,11,1,2016,0
1,1,0,0,A.J. Green,Jets,0,0,0,0,0,0,24.0,WR,0,1,180,12,0,0,0,0,1,2016,1
2,2,0,0,Antonio Brown,Redskins,0,0,0,0,0,0,24.0,WR,0,2,126,8,0,0,0,0,1,2016,1
3,3,0,0,Willie Snead,Raiders,0,0,0,0,0,0,23.0,WR,0,1,172,9,0,0,0,0,1,2016,0
4,4,0,0,Larry Fitzgerald,Patriots,0,0,0,0,0,0,20.0,WR,0,2,81,8,0,0,0,0,1,2016,0
5,5,0,0,Jordan Matthews,Browns,0,0,0,0,0,0,17.0,WR,0,1,114,7,0,0,0,0,1,2016,0
6,6,0,0,Mike Wallace,Bills,0,0,0,0,0,0,16.0,WR,0,1,91,3,0,1,0,11,1,2016,0
7,7,0,0,Mohamed Sanu,Buccaneers,0,0,0,0,0,0,16.0,WR,1,1,80,5,0,0,0,0,1,2016,0
8,8,0,0,Will Fuller,Bears,0,0,0,0,0,0,16.0,WR,0,1,107,5,0,0,0,0,1,2016,0
9,9,0,0,Mike Evans,Falcons,0,0,0,0,0,0,15.0,WR,0,1,99,5,0,0,0,0,1,2016,1
10,10,0,0,Amari Cooper,Saints,0,0,0,0,0,0,15.0,WR,1,0,137,6,0,0,0,0,1,2016,1
11,11,0,0,Kelvin Benjamin,Broncos,0,0,0,0,0,0,15.0,WR,0,1,91,6,0,0,0,0,1,2016,1
12,12,0,0,Doug Baldwin,Dolphins,0,0,0,0,0,0,15.0,WR,0,1,92,9,0,0,0,0,1,2016,0
13,13,0,0,Donte Moncrief,Lions,0,0,0,0,0,0,12.0,WR,0,1,64,6,0,0,0,0,1,2016,0
14,14,0,0,Jeremy Maclin,Chargers,0,0,0,0,0,0,12.0,WR,0,1,63,5,0,1,0,-1,1,2016,0
15,15,0,0,Julio Jones,Buccaneers,0,0,0,0,0,0,12.0,WR,0,1,66,4,0,0,0,0,1,2016,0
16,16,0,0,Chris Hogan,Cardinals,0,0,0,0,0,0,12.0,WR,0,1,60,3,0,0,0,0,1,2016,1
17,17,0,0,Eddie Royal,Texans,0,0,0,0,0,0,11.0,WR,0,1,57,4,0,0,0,0,1,2016,1
18,18,0,0,Eli Rogers,Redskins,0,0,0,0,0,0,11.0,WR,0,1,59,6,0,0,0,0,1,2016,1
