,Unnamed: 0,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Team,Total Yards,Touchdowns,Week,Year,Away Games
0,0,0,2,1,Seahawks,155,17,27.0,DST,64,5.0,0,49ers,219,2,1,2011,0
1,1,0,4,3,Steelers,246,7,25.0,DST,66,4.0,0,Ravens,312,0,1,2011,0
2,2,0,2,1,Falcons,276,12,24.0,DST,110,5.0,0,Bears,386,1,1,2011,0
3,3,0,2,0,Colts,172,7,20.0,DST,64,3.0,0,Texans,236,1,1,2011,0
4,4,0,1,0,Rams,181,13,20.0,DST,154,5.0,0,Eagles,335,1,1,2011,1
5,5,1,2,1,Cowboys,326,24,19.0,DST,64,4.0,0,Jets,390,1,1,2011,0
6,6,1,0,1,Giants,240,14,18.0,DST,75,4.0,0,Redskins,315,1,1,2011,0
7,7,0,2,1,Chiefs,105,7,15.0,DST,108,2.0,0,Bills,213,0,1,2011,1
8,8,0,2,1,Broncos,272,20,15.0,DST,38,5.0,0,Raiders,310,0,1,2011,1
9,9,0,0,1,Panthers,403,21,13.0,DST,74,4.0,0,Cardinals,477,1,1,2011,0
10,10,0,0,1,Bears,289,30,13.0,DST,88,5.0,0,Falcons,377,1,1,2011,1
11,11,0,0,2,Chargers,330,24,13.0,DST,77,2.0,0,Vikings,407,1,1,2011,1
12,12,0,1,0,Saints,396,34,11.0,DST,81,3.0,0,Packers,477,1,1,2011,0
13,13,0,1,0,Raiders,99,23,10.0,DST,190,1.0,0,Broncos,289,1,1,2011,0
14,14,0,1,1,Buccaneers,259,20,10.0,DST,56,2.0,0,Lions,315,0,1,2011,1
15,15,0,1,1,Jets,315,27,9.0,DST,45,4.0,0,Cowboys,360,0,1,2011,1
16,16,0,0,1,Lions,305,27,9.0,DST,126,0.0,0,Buccaneers,431,1,1,2011,0
17,17,0,0,1,Browns,202,17,8.0,DST,83,2.0,0,Bengals,285,0,1,2011,1
18,18,0,0,1,Titans,249,14,8.0,DST,43,2.0,0,Jaguars,292,0,1,2011,0
19,19,0,0,0,Packers,296,42,8.0,DST,103,2.0,0,Saints,399,1,1,2011,1
20,20,0,0,1,Min,28,17,8.0,DST,159,2.0,0,Chargers,187,0,1,2011,0
21,21,0,1,0,Jaguars,160,16,8.0,DST,163,2.0,0,Titans,323,0,1,2011,1
22,22,0,1,2,Texans,217,34,7.0,DST,167,1.0,0,Colts,384,0,1,2011,1
23,23,0,0,1,Dolphins,390,24,7.0,DST,98,4.0,0,Patriots,488,0,1,2011,1
24,24,0,1,0,Redskins,258,28,6.0,DST,74,4.0,0,Giants,332,0,1,2011,1
25,25,0,0,0,Bengals,155,27,5.0,DST,139,4.0,0,Browns,294,0,1,2011,0
26,26,0,1,0,Eagles,167,31,5.0,DST,236,3.0,0,Rams,403,0,1,2011,0
27,27,0,1,0,Cardinals,295,28,4.0,DST,99,2.0,0,Panthers,394,0,1,2011,1
28,28,0,0,1,Bills,201,41,3.0,DST,163,1.0,0,Chiefs,364,0,1,2011,0
29,29,0,0,1,Patriots,516,38,3.0,DST,106,1.0,0,Dolphins,622,0,1,2011,0
30,30,0,0,0,Ravens,215,35,1.0,DST,170,1.0,0,Steelers,385,0,1,2011,1
31,31,0,0,0,49ers,124,33,0.0,DST,85,0.0,0,Seahawks,209,0,1,2011,1
32,32,0,3,3,Chiefs,116,3,24.0,DST,151,2.0,0,Lions,267,0,2,2011,0
33,33,0,0,4,Jaguars,91,3,22.0,DST,112,2.0,1,Jets,203,0,2,2011,0
34,34,0,2,0,Rams,308,16,16.0,DST,59,2.0,0,Giants,367,1,2,2011,0
35,35,0,1,2,Ravens,184,13,16.0,DST,45,3.0,0,Titans,229,0,2,2011,0
36,36,1,1,1,Dolphins,153,13,15.0,DST,153,2.0,0,Texans,306,0,2,2011,1
37,37,0,1,0,Bears,186,13,15.0,DST,60,6.0,0,Saints,246,0,2,2011,0
38,38,0,0,0,Seahawks,133,0,15.0,DST,31,5.0,0,Steelers,164,0,2,2011,0
39,39,0,1,3,Panthers,404,23,13.0,DST,71,4.0,0,Packers,475,0,2,2011,1
40,40,0,2,2,Chargers,372,21,11.0,DST,98,2.0,0,Patriots,470,0,2,2011,0
41,41,0,1,1,Colts,176,19,10.0,DST,109,2.0,0,Browns,285,0,2,2011,1
42,42,0,0,1,49ers,132,24,9.0,DST,74,6.0,0,Cowboys,206,0,2,2011,1
43,43,1,0,2,Redskins,283,22,8.0,DST,172,1.0,0,Cardinals,455,0,2,2011,1
44,44,0,0,2,Falcons,180,35,8.0,DST,138,4.0,0,Eagles,318,0,2,2011,1
45,45,0,1,0,Min,212,20,8.0,DST,186,2.0,0,Buccaneers,398,0,2,2011,1
46,46,0,1,1,Cardinals,231,21,8.0,DST,93,3.0,0,Redskins,324,0,2,2011,0
47,47,0,2,0,Broncos,187,24,7.0,DST,131,2.0,0,Bengals,318,0,2,2011,1
48,48,0,2,1,Eagles,314,31,6.0,DST,133,0.0,0,Falcons,447,0,2,2011,0
49,49,0,0,2,Cowboys,427,27,6.0,DST,45,1.0,0,49ers,472,0,2,2011,0
50,50,0,0,2,Jets,182,32,5.0,DST,101,1.0,0,Jaguars,283,0,2,2011,1
51,51,0,0,1,Buccaneers,230,24,5.0,DST,105,2.0,0,Vikings,335,0,2,2011,0
52,52,1,0,1,Bills,258,38,5.0,DST,223,1.0,0,Raiders,481,0,2,2011,1
53,53,0,0,1,Giants,204,28,5.0,DST,119,3.0,0,Rams,323,0,2,2011,1
54,54,0,1,1,Raiders,323,35,4.0,DST,131,0.0,0,Bills,454,0,2,2011,0
55,55,0,1,0,Browns,197,27,4.0,DST,106,1.0,0,Colts,303,0,2,2011,0
56,56,0,0,0,Texans,207,23,4.0,DST,138,3.0,0,Dolphins,345,0,2,2011,0
57,57,0,0,1,Titans,358,26,3.0,DST,74,0.0,0,Ravens,432,0,2,2011,1
58,58,0,1,0,Packers,295,30,3.0,DST,124,1.0,0,Panthers,419,0,2,2011,0
59,59,0,1,0,Saints,264,30,3.0,DST,118,1.0,0,Bears,382,0,2,2011,1
60,60,0,0,0,Bengals,310,22,3.0,DST,72,2.0,0,Broncos,382,0,2,2011,0
61,61,0,0,0,Steelers,297,24,3.0,DST,124,2.0,0,Seahawks,421,0,2,2011,1
62,62,0,0,1,Lions,322,48,2.0,DST,89,0.0,0,Chiefs,411,0,2,2011,1
63,63,0,0,0,Patriots,410,35,2.0,DST,94,2.0,0,Chargers,504,0,2,2011,1
64,64,0,1,1,Rams,132,7,22.0,DST,112,5.0,0,Ravens,244,1,3,2011,1
65,65,0,2,1,Falcons,295,13,17.0,DST,30,4.0,0,Buccaneers,325,0,3,2011,0
66,66,0,1,0,49ers,176,13,16.0,DST,50,5.0,1,Bengals,226,0,3,2011,0
67,67,0,2,1,Steelers,341,23,16.0,DST,67,3.0,0,Colts,408,1,3,2011,0
68,68,0,0,4,Patriots,387,31,14.0,DST,108,0.0,0,Bills,495,1,3,2011,0
69,69,0,1,2,Bengals,149,8,14.0,DST,79,1.0,0,49ers,228,0,3,2011,1
70,70,0,0,2,Cardinals,234,10,14.0,DST,90,3.0,0,Seahawks,324,0,3,2011,0
71,71,0,0,1,Seahawks,139,13,13.0,DST,122,4.0,0,Cardinals,261,0,3,2011,1
72,72,0,0,1,Jaguars,129,10,13.0,DST,128,2.0,1,Panthers,257,0,3,2011,0
73,73,0,1,1,Dolphins,231,16,13.0,DST,138,5.0,0,Browns,369,0,3,2011,0
74,74,1,1,1,Redskins,233,16,13.0,DST,65,3.0,0,Cowboys,298,0,3,2011,0
75,75,0,1,0,Colts,144,20,13.0,DST,97,1.0,0,Steelers,241,1,3,2011,1
76,76,0,0,3,Eagles,199,16,12.0,DST,177,2.0,0,Giants,376,0,3,2011,1
77,77,0,0,2,Bears,278,17,11.0,DST,13,3.0,0,Packers,291,0,3,2011,1
78,78,0,2,0,Titans,295,17,10.0,DST,38,2.0,0,Broncos,333,0,3,2011,1
79,79,0,0,2,Chargers,258,20,10.0,DST,117,2.0,0,Chiefs,375,0,3,2011,1
80,80,0,1,1,Jets,339,24,9.0,DST,100,4.0,0,Raiders,439,0,3,2011,0
81,81,0,0,2,Broncos,172,14,9.0,DST,59,1.0,0,Titans,231,0,3,2011,0
82,82,0,1,1,Cowboys,250,18,9.0,DST,125,1.0,0,Redskins,375,0,3,2011,1
83,83,0,0,2,Buccaneers,180,16,8.0,DST,115,0.0,0,Falcons,295,0,3,2011,1
84,84,0,1,1,Packers,292,27,7.0,DST,100,2.0,0,Bears,392,0,3,2011,0
85,85,0,0,1,Chiefs,171,17,7.0,DST,81,1.0,0,Chargers,252,0,3,2011,0
86,86,0,0,2,Saints,354,40,6.0,DST,100,2.0,0,Texans,454,0,3,2011,1
87,87,0,0,1,Browns,210,17,6.0,DST,70,0.0,0,Dolphins,280,0,3,2011,1
88,88,0,0,0,Lions,338,26,6.0,DST,20,5.0,0,Vikings,358,0,3,2011,0
89,89,0,0,0,Min,189,23,5.0,DST,132,4.0,0,Lions,321,0,3,2011,1
90,90,0,0,0,Panthers,158,16,4.0,DST,107,0.0,0,Jaguars,265,0,3,2011,1
91,91,0,0,2,Bills,369,34,4.0,DST,79,0.0,0,Patriots,448,0,3,2011,1
92,92,0,0,1,Texans,364,33,4.0,DST,109,2.0,0,Saints,473,0,3,2011,0
93,93,0,1,0,Ravens,385,37,4.0,DST,168,2.0,0,Rams,553,0,3,2011,0
94,94,0,0,0,Giants,232,29,3.0,DST,102,3.0,0,Eagles,334,0,3,2011,0
95,95,0,0,0,Raiders,149,34,1.0,DST,234,1.0,0,Jets,383,0,3,2011,1
96,96,0,3,1,Jets,112,17,32.0,DST,38,2.0,0,Ravens,150,3,4,2011,0
97,97,0,2,1,Ravens,155,34,20.0,DST,112,2.0,0,Jets,267,2,4,2011,1
98,98,0,0,3,Cowboys,321,30,19.0,DST,113,1.0,0,Lions,434,2,4,2011,1
99,99,0,0,1,Browns,332,13,19.0,DST,84,4.0,0,Titans,416,1,4,2011,1
100,100,1,0,1,Panthers,374,29,16.0,DST,169,0.0,0,Bears,543,2,4,2011,0
101,101,0,1,3,Broncos,265,23,16.0,DST,119,1.0,0,Packers,384,1,4,2011,0
102,102,1,0,1,Steelers,178,10,16.0,DST,118,5.0,0,Texans,296,0,4,2011,0
103,103,0,1,0,Rams,127,10,16.0,DST,45,7.0,0,Redskins,172,0,4,2011,1
104,104,0,0,2,Bengals,287,23,13.0,DST,171,2.0,0,Bills,458,1,4,2011,1
105,105,0,0,1,Jaguars,170,10,12.0,DST,104,3.0,0,Saints,274,0,4,2011,1
