,50+,FGA,FGM,Name,Opponent,Points,Position,Week,XPA,XPM,Year
0,2,4,4,Brandon McManus,Bal,17.00,K,1,1,1,2015
1,1,4,4,Josh Brown,@Dal,16.00,K,1,2,2,2015
2,0,4,4,Matt Bryant,Phi,14.00,K,1,2,2,2015
3,0,4,4,Zach Hocker,@Ari,13.00,K,1,1,1,2015
4,1,3,3,Robbie Gould,GB,13.00,K,1,2,2,2015
5,0,3,3,Stephen Hauschka,@Stl,11.00,K,1,2,2,2015
6,0,2,2,Greg Zuerlein,Sea,10.00,K,1,4,4,2015
7,1,2,2,Justin Tucker,@Den,9.00,K,1,1,1,2015
8,0,3,2,Cairo Santos,@Hou,9.00,K,1,3,3,2015
9,0,2,2,Mike Nugent,@Oak,9.00,K,1,4,3,2015
10,0,2,2,Josh Lambo,Det,9.00,K,1,4,3,2015
11,0,2,2,Dan Carpenter,Ind,9.00,K,1,3,3,2015
12,0,2,2,Dan Bailey,NYG,9.00,K,1,3,3,2015
13,0,4,2,Graham Gano,@Jax,8.00,K,1,2,2,2015
14,0,3,2,Phil Dawson,Min,8.00,K,1,2,2,2015
15,0,4,2,Josh Scobee,@NE,7.00,K,1,1,1,2015
16,0,1,1,Nick Folk,Cle,7.00,K,1,4,4,2015
17,0,1,1,Mason Crosby,@Chi,7.00,K,1,4,4,2015
18,0,1,1,Chandler Catanzaro,NO,7.00,K,1,4,4,2015
19,0,0,0,Ryan Succop,@TB,6.00,K,1,6,6,2015
20,0,2,1,Cody Parkey,@Atl,6.00,K,1,3,3,2015
21,0,2,2,Randy Bullock,KC,6.00,K,1,1,0,2015
22,0,1,1,Andrew Franks,@Was,5.00,K,1,2,2,2015
23,0,0,0,Matt Prater,@SD,4.00,K,1,4,4,2015
24,0,0,0,Stephen Gostkowski,Pit,4.00,K,1,4,4,2015
25,0,2,1,Kai Forbath,Mia,4.00,K,1,1,1,2015
26,0,1,1,Travis Coons,@NYJ,4.00,K,1,1,1,2015
27,0,2,1,Blair Walsh,@SF,3.00,K,1,0,0,2015
28,0,2,1,Jason Myers,Car,3.00,K,1,1,0,2015
29,0,0,0,Kyle Brindza,Ten,2.00,K,1,2,2,2015
30,0,0,0,Sebastian Janikowski,Cin,1.00,K,1,1,1,2015
31,0,1,0,Adam Vinatieri,@Buf,0.00,K,1,0,0,2015
32,1,4,4,Stephen Gostkowski,@Buf,18.00,K,2,4,4,2015
33,1,5,4,Kyle Brindza,@NO,16.00,K,2,2,2,2015
34,0,4,4,Justin Tucker,@Oak,15.00,K,2,3,3,2015
35,1,4,4,Mason Crosby,Sea,15.00,K,2,1,1,2015
36,1,3,3,Jason Myers,Mia,13.00,K,2,2,2,2015
37,0,3,3,Sebastian Janikowski,Bal,13.00,K,2,4,4,2015
38,1,3,3,Robbie Gould,Ari,13.00,K,2,2,2,2015
39,1,1,1,Brandon McManus,@KC,9.00,K,2,4,4,2015
40,0,2,2,Blair Walsh,Det,8.00,K,2,3,2,2015
41,0,3,2,Andrew Franks,@Jax,8.00,K,2,2,2,2015
42,0,3,2,Nick Folk,@Ind,8.00,K,2,2,2,2015
43,0,2,2,Josh Brown,Atl,8.00,K,2,2,2,2015
44,0,2,2,Dan Bailey,@Phi,8.00,K,2,2,2,2015
45,0,3,2,Josh Lambo,@Cin,7.00,K,2,1,1,2015
46,1,1,1,Stephen Hauschka,@GB,7.00,K,2,2,2,2015
47,1,1,1,Greg Zuerlein,@Was,6.00,K,2,1,1,2015
48,0,1,1,Cairo Santos,Den,6.00,K,2,3,3,2015
49,0,2,1,Mike Nugent,SD,6.00,K,2,3,3,2015
50,0,1,1,Dustin Hopkins,Stl,6.00,K,2,3,3,2015
51,0,2,1,Graham Gano,Hou,6.00,K,2,3,3,2015
52,0,0,0,Chandler Catanzaro,@Chi,6.00,K,2,7,6,2015
53,0,1,1,Matt Bryant,@NYG,6.00,K,2,3,3,2015
54,0,1,1,Randy Bullock,@Car,5.00,K,2,2,2,2015
55,0,1,1,Matt Prater,@Min,4.00,K,2,1,1,2015
56,0,1,1,Cody Parkey,Dal,4.00,K,2,1,1,2015
57,0,1,1,Phil Dawson,@Pit,4.00,K,2,1,1,2015
58,0,0,0,Travis Coons,Ten,4.00,K,2,4,4,2015
59,0,0,0,Josh Scobee,SF,3.00,K,2,4,3,2015
60,0,0,0,Ryan Succop,@Cle,2.00,K,2,2,2,2015
61,0,0,0,Dan Carpenter,NE,2.00,K,2,3,2,2015
62,0,1,0,Adam Vinatieri,NYJ,1.00,K,2,1,1,2015
63,0,1,0,Zach Hocker,TB,1.00,K,2,2,1,2015
64,0,3,3,Stephen Gostkowski,Jax,15.00,K,3,6,6,2015
65,0,4,4,Stephen Hauschka,Chi,14.00,K,3,2,2,2015
66,1,3,2,Dan Carpenter,@Mia,13.00,K,3,5,5,2015
67,0,3,3,Josh Brown,Was,12.00,K,3,3,3,2015
68,0,2,2,Ryan Succop,Ind,9.00,K,3,3,3,2015
69,0,2,2,Sebastian Janikowski,@Cle,9.00,K,3,3,3,2015
70,0,2,2,Graham Gano,NO,9.00,K,3,3,3,2015
71,0,1,1,Chandler Catanzaro,SF,9.00,K,3,6,6,2015
72,0,1,1,Mason Crosby,KC,8.00,K,3,5,5,2015
73,0,2,2,Travis Coons,Oak,8.00,K,3,2,2,2015
74,0,1,1,Blair Walsh,SD,7.00,K,3,4,4,2015
75,0,2,2,Dustin Hopkins,@NYG,7.00,K,3,1,1,2015
76,1,1,1,Nick Folk,Phi,7.00,K,3,2,2,2015
77,0,3,2,Randy Bullock,TB,7.00,K,3,2,1,2015
78,0,1,1,Matt Bryant,@Dal,7.00,K,3,4,4,2015
79,0,2,2,Greg Zuerlein,Pit,6.00,K,3,0,0,2015
80,0,2,1,Justin Tucker,Cin,6.00,K,3,3,3,2015
