,Unnamed: 0,50+,FGA,FGM,Name,Opponent,Points,Position,Week,XPA,XPM,Year,Away Games
2101,10,0,2,2,Josh Lambo,Lions,9.0,K,1,4,3,2015,0
2136,45,0,3,2,Josh Lambo,Bengals,7.0,K,2,1,1,2015,1
2182,91,0,0,0,Josh Lambo,Min,2.0,K,3,2,2,2015,1
2194,103,0,3,3,Josh Lambo,Browns,12.0,K,4,3,3,2015,0
2225,134,1,3,2,Josh Lambo,Steelers,10.0,K,5,2,2,2015,0
2262,171,0,2,2,Josh Lambo,Packers,8.0,K,6,2,2,2015,1
2291,200,0,2,2,Josh Lambo,Raiders,7.0,K,7,1,1,2015,0
2320,229,0,2,2,Josh Lambo,Ravens,8.0,K,8,3,2,2015,1
2347,256,0,2,2,Josh Lambo,Bears,7.0,K,9,2,1,2015,0
2409,318,1,1,1,Josh Lambo,Chiefs,5.0,K,11,0,0,2015,0
2433,342,0,1,1,Josh Lambo,Jaguars,7.0,K,12,4,4,2015,1
2466,375,1,2,1,Josh Lambo,Broncos,5.0,K,13,0,0,2015,0
2507,416,0,2,1,Josh Lambo,Chiefs,3.0,K,14,0,0,2015,1
2531,440,0,2,1,Josh Lambo,Dolphins,6.0,K,15,4,3,2015,0
2553,462,0,3,2,Josh Lambo,Raiders,8.0,K,16,2,2,2015,1
2584,493,1,2,2,Josh Lambo,Broncos,10.0,K,17,2,2,2015,1
3146,14,0,3,2,Josh Lambo,Chiefs,9.0,K,1,3,3,2016,1
3179,47,0,1,1,Josh Lambo,Jaguars,8.0,K,2,5,5,2016,0
3201,69,0,3,3,Josh Lambo,Colts,10.0,K,3,2,1,2016,1
3235,103,0,2,2,Josh Lambo,Saints,10.0,K,4,4,4,2016,0
3270,138,0,1,1,Josh Lambo,Raiders,7.0,K,5,4,4,2016,1
3289,157,0,4,4,Josh Lambo,Broncos,13.0,K,6,1,1,2016,0
3319,187,0,4,4,Josh Lambo,Falcons,15.0,K,7,3,3,2016,1
3377,245,0,1,0,Josh Lambo,Broncos,1.0,K,8,2,1,2016,1
3382,250,0,3,3,Josh Lambo,Titans,13.0,K,9,5,4,2016,0
3424,292,0,1,1,Josh Lambo,Dolphins,6.0,K,10,3,3,2016,0
3486,354,0,1,0,Josh Lambo,Texans,3.0,K,12,3,3,2016,1
3519,387,0,1,0,Josh Lambo,Buccaneers,3.0,K,13,3,3,2016,0
3549,417,0,1,1,Josh Lambo,Panthers,4.0,K,14,1,1,2016,1
3588,456,0,1,1,Josh Lambo,Raiders,4.0,K,15,2,1,2016,0
3618,486,0,3,1,Josh Lambo,Browns,5.0,K,16,2,2,2016,1
3634,502,0,2,2,Josh Lambo,Chiefs,9.0,K,17,3,3,2016,0
