,Unnamed: 0,Unnamed: 0.1,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Team,Total Yards,Touchdowns,Week,Year
28,28,28.0,0.0,0.0,0.0,Vikings,341.0,29.0,1.0,DST,129.0,1.0,0.0,Saints,470.0,0.0,1,2017.0
60,60,28.0,0.0,0.0,0.0,Patriots,341.0,29.0,1.0,DST,129.0,1.0,0.0,Saints,470.0,0.0,2,2017.0
62,62,44.0,0.0,0.0,0.0,Panthers,388.5,32.5,1.5,DST,124.0,1.5,0.0,Saints,512.5,0.0,3,2017.0
99,99,50.0,0.0,0.0,1.0,Dolphins,311.0,26.0,6.666666666666667,DST,126.66666666666667,2.3333333333333335,0.0,Saints,437.6666666666667,0.0,4,2017.0
154,154,62.25,0.0,0.0,1.0,Lions,265.25,19.5,9.0,DST,109.5,2.75,0.0,Saints,374.75,0.0,6,2017.0
197,197,80.6,0.0,0.4,1.4,Packers,268.4,23.2,13.8,DST,100.8,3.2,0.0,Saints,369.2,0.6,7,2017.0
222,222,100.0,0.0,0.3333333333333333,1.3333333333333333,Bears,236.83333333333334,22.166666666666668,12.666666666666666,DST,114.16666666666667,2.8333333333333335,0.0,Saints,351.0,0.5,8,2017.0
238,238,117.42857142857143,0.0,0.2857142857142857,1.2857142857142858,Buccaneers,224.42857142857142,20.714285714285715,12.428571428571429,DST,120.28571428571429,2.7142857142857144,0.0,Saints,344.7142857142857,0.42857142857142855,9,2017.0
272,272,132.5,0.125,0.375,1.125,Bills,210.5,19.375,13.5,DST,116.125,2.875,0.0,Saints,326.625,0.5,10,2017.0
314,314,148.0,0.1111111111111111,0.3333333333333333,1.1111111111111112,Redskins,201.44444444444446,18.333333333333332,13.222222222222221,DST,110.88888888888889,2.7777777777777777,0.0,Saints,312.3333333333333,0.4444444444444444,11,2017.0
340,340,164.6,0.1,0.3,1.0,Rams,211.3,19.6,12.1,DST,115.4,2.7,0.0,Saints,326.7,0.4,12,2017.0
372,372,180.54545454545453,0.09090909090909091,0.2727272727272727,1.0,Panthers,221.8181818181818,20.181818181818183,11.636363636363637,DST,112.9090909090909,2.8181818181818183,0.0,Saints,334.72727272727275,0.36363636363636365,13,2017.0
