,Unnamed: 0,Unnamed: 0.1,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Team,Total Yards,Touchdowns,Week,Year
28,28,28,0,0,0,Vikings,341,29,1.0,DST,129,1.0,0,Saints,470,0,1,2017
60,60,60,0,0,0,Patriots,436,36,2.0,DST,119,2.0,0,Saints,555,0,2,2017
62,62,62,0,0,3,Panthers,156,13,17.0,DST,132,4.0,0,Saints,288,0,3,2017
99,99,99,0,0,1,Dolphins,128,0,16.0,DST,58,4.0,0,Saints,186,0,4,2017
154,154,154,0,2,3,Lions,281,38,33.0,DST,66,5.0,0,Saints,347,3,6,2017
197,197,197,0,0,1,Packers,79,17,7.0,DST,181,1.0,0,Saints,260,0,7,2017
222,222,222,0,0,1,Bears,150,12,11.0,DST,157,2.0,0,Saints,307,0,8,2017
238,238,238,1,1,0,Buccaneers,113,10,21.0,DST,87,4.0,0,Saints,200,1,9,2017
272,272,272,0,0,1,Bills,129,10,11.0,DST,69,2.0,0,Saints,198,0,10,2017
314,314,314,0,0,0,Redskins,300,31,2.0,DST,156,2.0,0,Saints,456,0,11,2017
340,340,340,0,0,1,Rams,327,26,7.0,DST,88,4.0,0,Saints,415,0,12,2017
372,372,372,0,1,0,Panthers,167,21,5.0,DST,112,2.0,0,Saints,279,0,13,2017
