Year,Week,Name,50+,FGA,FGM,Opponent,Points,Position,XPA,XPM,Away Games
2013,2,Mike Nugent,0,2,2,Steelers,8.0,K,2,2,0
2013,2,Billy Cundiff,1,2,2,Ravens,8.0,K,0,0,1
2013,2,Mason Crosby,0,1,1,Redskins,8.0,K,5,5,0
2013,2,Robbie Gould,0,1,1,Min,7.0,K,4,4,0
2013,2,Stephen Gostkowski,0,3,2,Jets,7.0,K,1,1,0
2013,2,Matt Bryant,0,1,1,Rams,7.0,K,4,4,0
2013,2,Greg Zuerlein,0,1,1,Falcons,6.0,K,3,3,1
2013,2,Rob Bironas,0,2,1,Texans,6.0,K,3,3,1
2013,2,Ryan Succop,0,2,1,Cowboys,5.0,K,2,2,0
2013,2,Shaun Suisham,0,1,1,Bengals,4.0,K,1,1,1
2013,2,Nick Folk,0,1,1,Patriots,4.0,K,1,1,1
2013,2,Josh Scobee,0,1,1,Raiders,3.0,K,0,0,1
2013,2,Phil Dawson,0,1,1,Seahawks,3.0,K,0,0,1
2013,2,David Akers,0,2,0,Cardinals,3.0,K,3,3,1
2013,2,Justin Tucker,0,2,0,Browns,2.0,K,2,2,0
2013,2,John Potter,0,1,0,Packers,2.0,K,2,2,1
2013,2,Rian Lindell,0,1,0,Saints,2.0,K,2,2,0
2013,2,Randy Bullock,0,3,0,Titans,2.0,K,2,2,0
2013,3,Matt Prater,1,3,3,Raiders,15.0,K,4,4,0
2013,3,Ryan Succop,0,5,4,Eagles,14.0,K,2,2,1
2013,3,Stephen Gostkowski,1,3,3,Buccaneers,13.0,K,2,2,0
2013,3,Matt Bryant,1,4,3,Dolphins,13.0,K,2,2,1
2013,3,Justin Tucker,0,3,3,Texans,12.0,K,3,3,0
2013,3,Mason Crosby,0,3,3,Bengals,12.0,K,3,3,1
2013,3,Dan Carpenter,0,4,4,Jets,12.0,K,0,0,1
2013,3,Shaun Suisham,0,3,3,Bears,11.0,K,2,2,0
2013,3,Caleb Sturgis,1,2,2,Falcons,11.0,K,3,3,0
2013,3,Robbie Gould,0,2,2,Steelers,10.0,K,5,4,1
2013,3,Graham Gano,1,1,1,Giants,10.0,K,5,5,0
2013,3,Blair Walsh,0,2,2,Browns,9.0,K,3,3,0
2013,3,Adam Vinatieri,0,3,2,49ers,9.0,K,3,3,1
2013,3,Stephen Hauschka,0,1,1,Jaguars,9.0,K,6,6,0
2013,3,Nick Folk,0,2,2,Bills,9.0,K,3,3,0
2013,3,Randy Bullock,0,3,3,Ravens,9.0,K,0,0,1
