,Unnamed: 0,Unnamed: 0.1,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Team,Total Yards,Touchdowns,Week,Year
9,9,9,0,1,0,Steelers,135,9,12.0,DST,90,3.0,0,Packers,225,0,1,2017
56,56,56,0,0,0,Falcons,223,34,3.0,DST,141,3.0,0,Packers,364,0,2,2017
78,78,78,0,1,0,Bengals,191,24,6.0,DST,110,3.0,0,Packers,301,0,3,2017
101,101,101,0,2,2,Bears,205,14,13.0,DST,103,1.0,0,Packers,308,0,4,2017
130,130,130,0,2,1,Cowboys,245,31,13.0,DST,163,1.0,0,Packers,408,1,5,2017
179,179,179,0,1,1,Vikings,239,23,5.0,DST,112,0.0,0,Packers,351,0,6,2017
195,195,195,1,0,2,Saints,324,26,8.0,DST,161,1.0,0,Packers,485,0,7,2017
260,260,260,0,1,0,Lions,353,30,3.0,DST,64,1.0,0,Packers,417,0,9,2017
271,271,271,0,1,0,Bears,268,16,11.0,DST,55,5.0,0,Packers,323,0,10,2017
309,309,309,0,0,1,Ravens,161,23,6.0,DST,58,3.0,0,Packers,219,0,11,2017
338,338,338,0,1,2,Steelers,341,31,7.0,DST,121,1.0,0,Packers,462,0,12,2017
356,356,356,0,1,0,Buccaneers,230,20,19.0,DST,165,7.0,0,Packers,395,1,13,2017
