,Unnamed: 0,Unnamed: 0.1,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Team,Total Yards,Touchdowns,Week,Year
0,0,0,0,3,1,Texans,110,7,31.0,DST,93,10.0,0,Jaguars,203,1,1,2017
57,57,57,0,0,1,Titans,211,37,3.0,DST,179,1.0,0,Jaguars,390,0,2,2017
66,66,66,0,1,2,Ravens,52,7,15.0,DST,134,2.0,0,Jaguars,186,0,3,2017
98,98,98,0,1,1,Jets,215,23,16.0,DST,256,5.0,0,Jaguars,471,1,4,2017
126,126,126,0,0,5,Steelers,301,9,31.0,DST,70,2.0,0,Jaguars,371,2,5,2017
175,175,175,0,1,0,Rams,107,27,6.0,DST,142,3.0,0,Jaguars,249,0,6,2017
184,184,184,0,0,0,Colts,136,0,20.0,DST,96,10.0,0,Jaguars,232,0,7,2017
241,241,241,0,0,0,Bengals,119,7,15.0,DST,29,2.0,0,Jaguars,148,1,9,2017
277,277,277,0,1,1,Chargers,235,17,8.0,DST,87,0.0,0,Jaguars,322,0,10,2017
292,292,292,0,3,2,Browns,134,7,28.0,DST,50,5.0,0,Jaguars,184,1,11,2017
328,328,328,0,1,1,Cardinals,236,27,12.0,DST,108,1.0,0,Jaguars,344,1,12,2017
358,358,358,0,0,2,Colts,149,10,15.0,DST,141,4.0,0,Jaguars,290,0,13,2017
