,Unnamed: 0,Unnamed: 0.1,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Team,Total Yards,Touchdowns,Week,Year
12,12,12.0,0.0,0.0,1.0,Lions,285.0,35.0,9.0,DST,82.0,1.0,0.0,Cardinals,367.0,1.0,1,2017.0
36,36,12.0,0.0,0.0,1.0,Colts,285.0,35.0,9.0,DST,82.0,1.0,0.0,Cardinals,367.0,1.0,2,2017.0
89,89,24.0,0.0,0.0,1.0,Cowboys,237.5,24.0,11.0,DST,79.0,2.5,0.0,Cardinals,316.5,0.5,3,2017.0
107,107,45.666666666666664,0.0,0.0,0.6666666666666666,49ers,216.33333333333334,25.333333333333332,7.666666666666667,DST,85.66666666666667,2.0,0.0,Cardinals,302.0,0.3333333333333333,4,2017.0
150,150,61.0,0.0,0.0,0.75,Eagles,214.75,22.75,8.0,DST,88.0,2.25,0.0,Cardinals,302.75,0.25,5,2017.0
172,172,78.8,0.0,0.0,0.8,Buccaneers,231.2,25.0,7.0,DST,94.8,2.0,0.0,Cardinals,326.0,0.2,6,2017.0
204,204,94.33333333333333,0.0,0.0,1.0,Rams,250.0,26.333333333333332,6.833333333333333,DST,90.66666666666667,2.0,0.0,Cardinals,340.6666666666667,0.16666666666666666,7,2017.0
239,239,110.0,0.0,0.0,1.0,49ers,246.85714285714286,27.285714285714285,6.285714285714286,DST,105.85714285714286,1.8571428571428572,0.0,Cardinals,352.7142857142857,0.14285714285714285,9,2017.0
279,279,126.125,0.0,0.125,1.0,Steelers,249.25,25.125,7.5,DST,100.5,2.25,0.0,Cardinals,349.75,0.125,10,2017.0
310,310,143.11111111111111,0.0,0.1111111111111111,0.8888888888888888,Texans,245.11111111111111,24.77777777777778,7.333333333333333,DST,97.66666666666667,2.5555555555555554,0.0,Cardinals,342.77777777777777,0.1111111111111111,11,2017.0
333,333,159.8,0.0,0.2,0.9,Jaguars,242.9,25.4,7.1,DST,101.3,2.4,0.0,Cardinals,344.2,0.1,12,2017.0
377,377,175.54545454545453,0.0,0.36363636363636365,0.9090909090909091,Rams,232.45454545454547,25.272727272727273,7.363636363636363,DST,100.36363636363636,2.4545454545454546,0.0,Cardinals,332.8181818181818,0.09090909090909091,13,2017.0
