,Unnamed: 0,Unnamed: 0.1,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Team,Total Yards,Touchdowns,Week,Year
25,25,25,0,0,0,Falcons,308,23,3.0,DST,64,2.0,0,Bears,372,0,1,2017
55,55,55,0,1,0,Buccaneers,194,29,4.0,DST,117,2.0,0,Bears,311,0,2,2017
69,69,69,1,2,0,Steelers,212,17,13.0,DST,70,3.0,0,Bears,282,0,3,2017
121,121,121,0,0,0,Packers,169,35,2.0,DST,91,2.0,0,Bears,260,0,4,2017
138,138,138,0,0,0,Vikings,141,20,10.0,DST,159,4.0,1,Bears,300,0,5,2017
161,161,161,0,1,2,Ravens,166,24,16.0,DST,125,3.0,0,Bears,291,1,6,2017
182,182,182,0,1,2,Panthers,185,3,33.0,DST,108,5.0,0,Bears,293,2,7,2017
223,223,223,0,2,0,Saints,286,20,10.0,DST,101,2.0,0,Bears,387,0,8,2017
282,282,282,0,0,0,Packers,182,23,4.0,DST,160,3.0,0,Bears,342,0,10,2017
308,308,308,0,1,0,Lions,287,27,6.0,DST,65,3.0,0,Bears,352,0,11,2017
337,337,337,0,3,0,Eagles,244,31,7.0,DST,176,1.0,0,Bears,420,0,12,2017
359,359,359,0,0,1,49ers,278,15,14.0,DST,110,2.0,0,Bears,388,1,13,2017
