,Unnamed: 0.1_x,Unnamed: 0.1.1_x,50+,FGA,FGM,Name,Opponent_x,Points_x,Position_x,Week,XPA,XPM,Year,Unnamed: 0.1_y,Unnamed: 0.1.1_y,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Team,Total Yards,Touchdowns
0,0,0,2,4,4,Giorgio Tavecchio,Titans,18.0,K,1,2,2,2017,27,27,0,0,0,Raiders,250,26,3.0,DST,109,2.0,0,Titans,359,0
1,37,37,0,1,1,Giorgio Tavecchio,Raiders,9.0,K,2,6,6,2017,40,40,0,2,0,Jets,145,20,12.0,DST,126,4.0,0,Raiders,271,0
2,88,88,0,1,1,Giorgio Tavecchio,Redskins,4.0,K,3,1,1,2017,64,64,0,1,2,Raiders,96,10,17.0,DST,32,4.0,0,Redskins,128,0
3,122,122,0,1,1,Giorgio Tavecchio,Broncos,4.0,K,4,1,1,2017,102,102,0,0,1,Raiders,230,10,12.0,DST,24,3.0,0,Broncos,254,0
4,148,148,0,1,1,Giorgio Tavecchio,Raiders,5.0,K,5,2,2,2017,153,153,0,0,0,Ravens,222,30,0.0,DST,143,0.0,0,Raiders,365,0
5,183,183,0,1,1,Giorgio Tavecchio,Raiders,4.0,K,6,2,1,2017,171,171,0,1,0,Chargers,263,17,7.0,DST,80,1.0,0,Raiders,343,0
6,201,201,0,3,1,Giorgio Tavecchio,Raiders,7.0,K,7,4,4,2017,209,209,0,0,0,Chiefs,331,30,1.0,DST,94,1.0,0,Raiders,425,0
7,239,239,0,0,0,Giorgio Tavecchio,Bills,2.0,K,8,2,2,2017,217,217,0,2,2,Raiders,313,14,18.0,DST,54,0.0,0,Bills,367,1
8,246,246,1,2,2,Giorgio Tavecchio,Dolphins,11.0,K,9,3,3,2017,257,257,0,1,1,Raiders,295,27,6.0,DST,84,1.0,0,Dolphins,379,0
9,352,352,0,1,0,Giorgio Tavecchio,Raiders,3.0,K,12,3,3,2017,332,332,0,0,1,Broncos,160,14,11.0,DST,56,5.0,0,Raiders,216,0
10,377,377,0,1,1,Giorgio Tavecchio,Raiders,6.0,K,13,3,3,2017,364,364,0,2,0,Giants,200,17,11.0,DST,65,3.0,0,Raiders,265,0
