,Unnamed: 0,Unnamed: 0.1,50+,FGA,FGM,Name,Opponent,Points,Position,Week,XPA,XPM,Year
0,0,0,2,4,4,Giorgio Tavecchio,Titans,18.0,K,1,2,2,2017
37,37,37,0,1,1,Giorgio Tavecchio,Raiders,9.0,K,2,6,6,2017
88,88,88,0,1,1,Giorgio Tavecchio,Redskins,4.0,K,3,1,1,2017
122,122,122,0,1,1,Giorgio Tavecchio,Broncos,4.0,K,4,1,1,2017
148,148,148,0,1,1,Giorgio Tavecchio,Raiders,5.0,K,5,2,2,2017
183,183,183,0,1,1,Giorgio Tavecchio,Raiders,4.0,K,6,2,1,2017
201,201,201,0,3,1,Giorgio Tavecchio,Raiders,7.0,K,7,4,4,2017
239,239,239,0,0,0,Giorgio Tavecchio,Bills,2.0,K,8,2,2,2017
246,246,246,1,2,2,Giorgio Tavecchio,Dolphins,11.0,K,9,3,3,2017
352,352,352,0,1,0,Giorgio Tavecchio,Raiders,3.0,K,12,3,3,2017
377,377,377,0,1,1,Giorgio Tavecchio,Raiders,6.0,K,13,3,3,2017
