,Sack,Pass Yards Allowed,Point After,Safety,Week,Points,Year,Touchdowns,Rush Yards Allowed,Interception,Total Yards,Blocks,Away Games,Fumble Returns,Opponent,Position,Team
2560,2.0,214.0,6.0,0.0,1,22.0,2010,1.0,49.0,2.0,263.0,0.0,0.0,0.0,49ers,DST,Seahawks
2561,2.0,240.0,13.0,0.0,1,19.0,2010,0.0,85.0,3.0,325.0,1.0,1.0,1.0,Rams,DST,Cardinals
2562,1.0,341.0,24.0,0.0,1,18.0,2010,2.0,87.0,1.0,428.0,0.0,0.0,1.0,Bengals,DST,Patriots
2563,4.0,148.0,18.0,0.0,1,18.0,2010,0.0,89.0,3.0,237.0,0.0,0.0,2.0,Panthers,DST,Giants
2564,4.0,362.0,19.0,0.0,1,16.0,2010,0.0,101.0,1.0,463.0,0.0,1.0,3.0,Bears,DST,Lions
2565,1.0,277.0,7.0,0.0,1,16.0,2010,1.0,103.0,0.0,380.0,0.0,0.0,1.0,Cowboys,DST,Redskins
2566,2.0,233.0,10.0,0.0,1,15.0,2010,0.0,49.0,1.0,282.0,0.0,0.0,2.0,Ravens,DST,Jets
2567,4.0,150.0,13.0,0.0,1,15.0,2010,0.0,136.0,1.0,286.0,0.0,0.0,1.0,Raiders,DST,Titans
2568,2.0,280.0,14.0,0.0,1,14.0,2010,1.0,109.0,0.0,389.0,0.0,0.0,1.0,Chargers,DST,Chiefs
2569,2.0,266.0,17.0,0.0,1,14.0,2010,0.0,112.0,0.0,378.0,0.0,0.0,4.0,Cardinals,DST,Rams
2570,1.0,258.0,31.0,1.0,1,13.0,2010,0.0,118.0,3.0,376.0,1.0,1.0,1.0,Giants,DST,Panthers
2571,2.0,148.0,14.0,0.0,1,12.0,2010,0.0,20.0,1.0,168.0,0.0,0.0,2.0,Lions,DST,Bears
2572,6.0,171.0,20.0,0.0,1,12.0,2010,0.0,149.0,0.0,320.0,0.0,1.0,1.0,Eagles,DST,Packers
2573,3.0,116.0,10.0,1.0,1,12.0,2010,0.0,50.0,0.0,166.0,0.0,1.0,0.0,Bills,DST,Dolphins
2574,1.0,162.0,9.0,0.0,1,12.0,2010,0.0,91.0,1.0,253.0,1.0,0.0,0.0,Min,DST,Saints
2575,2.0,60.0,9.0,0.0,1,11.0,2010,0.0,116.0,0.0,176.0,0.0,1.0,1.0,Jets,DST,Ravens
2576,3.0,169.0,17.0,0.0,1,11.0,2010,0.0,119.0,1.0,288.0,0.0,1.0,1.0,Buccaneers,DST,Browns
